"Reference code","Product ID","Product name","Quantity","Pre-tax retail price","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Combinations Impact on price (pre-tax)","Combinations (Attribute - value pair)","Combinations Impact on weight","Show price","Pre-tax wholesale price","Unit price (per)","Unit price (tax excl.)","Specific Price ID_1","Specific price Starting at (unit)_1","Specific price Group ID_1"
"A01029-POD2882","67","Card - Birth of Eagle Shadow","13","6.35","","","","6"" x 9""","","0.00","Card - Birth of Eagle Shadow","0.00","1","2.40","","0.00","","",""
"A08019-POD2886","70","Card - Unity","10","6.35","","","","6"" x 9""","","0.00","Card - Unity","0.00","1","2.40","","0.00","","",""
"A09006-7","73","Card - River Keeper","7","5.50","","","","5"" x 7""","","0.00","Card - River Keeper","0.00","1","2.40","","0.00","","",""
"A04015-20085","76","Card - Rebirth","8","6.35","","","","6"" x 9""","","0.00","Card - Rebirth","0.00","1","2.40","","0.00","","",""
"A04039-7","79","Card - Nostalgia","9","5.50","","","","5"" x 7""","","0.00","Card - Nostalgia","0.00","1","2.40","","0.00","","",""
"A07020-20080","82","Card - Journey to the Spirit World","11","6.35","","","","9"" x 6""","","0.00","Card - Journey to the Spirit World","0.00","1","2.40","","0.00","","",""
"W13025-POD2569","85","Card - Passage","9","6.35","","","","6"" x 9""","","0.00","Card - Passage","0.00","1","2.40","","0.00","","",""
"W12024-20076","88","Card - Breath of Life","8","6.35","","","","9"" x 6""","","0.00","Card - Breath of Life","0.00","1","2.40","","0.00","","",""
"W12008-POD2581","95","Card - Winter Wolves","13","6.35","","","","9"" x 6""","","0.00","Card - Winter Wolves","0.00","1","2.40","","0.00","","",""
"W12001-7","98","Card - Dialogue","5","5.50","","","","7"" x 5""","","0.00","Card - Dialogue","0.00","1","2.40","","0.00","","",""
"W12014-7","101","Card - Gate of Silk","7","5.50","","","","7"" x 5""","","0.00","Card - Gate of Silk","0.00","1","2.40","","0.00","","",""
"W12005-POD2552","104","Card - Earth Keeper","7","6.35","","","","6"" x 9""","","0.00","Card - Earth Keeper","0.00","1","2.40","","0.00","","",""
"W12016-POD2556","107","Card - Going Home","4","6.35","","","","6"" x 9""","","0.00","Card - Going Home","0.00","1","2.40","","0.00","","",""
