"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price"
"CS","13053","Ancestral Seed Boxes","11928","Wellness - Pride of you vegetable garden","7","19.99","12.00","0.00"
"CS","13053","Ancestral Seed Boxes","11929","Wellness - Surprise Collection","7","19.99","12.00","0.00"
"CS","13053","Ancestral Seed Boxes","11930","Wellness - Save the bees","2","19.99","12.00","0.00"
"CS","13053","Ancestral Seed Boxes","11931","Wellness - Flowers and medicinal plants","5","19.99","12.00","0.00"
"TIS","13061","Herbal Teas","9829","Wellness - Wild chamomile","2","19.95","11.97","0.00"
"TIS","13061","Herbal Teas","9830","Wellness - Balsam fir","3","19.95","11.97","0.00"
"TIS","13061","Herbal Teas","9831","Wellness - Red clover","4","19.95","11.97","0.00"
"TIS","13061","Herbal Teas","9832","Wellness - Stinging nettle","2","19.95","11.97","0.00"
"MI","13062","Honey","9837","Wellness - Wild chamomile","2","19.95","11.97","0.00"
"MI","13062","Honey","9838","Wellness - Balsam fir","3","19.95","11.97","0.00"
"MI","13062","Honey","9839","Wellness - Rosehips","3","19.95","11.97","0.00"
"MI","13062","Honey","9840","Wellness - Wild mint","4","19.95","11.97","0.00"
"SOC","14865","Elderberries Tincture","","Elderberries Tincture","10","30.00","0.00","0.00"
"CS-Individual","15155","Ancestral Seeds (Sachet)","","Ancestral Seeds (Sachet)","27","3.99","2.40","0.00"
"ES100","15605","Room Sprays","11708","Wellness - Cedar","3","29.95","12.99","0.00"
"ES100","15605","Room Sprays","11709","Wellness - Sage","2","29.95","12.99","0.00"
"ES100","15605","Room Sprays","11710","Wellness - Sweetgrass","2","29.95","12.99","0.00"
"ES100","15605","Room Sprays","11711","Wellness - Sandalwood","3","29.95","12.99","0.00"
"ES100","15605","Room Sprays","11712","Wellness - Vanilla Sweetgrass","3","29.95","12.99","0.00"
"ES100","15605","Room Sprays","11713","Wellness - Lavender Wildflowers","3","29.95","12.99","0.00"
"ES100","15605","Room Sprays","11714","Wellness - Sandalwood Cedar","3","29.95","12.99","0.00"
"ES100","15605","Room Sprays","11715","Wellness - Honeysuckle Rose","3","29.95","12.99","0.00"
"ES100","15605","Room Sprays","11716","Wellness - Power Blend","3","29.95","12.99","0.00"
"EPSALTS","15863","Epsom Salts","11860","Wellness - Wild Rose","1","30.00","18.00","0.00"
"EPSALTS","15863","Epsom Salts","11861","Wellness - 4 Herbs","2","30.00","18.00","0.00"
"EPSALTS","15863","Epsom Salts","11862","Wellness - Lilac","1","30.00","18.00","0.00"
"EPSALTS","15863","Epsom Salts","11863","Wellness - Wintergreen - Plantain","2","30.00","18.00","0.00"
