"Reference code","Product ID","Product name","Product Combinations ID","Quantity","Final price (pre-tax)"
"A16058-UAC1801NC04A","835","Pablo Pillow ""Silent Seekers""","","3","49.00"
"A16051-UAC1801NC05A","836","Pablo Pillow ""Northern Keepers""","","3","49.00"
"W13023-UAC1801NC09A","837","Pablo Pillow ""Water and Spirit Buffalo""","","3","49.00"
"W12018-UAC1801NC0DB","868","Pablo Pillow ""Early Evening Flowing into Fall""","","3","49.00"
"A13041-UAC1801NC0EB","869","Pablo Pillow ""Lapinx""","","3","49.00"
"A17065-UAC0301NC0CC","870","Pablo Pillow ""Forest Temple""","","4","49.00"
"A17063-UAC1801NC02A","933","Pablo Pillow ""Depth""","","4","49.00"
"A10004-UAC1801NC01C","3333","Pablo Pillow ""Merging Earth and Sky""","","2","49.00"
"A14051-UAC1801NC0TA","4862","Pablo Pillow ""Gezaluwejit""","","2","49.00"
"A18066-UAC1201NC0UA","4863","Bastien Pillow ""Under the Same Sky""","","4","49.00"
"A14051-UAC1201NC0TA","5183","Bastien Pillow ""Gezaluwejit""","","2","49.00"
"A01031-UAC2001NCOXA","7147","Pablo Pillow ""Honoring the Giver of life ""","","3","49.00"
"A20055-UAC2001NCOYA","7148","Pablo Pillow ""Refuge""","","2","49.00"
"W12005-UAC2001NCOWA","7149","Pablo Pillow ""Earth Keeper""","","2","49.00"
"A18066-UAC2001NCOUA","7151","Pablo Pillow ""Under the same Sky""","","3","49.00"
"SKU: 00-06-197","9332","Letter Opener","","2","56.00"
"SKU: 00-03-640","9338","Raccoon","8550","0","21.00"
"SKU: 00-03-640","9338","Raccoon","8551","2","32.00"
"SKU: 00-03-643","9340","Frog","8554","2","32.00"
"SKU: 00-03-643","9340","Frog","8555","0","18.00"
"SKU: 00-03-631","9342","Owl","","2","61.00"
"SKU: 00-03-632","9343","Seal","","2","61.00"
"SKU: 00-04-802","9344","Orca","","3","29.00"
"SKU: 00-03-628","9347","Loon","8566","1","23.00"
"SKU: 00-03-628","9347","Loon","8567","1","36.00"
"SKU: 00-03-628","9347","Loon","8568","0","72.00"
"SKU: Colouring027","9382","Colouring Book ""Northern Keepers""","","4","8.95"
"A16059-UAC1801NC0IC","11096","Pablo Pillow ""Wisdom Keepers""","","3","49.00"
"A08007-UAC6101NC1AA","12440","Gustave Pillow ""A Moose and a Goose""","","2","49.00"
"ECRB","13078","""Éclair"" Blanket","","2","189.00"
"HARB","13079","""Harvesters"" Blanket","","2","189.00"
"A08013-UAC6101NC0FA","13873","Gustave Pillow ""New Day""","","2","49.00"
"A10046-UAC6101NC1BA","13875","Gustave Pillow ""Geese Spirit""","","2","49.00"
