"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price"
"DC101","10209","Dream Catcher","8870","Colors - Forest Green","0","8.95","0.00","0.00"
"DC101","10209","Dream Catcher","8871","Colors - White","0","8.95","0.00","0.00"
"DC133","10213","Dream Catcher ""Wanderer""","","Dream Catcher ""Wanderer""","2","133.95","58.25","0.00"
"DC134","10214","Dream Catcher ""Wanderer""","","Dream Catcher ""Wanderer""","3","133.95","58.25","0.00"
"DC135","10215","Dream Catcher ""Wanderer""","","Dream Catcher ""Wanderer""","2","133.95","58.25","0.00"
"DC136","10216","Dream Catcher ""Wanderer""","","Dream Catcher ""Wanderer""","1","133.95","58.25","0.00"
"DC171","10217","Dream Catcher ""Generations""","8876","Colors - Purple","2","59.95","26.25","0.00"
"DC171","10217","Dream Catcher ""Generations""","8877","Colors - Tan","3","59.95","26.25","0.00"
"DC171","10217","Dream Catcher ""Generations""","8878","Colors - White","3","59.95","26.25","0.00"
"DC191","10219","Dream Catcher ""Generations""","8879","Colors - Tan","2","132.95","58.00","0.00"
"DC191","10219","Dream Catcher ""Generations""","8880","Colors - White","1","132.95","58.00","0.00"
"DC191","10219","Dream Catcher ""Generations""","8881","Colors - Purple","3","132.95","58.00","0.00"
"DC30","10220","Dream Catcher","8884","Colors - Black","10","10.95","4.00","0.00"
"DC30","10220","Dream Catcher","8885","Colors - Light Brown","11","10.95","4.00","0.00"
"DC30","10220","Dream Catcher","8886","Colors - Tan","11","10.95","4.00","0.00"
"DC30","10220","Dream Catcher","8887","Colors - White","10","10.95","4.00","0.00"
"DC30","10220","Dream Catcher","9224","Colors - Dark Brown","0","10.95","4.00","0.00"
"DC3001","10221","Aromatic Dream Catcher","","Aromatic Dream Catcher","3","16.95","7.30","0.00"
"DC3002","10222","Aromatic Dream Catcher","","Aromatic Dream Catcher","2","16.95","7.30","0.00"
"DC3003","10223","Aromatic Dream Catcher","","Aromatic Dream Catcher","5","16.95","7.30","0.00"
"DC3004","10224","Aromatic Dream Catcher","","Aromatic Dream Catcher","2","16.95","7.30","0.00"
"DC3051","10225","Aromatic Dream Catcher","","Aromatic Dream Catcher","0","13.95","7.30","0.00"
"DC3052","10226","Aromatic Dream Catcher","","Aromatic Dream Catcher","0","13.95","7.30","0.00"
"DC3053","10227","Aromatic Dream Catcher","","Aromatic Dream Catcher","3","13.95","7.30","0.00"
"DC3054","10228","Aromatic Dream Catcher","","Aromatic Dream Catcher","0","13.95","7.30","0.00"
"DC341","10230","Dream Catcher","8894","Colors - Light Blue","3","11.95","5.25","0.00"
"DC341","10230","Dream Catcher","8895","Colors - Dark Brown","4","11.95","5.25","0.00"
"DC341","10230","Dream Catcher","8896","Colors - Lavender","4","11.95","5.25","0.00"
"DC341","10230","Dream Catcher","8897","Colors - Tan","4","11.95","5.25","0.00"
"DC341","10230","Dream Catcher","9003","Colors - Pink","0","11.95","5.25","0.00"
"DC341","10230","Dream Catcher","9004","Colors - Apple Green","0","11.95","5.25","0.00"
"DC341","10230","Dream Catcher","9345","Colors - White","13","11.95","5.25","0.00"
"DC342","10231","Dream Catcher","8902","Colors - Light Brown","5","12.95","4.75","0.00"
"DC342","10231","Dream Catcher","8903","Colors - Pink","6","12.95","4.75","0.00"
"DC342","10231","Dream Catcher","8904","Colors - Purple","7","12.95","4.75","0.00"
"DC342","10231","Dream Catcher","8905","Colors - Turquoise","8","12.95","4.75","0.00"
"DC342","10231","Dream Catcher","9010","Colors - Beige","1","12.95","4.75","0.00"
"DC342","10231","Dream Catcher","9011","Colors - Royal Blue","0","12.95","4.75","0.00"
"DC342","10231","Dream Catcher","10262","Colors - White","7","12.95","4.75","0.00"
"DCV41","10232","Dream Catcher ""Energy""","","Dream Catcher ""Energy""","0","66.95","29.00","0.00"
"DCV42","10233","Dream Catcher ""Energy""","","Dream Catcher ""Energy""","2","66.95","29.10","0.00"
"DCV43","10234","Dream Catcher ""Energy""","","Dream Catcher ""Energy""","1","66.95","29.10","0.00"
"DCV44","10235","Dream Catcher ""Energy""","","Dream Catcher ""Energy""","1","66.95","29.10","0.00"
"DC410","10236","Dream Catcher","8910","Colors - Light Blue","2","11.95","4.75","0.00"
"DC410","10236","Dream Catcher","8911","Colors - Lavender","5","11.95","4.75","0.00"
"DC410","10236","Dream Catcher","8912","Colors - Mint","4","11.95","4.75","0.00"
"DC410","10236","Dream Catcher","8913","Colors - Pink","2","11.95","4.75","0.00"
"DC410","10236","Dream Catcher","10289","Colors - White","6","11.95","4.75","0.00"
"DC410","10236","Dream Catcher","11816","Colors - Tan","5","11.95","4.75","0.00"
"DC472","10237","Dream Catcher","8916","Colors - Purple","3","15.95","6.50","0.00"
"DC472","10237","Dream Catcher","8917","Colors - Tan","1","15.95","6.50","0.00"
"DC472","10237","Dream Catcher","10607","Colors - White","1","15.95","6.50","0.00"
"DC473","10238","Dream Catcher","8920","Colors - Dark Brown","3","21.95","9.10","0.00"
"DC473","10238","Dream Catcher","8921","Colors - Tan","10","21.95","9.10","0.00"
"DC476","10239","Dream Catcher","8924","Colors - Dark Brown","3","38.95","17.00","0.00"
"DC476","10239","Dream Catcher","8925","Colors - Tan","2","38.95","17.00","0.00"
"DC479","10240","Dream Catcher","8928","Colors - Dark Brown","5","59.95","26.00","0.00"
"DC479","10240","Dream Catcher","8929","Colors - Tan","6","59.95","26.00","0.00"
"DC483","10241","Dream Catcher","8933","Colors - Purple","5","21.95","9.50","0.00"
"DC483","10241","Dream Catcher","8934","Colors - White","0","21.95","9.50","0.00"
"DC483","10241","Dream Catcher","8936","Colors - Turquoise","9","21.95","9.50","0.00"
"DC486","10242","Dream Catcher","8941","Colors - Purple","8","38.95","17.00","0.00"
"DC486","10242","Dream Catcher","8942","Colors - Turquoise","6","38.95","17.00","0.00"
"DC486","10242","Dream Catcher","12358","Colors - White","6","38.95","17.00","0.00"
"DC618","10243","""Magical"" Dream Catcher","8947","Colors - Black","0","13.95","5.75","0.00"
"DC618","10243","""Magical"" Dream Catcher","8948","Colors - Lavender","12","13.95","5.75","0.00"
"DC618","10243","""Magical"" Dream Catcher","8949","Colors - Purple","13","13.95","5.75","0.00"
"DC618","10243","""Magical"" Dream Catcher","8950","Colors - Turquoise","11","13.95","5.75","0.00"
"DC618","10243","""Magical"" Dream Catcher","8951","Colors - White","11","13.95","5.75","0.00"
"DC618","10243","""Magical"" Dream Catcher","9063","Colors - Royal Blue","0","13.95","5.75","0.00"
"DC620","10246","""Magical"" Dream Catcher","8957","Colors - Black","0","18.95","8.25","0.00"
"DC620","10246","""Magical"" Dream Catcher","8958","Colors - Lavender","6","18.95","8.25","0.00"
"DC620","10246","""Magical"" Dream Catcher","8959","Colors - Purple","2","18.95","8.25","0.00"
"DC620","10246","""Magical"" Dream Catcher","8960","Colors - Turquoise","5","18.95","8.25","8.00"
"DC620","10246","""Magical"" Dream Catcher","8961","Colors - White","8","18.95","8.25","8.00"
"DC620","10246","""Magical"" Dream Catcher","11802","Colors - Rainbow","9","18.95","8.25","0.00"
"DC630","10247","""Magical"" Dream Catcher","","""Magical"" Dream Catcher","7","18.95","7.75","0.00"
"DC656","10249","""Magical"" Dream Catcher","8984","Colors - Black","2","68.95","28.00","0.00"
"DC656","10249","""Magical"" Dream Catcher","8985","Colors - Lavender","1","68.95","28.00","0.00"
"DC656","10249","""Magical"" Dream Catcher","8986","Colors - Purple","1","68.95","28.00","0.00"
"DC656","10249","""Magical"" Dream Catcher","8987","Colors - Turquoise","2","68.95","28.00","0.00"
"DC656","10249","""Magical"" Dream Catcher","9336","Colors - White","6","68.95","28.00","0.00"
"DC732","10250","Dream Catcher","8990","Colors - Tan","5","105.95","46.00","0.00"
"DC732","10250","Dream Catcher","8991","Colors - White","2","105.95","46.00","0.00"
"DC95","10252","Dream Catcher","","Dream Catcher","3","112.95","49.25","0.00"
"DC80","10253","""Spirit Feather"" Dream Catcher","","""Spirit Feather"" Dream Catcher","2","126.95","55.00","0.00"
"DC81","10254","""Spirit Feather"" Dream Catcher","","""Spirit Feather"" Dream Catcher","0","126.95","55.00","0.00"
"DC82","10255","""Spirit Feather"" Dream Catcher","","""Spirit Feather"" Dream Catcher","2","126.95","55.00","0.00"
"DC842","10256","Dream Catcher ""Energy""","","Dream Catcher ""Energy""","3","47.95","21.00","0.00"
"DC845","10257","Dream Catcher ""Energy""","","Dream Catcher ""Energy""","3","47.95","21.00","0.00"
"DC847","10258","Dream Catcher ""Energy""","","Dream Catcher ""Energy""","0","47.95","21.00","0.00"
"DC871","10259","Dream Catcher","","Dream Catcher","2","29.95","13.50","0.00"
"DC872","10260","Dream Catcher","","Dream Catcher","3","29.95","13.50","0.00"
"DCF1","10261","""Seasons"" Dream Catcher","9000","Colors - Dark Brown","3","17.95","7.50","0.00"
"DCF1","10261","""Seasons"" Dream Catcher","9001","Colors - Forest Green","3","17.95","7.50","0.00"
"DCF1","10261","""Seasons"" Dream Catcher","9002","Colors - Orange","4","17.95","7.50","0.00"
"DCF2","10262","""Seasons"" Dream Catcher","9005","Colors - Dark Brown","1","42.95","18.50","0.00"
"DCF2","10262","""Seasons"" Dream Catcher","9006","Colors - Orange","2","42.95","18.50","0.00"
"DCF2","10262","""Seasons"" Dream Catcher","9007","Colors - Forest Green","1","42.95","18.50","0.00"
"DCK19","10263","Dream Catchers Kit ""Nurture""","","Dream Catchers Kit ""Nurture""","2","12.95","4.50","0.00"
"DCK20","10264","Dream Catchers Kit ""Healing""","","Dream Catchers Kit ""Healing""","3","12.95","5.50","0.00"
"DCV20","10265","Dream Catcher ""Dragonfly""","","Dream Catcher ""Dragonfly""","1","14.95","6.50","0.00"
"DCW1","10266","""Seasons"" Dream Catcher","","""Seasons"" Dream Catcher","17","17.95","7.00","0.00"
"DCW4","10267","""Seasons"" Dream Catcher","","""Seasons"" Dream Catcher","0","11.95","4.50","0.00"
"DC841","10293","Dream Catcher ""Energy""","","Dream Catcher ""Energy""","3","47.95","21.00","0.00"
"DC420/1.5""X6","10359","DC420/1.5""X6","9105","Colors - Beige","0","10.95","3.90","0.00"
"DC420/1.5""X6","10359","DC420/1.5""X6","9107","Colors - White","0","10.95","3.90","0.00"
"DC420/1.5""X6","10359","DC420/1.5""X6","9108","Colors - Dark Brown","9","10.95","3.90","0.00"
"DC420/1.5""X6","10359","DC420/1.5""X6","9109","Colors - Forest Green","0","10.95","3.90","0.00"
"DC420/1.5""X6","10359","DC420/1.5""X6","9110","Colors - Black","0","10.95","3.90","0.00"
"DC420/1.5""X6","10359","DC420/1.5""X6","9216","Colors - Light Brown","6","10.95","3.90","0.00"
"DC421/2""X3","10360","DC421/2""X3","9111","Colors - Beige","0","12.95","5.25","0.00"
"DC421/2""X3","10360","DC421/2""X3","9112","Colors - White","0","12.95","5.25","0.00"
"DC421/2""X3","10360","DC421/2""X3","9113","Colors - Forest Green","0","12.95","5.25","0.00"
"DC422/2.5""X3","10361","DC422/2.5""","9114","Colors - Black","0","15.95","6.00","0.00"
"DC422/2.5""X3","10361","DC422/2.5""","9115","Colors - Forest Green","0","15.95","6.00","0.00"
"DC422/2.5""X3","10361","DC422/2.5""","9116","Colors - White","0","15.95","6.00","0.00"
"DC422/2.5""X3","10361","DC422/2.5""","9215","Colors - Dark Brown","4","15.95","6.00","0.00"
"DC422/2.5""X3","10361","DC422/2.5""","9217","Colors - Light Brown","0","15.95","6.00","0.00"
"DC140","10362","Dream Catcher","9210","Colors - Turquoise","0","9.95","4.00","0.00"
"DC140","10362","Dream Catcher","9211","Colors - Light Blue","0","9.95","4.00","0.00"
"DC140","10362","Dream Catcher","9213","Colors - Mint","2","9.95","4.00","0.00"
"DCV30","11462","DCV30 ""Woodland""","","DCV30 ""Woodland""","1","13.95","5.50","0.00"
"DC628","11463","""Magical"" Dream Catcher","","""Magical"" Dream Catcher","0","13.95","5.50","0.00"
"SC10","11605","Dream Catcher ""Chimes""","","Dream Catcher ""Chimes""","2","26.95","11.25","0.00"
"DCW2","11724","""Seasons"" Dream Catcher","","""Seasons"" Dream Catcher","9","42.95","18.50","0.00"
"DC844","11725","Dream Catcher ""Energy""","","Dream Catcher ""Energy""","2","47.95","21.00","0.00"
"DC848","11726","Dream Catcher ""Energy""","","Dream Catcher ""Energy""","0","47.95","21.00","0.00"
"DC633","11727","""Magical"" Dream Catcher","9334","Colors - Light Brown","4","25.95","10.75","0.00"
"DC633","11727","""Magical"" Dream Catcher","9335","Colors - White","14","25.95","10.75","0.00"
"DCK21","11738","Dream Catchers Kit ""Spirit Seeker""","","Dream Catchers Kit ""Spirit Seeker""","2","12.95","5.50","0.00"
"DCV1","11746","Dream Catcher","","Dream Catcher","4","16.95","7.50","0.00"
"DC700","11755","Birthstone Dream Catcher","9235","Stones - January Garnet Honesty","5","7.95","3.50","0.00"
"DC700","11755","Birthstone Dream Catcher","9236","Stones - February Amethyst Intuition","3","7.95","3.50","0.00"
"DC700","11755","Birthstone Dream Catcher","9237","Stones - March Aquamarine Happiness","6","7.95","3.50","0.00"
"DC700","11755","Birthstone Dream Catcher","9238","Stones - April Quartz Love","4","7.95","3.50","0.00"
"DC700","11755","Birthstone Dream Catcher","9239","Stones - May Green Garnet Compassion","1","7.95","3.50","0.00"
"DC700","11755","Birthstone Dream Catcher","9240","Stones - June Moonstone Joy","3","7.95","3.50","0.00"
"DC700","11755","Birthstone Dream Catcher","9241","Stones - July Carnelian Passion","1","7.95","3.50","0.00"
"DC700","11755","Birthstone Dream Catcher","9242","Stones - August Peridot Protection","1","7.95","3.50","0.00"
"DC700","11755","Birthstone Dream Catcher","9243","Stones - September Lapis Lazuli Focus","2","7.95","3.50","0.00"
"DC700","11755","Birthstone Dream Catcher","9244","Stones - October Pink Tourmaline Balance","4","7.95","3.50","0.00"
"DC700","11755","Birthstone Dream Catcher","9245","Stones - November Citrine Wisdom","0","7.95","3.50","0.00"
"DC700","11755","Birthstone Dream Catcher","9246","Stones - December Turquoise Friendship","4","7.95","3.50","0.00"
"PDC","11759","Pocket Dream Catcher","9259","Colors/Emotions - Awesome - Baby Blue","10","6.95","2.99","0.00"
"PDC","11759","Pocket Dream Catcher","9260","Colors/Emotions - Believe - Tan","7","6.95","2.99","0.00"
"PDC","11759","Pocket Dream Catcher","9261","Colors/Emotions - Dream - Lavender","9","6.95","2.99","0.00"
"PDC","11759","Pocket Dream Catcher","9262","Colors/Emotions - Friendship - Royal Blue","8","6.95","2.99","0.00"
"PDC","11759","Pocket Dream Catcher","9263","Colors/Emotions - Grateful - Green","9","6.95","2.99","0.00"
"PDC","11759","Pocket Dream Catcher","9264","Colors/Emotions - Happiness - Mint","5","6.95","2.99","0.00"
"PDC","11759","Pocket Dream Catcher","9265","Colors/Emotions - Hope - White","7","6.95","2.99","0.00"
"PDC","11759","Pocket Dream Catcher","9266","Colors/Emotions - Inspire - Turquoise","8","6.95","2.99","0.00"
"PDC","11759","Pocket Dream Catcher","9267","Colors/Emotions - Love - Pink","7","6.95","2.99","0.00"
"PDC","11759","Pocket Dream Catcher","9268","Colors/Emotions - Peace - Purple","6","6.95","2.99","0.00"
"PDC","11759","Pocket Dream Catcher","9269","Colors/Emotions - Orange - Shine","7","6.95","2.99","0.00"
"PDC","11759","Pocket Dream Catcher","9270","Colors/Emotions - Success - Red","8","6.95","2.99","0.00"
"DC489","12023","Dream Catcher","","Dream Catcher","1","59.95","23.75","0.00"
"DCK22","13708","Dream Catchers Kit ""Family""","","Dream Catchers Kit ""Family""","3","12.95","5.50","0.00"
"DCK11","13715","Dream Catchers Kit ""Friendship""","","Dream Catchers Kit ""Friendship""","3","10.95","4.75","0.00"
"DCK13","13716","Dream Catchers Kit ""Friendship""","","Dream Catchers Kit ""Friendship""","3","12.95","5.75","0.00"
"DCK14","13717","Dream Catchers Kit ""Friendship""","","Dream Catchers Kit ""Friendship""","2","17.95","7.50","0.00"
"DCK12","13719","Dream Catchers Kit ""Friendship""","","Dream Catchers Kit ""Friendship""","4","15.95","6.50","0.00"
"DCK15","13721","Dream Catchers Kit ""Friendship""","","Dream Catchers Kit ""Friendship""","3","10.95","4.25","0.00"
"DCK16","13722","Dream Catchers Kit ""Friendship""","","Dream Catchers Kit ""Friendship""","2","15.95","6.50","0.00"
"DCK17","13723","Dream Catchers Kit ""Friendship""","","Dream Catchers Kit ""Friendship""","3","12.95","5.75","0.00"
"DCK18","13724","Dream Catchers Kit ""Friendship""","","Dream Catchers Kit ""Friendship""","2","18.95","7.50","0.00"
"DCK41","13725","Dream Catchers Kit for Kids","","Dream Catchers Kit for Kids","2","10.95","5.00","0.00"
"DCK42","13727","Dream Catchers Kit for Kids","","Dream Catchers Kit for Kids","2","10.95","5.00","0.00"
"DCK43","13728","Dream Catchers Kit for Kids","","Dream Catchers Kit for Kids","3","10.95","5.00","0.00"
"DCK46","13729","Dream Catchers Kit for Kids","","Dream Catchers Kit for Kids","2","13.95","6.00","0.00"
"DCK47","13730","Dream Catchers Kit for Kids","","Dream Catchers Kit for Kids","1","13.95","6.00","0.00"
"DCK48","13731","Dream Catchers Kit for Kids","","Dream Catchers Kit for Kids","0","13.95","6.00","0.00"
"DCF5","13734","""Seasons"" Dream Catcher","","""Seasons"" Dream Catcher","0","38.95","16.75","0.00"
"DC822","13782","Dream Catcher","","Dream Catcher","1","36.95","16.00","0.00"
"DC350","13784","Dream Catcher","","Dream Catcher","15","16.95","7.50","0.00"
"DC412","13799","Dream Catcher","10300","Colors - Light Blue","3","15.95","6.50","0.00"
"DC412","13799","Dream Catcher","10301","Colors - Lavender","2","15.95","6.50","0.00"
"DC412","13799","Dream Catcher","10302","Colors - Mint","2","15.95","6.50","0.00"
"DC412","13799","Dream Catcher","10303","Colors - Pink","4","15.95","6.50","0.00"
"DC412","13799","Dream Catcher","10304","Colors - White","5","15.95","6.50","0.00"
"DC412","13799","Dream Catcher","12357","Colors - Tan","5","15.95","6.50","0.00"
"DC821","13867","Dream Catcher","","Dream Catcher","2","36.95","16.10","0.00"
"DCW5","13868","""Seasons"" Dream Catcher","","""Seasons"" Dream Catcher","1","38.95","15.00","0.00"
"DC94","13869","Dream Catcher","","Dream Catcher","1","92.95","40.25","0.00"
"DC751","14735","""Birthstone and Feathers"" Dream Catcher","10608","Stones - February Amethyst Intuition","0","10.95","4.50","0.00"
"DC751","14735","""Birthstone and Feathers"" Dream Catcher","10609","Stones - March Aquamarine Happiness","0","10.95","4.50","0.00"
"DC751","14735","""Birthstone and Feathers"" Dream Catcher","10610","Stones - April Quartz Love","0","10.95","4.50","0.00"
"DC751","14735","""Birthstone and Feathers"" Dream Catcher","10611","Stones - May Green Garnet Compassion","0","10.95","4.50","0.00"
"DC751","14735","""Birthstone and Feathers"" Dream Catcher","10612","Stones - June Moonstone Joy","0","10.95","4.50","0.00"
"DC751","14735","""Birthstone and Feathers"" Dream Catcher","10613","Stones - July Carnelian Passion","0","10.95","4.50","0.00"
"DC751","14735","""Birthstone and Feathers"" Dream Catcher","10614","Stones - August Peridot Protection","0","10.95","4.50","0.00"
"DC751","14735","""Birthstone and Feathers"" Dream Catcher","10615","Stones - September Lapis Lazuli Focus","1","10.95","4.50","0.00"
"DC751","14735","""Birthstone and Feathers"" Dream Catcher","10616","Stones - October Pink Tourmaline Balance","0","10.95","4.50","0.00"
"DC751","14735","""Birthstone and Feathers"" Dream Catcher","10617","Stones - November Citrine Wisdom","0","10.95","4.50","0.00"
"DC751","14735","""Birthstone and Feathers"" Dream Catcher","10618","Stones - December Turquoise Friendship","0","10.95","4.50","0.00"
"DC751","14735","""Birthstone and Feathers"" Dream Catcher","10619","Stones - January Garnet Honesty","3","10.95","4.50","0.00"
"DC830","15523","Dream Catcher ""Energy""","","Dream Catcher ""Energy""","1","110.95","48.00","0.00"
"DC849","15543","Dream Catcher ""Energy""","","Dream Catcher ""Energy""","2","47.95","21.00","0.00"
"MM13","15549","Key Chain - Dream Catcher","11690","Colors - Black","4","8.95","4.00","0.00"
"MM13","15549","Key Chain - Dream Catcher","11691","Colors - Purple","4","8.95","4.00","0.00"
