"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price"
"SKU: 52-52-ziptissus","227","Zip Pouch","","Zip Pouch","0","16.00","6.75","0.00"
"SKU: 52-52-414","355","Connie Dickens Raven Bucket Tote Bag","","Connie Dickens Raven Bucket Tote Bag","0","56.00","24.00","0.00"
"SKU: 52-52-413","356","Connie Dickens Raven Zip Tote Bag","","Connie Dickens Raven Zip Tote Bag","0","52.00","22.00","0.00"
"SKU: 52-52-412","357","Connie Dickens Raven Town Bag","","Connie Dickens Raven Town Bag","2","56.00","24.00","0.00"
"SKU: 52-52-411","358","Connie Dickens Raven Passport Bag","","Connie Dickens Raven Passport Bag","3","40.00","16.75","0.00"
"SKU: 52-52-410","359","Connie Dickens Raven Zip Pouch","","Connie Dickens Raven Zip Pouch","2","20.00","8.25","0.00"
"SKU: 52-52-415","360","Connie Dickens Raven Coin Purse","","Connie Dickens Raven Coin Purse","0","15.00","6.50","0.00"
"SKU: 52-52-865","361","Kelly Robinson Eagle Bucket Tote Bag","","Kelly Robinson Eagle Bucket Tote Bag","0","56.00","24.00","0.00"
"SKU: 52-52-855","362","Kelly Robinson Eagle Bucket Tote Bag","","Kelly Robinson Eagle Bucket Tote Bag","0","56.00","24.00","0.00"
"SKU: 52-52-864","363","Kelly Robinson Eagle Zip Tote Bag","","Kelly Robinson Eagle Zip Tote Bag","0","52.00","22.00","0.00"
"SKU: 52-52-854","364","Kelly Robinson Eagle Zip Tote Bag","","Kelly Robinson Eagle Zip Tote Bag","0","52.00","22.00","0.00"
"SKU: 52-52-866","365","Kelly Robinson Eagle Coin Purse","","Kelly Robinson Eagle Coin Purse","0","15.00","6.50","0.00"
"SKU: 52-52-856","366","Kelly Robinson Eagle Coin Purse","","Kelly Robinson Eagle Coin Purse","1","15.00","6.50","0.00"
"SKU: 52-52-861","367","Kelly Robinson Eagle Passport Purse","","Kelly Robinson Eagle Passport Purse","1","40.00","16.75","0.00"
"SKU: 52-52-851","368","Kelly Robinson Eagle Passport Purse","","Kelly Robinson Eagle Passport Purse","2","40.00","16.75","0.00"
"SKU: 52-52-863","369","Kelly Robinson Eagle Town Bag","","Kelly Robinson Eagle Town Bag","2","56.00","24.00","0.00"
"SKU: 52-52-853","370","Kelly Robinson Eagle Town Bag","","Kelly Robinson Eagle Town Bag","3","56.00","21.00","0.00"
"SKU: 52-52-860","371","Kelly Robinson Eagle Zip Pouch","","Kelly Robinson Eagle Zip Pouch","2","20.00","8.25","0.00"
"SKU: 52-52-850","372","Kelly Robinson Eagle Zip Pouch","","Kelly Robinson Eagle Zip Pouch","1","20.00","8.25","0.00"
"SKU-54-54-380","489","City Bag, Bear Box","4027","Colors - Black","0","110.00","48.00","0.00"
"SKU-54-54-380","489","City Bag, Bear Box","4029","Colors - Turquoise","0","110.00","48.00","0.00"
"SKU-54-54-380","489","City Bag, Bear Box","4030","Colors - Walnut","1","110.00","48.00","0.00"
"SKU: 54-54-206x12","501","Bear Box Coin Purse","106","Colors - Black","0","34.50","15.00","0.00"
"SKU: 54-54-206x12","501","Bear Box Coin Purse","107","Colors - Red","0","34.50","15.00","0.00"
"SKU: 54-54-206x12","501","Bear Box Coin Purse","110","Colors - Turquoise","0","34.50","15.00","0.00"
"SKU: 54-54-206x12","501","Bear Box Coin Purse","112","Colors - Black Deer","0","34.50","15.00","0.00"
"SKU: 54-54-206x12","501","Bear Box Coin Purse","113","Colors - Red Deer","0","34.50","15.00","0.00"
"SKU: 54-54-206x12","501","Bear Box Coin Purse","114","Colors - Light Brown Deer","0","34.50","15.00","0.00"
"SKU: 54-54-206x12","501","Bear Box Coin Purse","115","Colors - Turquoise Deer","0","34.50","15.00","0.00"
"SKU: 54-54-206x12","501","Bear Box Coin Purse","9223","Colors - Beige","1","34.50","15.00","0.00"
"SKU: 54-54-395","502","Mini Coin Purse Bear Box","102","Colors - Black","0","32.95","14.50","0.00"
"SKU: 54-54-395","502","Mini Coin Purse Bear Box","103","Colors - Red","4","32.95","14.50","0.00"
"SKU: 54-54-395","502","Mini Coin Purse Bear Box","104","Colors - Turquoise","4","32.95","14.50","0.00"
"SKU: 54-54-395","502","Mini Coin Purse Bear Box","105","Colors - Light Brown","3","32.95","14.50","0.00"
"SKU: 54-54-395","502","Mini Coin Purse Bear Box","2069","Colors - Walnut","0","32.95","14.50","0.00"
"SKU: 54-54-395","502","Mini Coin Purse Bear Box","3952","Colors - Yellow","3","32.95","14.50","0.00"
"SKU: 54-54-208","509","Passport Pouch Bear Box","4097","Colors - Black","0","72.00","31.00","0.00"
"SKU: 54-54-208","509","Passport Pouch Bear Box","4098","Colors - Red","0","72.00","31.00","0.00"
"SKU: 54-54-208","509","Passport Pouch Bear Box","4099","Colors - Walnut","0","72.00","31.00","0.00"
"SKU: 54-54-208","509","Passport Pouch Bear Box","4100","Colors - Turquoise","1","72.00","31.00","0.00"
"SKU: 54-54-208","509","Passport Pouch Bear Box","4102","Colors - Teal ","1","72.00","31.00","0.00"
"SKU: 54-54-208","509","Passport Pouch Bear Box","4121","Colors - Bronze","0","72.00","31.00","0.00"
"SKU: 54-54-208","509","Passport Pouch Bear Box","7834","Colors - Cream","0","72.00","31.00","0.00"
"SKU: 54-54-208","509","Passport Pouch Bear Box","9129","Colors - Yellow","0","72.00","31.00","0.00"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","8523","Colors - Black","0","120.00","52.00","0.00"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","8524","Colors - Red","0","120.00","52.00","0.00"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","8525","Colors - Saddle","0","120.00","52.00","0.00"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","8526","Colors - Turquoise","0","120.00","52.00","0.00"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","8527","Colors - Black Deer","0","120.00","52.00","0.00"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","8528","Colors - Red Deer","0","120.00","52.00","0.00"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","8529","Colors - Beige Deer","0","120.00","52.00","0.00"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","8530","Colors - Tan Deer","0","120.00","52.00","0.00"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","8531","Colors - Turquoise Deer","1","120.00","52.00","0.00"
"SKU: 54-54-232","525","Wristlet Bear Box","4078","Colors - Black","0","56.00","24.00","0.00"
"SKU: 54-54-232","525","Wristlet Bear Box","4079","Colors - Red","0","56.00","24.00","0.00"
"SKU: 54-54-232","525","Wristlet Bear Box","4081","Colors - Turquoise","0","56.00","24.00","0.00"
"SKU: 54-54-232","525","Wristlet Bear Box","4082","Colors - Tan","0","56.00","24.00","0.00"
