"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Combinations wholesale price","Combinations Impact on unit price","Product Combinations ID","Product ID"
"Matted Print - Giving Thanks","A01028-POD2555","","Impression avec Passe-Partout - Rendre Grâce","0","7.50","20.00","0.00","0.00","0.00","","608"
"Matted Print - New Day","A08013-POD2584","","Impression avec Passe-Partout - Nouveau Jour","0","7.50","20.00","0.00","0.00","0.00","","621"
"Matted Print - Patience","A08045-20084","","Impression avec Passe-Partout - Patience","0","7.50","20.00","0.00","0.00","0.00","","622"
"Matted Print - Northern Keepers","A16051-POD2566","","Impression avec Passe-Partout - Gardiens du Nord","1","7.50","20.00","0.00","0.00","0.00","","649"
"Matted Print - Gezaluwejit","A14051-POD2554","","Impression avec Passe-Partout - Gezaluwejit","3","7.50","20.00","0.00","0.00","0.00","","654"
"Matted Print - Depth","A17063-POD2550","","Impression avec Passe-Partout - Profondeur","1","7.50","20.00","0.00","0.00","0.00","","785"
"Matted Print - M'Otter Love","A17064-POD2563","","Impression avec Passe-Partout - L'Outre Mère","0","7.50","20.00","0.00","0.00","0.00","","787"
"Matted Print - Seed of Life","A18061-POD2573","","Impression avec Passe-Partout - Semence de Vie","3","7.50","20.00","0.00","0.00","0.00","","11972"
"Matted Print - Carried Away","A13042-POD2549","","Impression avec Passe-Partout - Emportée","2","7.50","20.00","0.00","0.00","0.00","","11973"
"Matted Print - Reaching Out","A01034-POD2570","","Impression avec Passe-Partout - Chaleur de Terre","1","7.50","20.00","0.00","0.00","0.00","","11975"
"Matted Print - Refuge","A20055-POD2571","","Impression avec Passe-Partout - Refuge","5","7.50","20.00","0.00","0.00","0.00","","12086"
"Matted Print - Merging Earth and Sky","A10004-POD2561","","Impression avec Passe-Partout - Fusion Entre Terre et Ciel","2","7.50","20.00","0.00","0.00","0.00","","14715"
"Matted Print - Whisper","A08011-POD2585","","Impression avec Passe-Partout - Murmure","0","7.50","20.00","0.00","0.00","0.00","","14716"
"Matted Print - Passage","W13025-POD2569","","Impression avec Passe-Partout - Passage","2","7.50","20.00","0.00","0.00","0.00","","15173"
"Matted Print - Early Evening Flowing Into Fall","W12018-POD2551","","Impression avec Passe-Partout - Soirée Glissant Vers l'Automne","2","7.50","20.00","0.00","0.00","0.00","","15175"
"Matted Print - Inner Memories","W13047-POD2560","","Impression avec Passe-Partout - Mémoires Ancestrales","2","7.50","20.00","0.00","0.00","0.00","","15176"
"Matted Print - Northern Masters","W18053-POD2883","","Impression avec Passe-Partout - Maîtres du Nord","2","7.50","20.00","0.00","0.00","0.00","","15177"
"Matted Print - Geese Spirit","A10046-POD2553","","Impression avec Passe-Partout - L'Esprit de l'Outarde","2","7.50","20.00","0.00","0.00","0.00","","15179"
"Matted Print - Ice Dream","A12050-POD2559","","Impression avec Passe-Partout - Rêve de Glace","2","7.50","20.00","0.00","0.00","0.00","","16450"
"Matted Print - Sky Girl","A01003-POD2565","","Impression avec Passe-Partout - Fille du Ciel","0","7.50","20.00","0.00","0.00","0.00","","16451"
"Matted Print - Returning","A10044-POD2572","","Impression avec Passe-Partout - Le Retour","2","7.50","20.00","0.00","0.00","0.00","","16452"
"Matted Print - Sky Girl","A01003-POD2565","","Impression avec Passe-Partout - Fille du Ciel","0","7.50","20.00","0.00","0.00","0.00","","16462"
"Matted Print - Sky Sisters","A10012-POD2565","","Impression avec Passe-Partout - Nos Soeurs du Ciel","2","7.50","20.00","0.00","0.00","0.00","","16463"
"Matted Print - Passing Through","A04060-20083","","Impression avec Passe-Partout - Traversée","1","7.50","20.00","0.00","0.00","0.00","","16860"
"Matted Print - Wisdom Keepers","A16059-POD2582","","Impression avec Passe-Partout - Gardiens de la Sagesse","3","7.50","20.00","0.00","0.00","0.00","","16861"
"Matted Print - A Moose and Goose","A08007-POD2548","","Impression avec Passe-Partout - Un Orignal et une Outarde","2","7.50","20.00","0.00","0.00","0.00","","17040"
