"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price"
"A17065-UAC0301NCOCA","874","Reuben Tote Bag ""Forest Temple""","","Reuben Tote Bag ""Forest Temple""","0","49.00","21.00","0.00"
"W12018-UAC0301NC0DA","875","Reuben Tote Bag ""Early Evening Flowing into Fall""","","Reuben Tote Bag ""Early Evening Flowing into Fall""","0","49.00","21.00","0.00"
"A08011-UAC0301NC0HA","876","Reuben Tote Bag ""Whisper""","","Reuben Tote Bag ""Whisper""","3","49.00","21.00","0.00"
"A16059-UAC0301NC0IA","877","Reuben Tote Bag ""Wisdom Seekers""","","Reuben Tote Bag ""Wisdom Seekers""","2","49.00","21.00","0.00"
"A10004-UAC0301NC01A","958","Reuben Tote Bag ""Merging Earth and Sky""","","Reuben Tote Bag ""Merging Earth and Sky""","1","49.00","21.00","0.00"
"A17064-WBL0601NCO3A","977","Kimono ""M'Otter Love""","2368","Size - TU/OS","3","129.00","49.50","0.00"
"W12018-WBL0601NCODA","978","Kimono ""Early Evening Flowing into Fall""","2369","Size - TU/OS","2","129.00","49.50","0.00"
"A17063-WBL0601NCO2A","980","Kimono ""Depth""","2371","Size - TU/OS","1","129.00","49.50","0.00"
"W18053-UAC0301NCOJB","1002","Reuben Tote Bag ""Northern Masters""","","Reuben Tote Bag ""Northern Masters""","1","49.00","21.00","0.00"
"A108013-UAC0301NCOFB","1003","Reuben Tote Bag ""New Day""","","Reuben Tote Bag ""New Day""","0","49.00","21.00","0.00"
"A13041-UAC0301NCOEB","1004","Reuben Tote Bag ""Lapinx""","","Reuben Tote Bag ""Lapinx""","3","49.00","21.00","0.00"
"A16058-WBL0601NCO4A","1059","Kimono ""Silent Seekers""","2867","Size - TU/OS","7","129.00","49.50","0.00"
"A18066-UAC0301NCOUA","4549","Reuben Tote Bag ""Under the Same Sky""","","Reuben Tote Bag ""Under the Same Sky""","4","49.00","21.00","0.00"
"A14051-WBL0601NCOTA","4866","Kimono ""Gezaluwejit""","7983","Size - TU/OS","0","129.00","49.50","0.00"
"A18066-WBL0601NCOUA","4867","Kimono ""Under the Same Sky""","7984","Size - TU/OS","2","129.00","49.50","0.00"
"A17063-UAC0301NC02A","7505","Reuben Tote Bag ""Depth""","","Reuben Tote Bag ""Depth""","6","49.00","21.00","0.00"
"A16051-UAC0301NC5A","8245","Reuben Tote Bag ""Northern Keepers""","","Reuben Tote Bag ""Northern Keepers""","0","49.00","21.00","0.00"
"A12005-WBL0601NCOWA","9048","Kimono ""Earth Keeper""","8481","Size - TU/OS","0","129.00","49.50","0.00"
"A16051-WBL0601NCO5A","9062","Kimono ""Northern Keepers""","8587","Size - TU/OS","3","129.00","49.50","0.00"
"A16058-UAC0301NC04B","9116","Reuben Tote Bag ""Silent Seekers""","","Reuben Tote Bag ""Silent Seekers""","1","49.00","21.00","0.00"
"A04015-WBL1401NC14A","9903","Elani Kimono ""Rebirth""","8700","Size - TU/OS","1","149.00","74.00","0.00"
"W13023-UAC0301NC16A","12105","Reuben Tote Bag ""Water and Spirit Buffalo""","","Reuben Tote Bag ""Water and Spirit Buffalo""","1","49.00","21.00","0.00"
"A16058-UAC0301NC04A","12163","Reuben Tote Bag ""Silent Seekers""","","Reuben Tote Bag ""Silent Seekers""","1","49.00","21.00","0.00"
"CS","13053","Ancestral Seed Boxes","11928","Wellness - Pride of you vegetable garden","7","19.99","12.00","0.00"
"CS","13053","Ancestral Seed Boxes","11929","Wellness - Surprise Collection","7","19.99","12.00","0.00"
"CS","13053","Ancestral Seed Boxes","11930","Wellness - Save the bees","2","19.99","12.00","0.00"
"CS","13053","Ancestral Seed Boxes","11931","Wellness - Flowers and medicinal plants","5","19.99","12.00","0.00"
"TIS","13061","Herbal Teas","9829","Wellness - Wild chamomile","2","19.95","11.97","0.00"
"TIS","13061","Herbal Teas","9830","Wellness - Balsam fir","3","19.95","11.97","0.00"
"TIS","13061","Herbal Teas","9831","Wellness - Red clover","4","19.95","11.97","0.00"
"TIS","13061","Herbal Teas","9832","Wellness - Stinging nettle","2","19.95","11.97","0.00"
"MI","13062","Honey","9837","Wellness - Wild chamomile","2","19.95","11.97","0.00"
"MI","13062","Honey","9838","Wellness - Balsam fir","3","19.95","11.97","0.00"
"MI","13062","Honey","9839","Wellness - Rosehips","3","19.95","11.97","0.00"
"MI","13062","Honey","9840","Wellness - Wild mint","4","19.95","11.97","0.00"
"A16058-TWL0101NC04A","13607","Joy Beach Towel - ""Silent Seekers""","","Joy Beach Towel - ""Silent Seekers""","0","79.00","26.30","0.00"
"A08019-TWL0101NC13A","13608","Joy Beach Towel - ""Unity""","","Joy Beach Towel - ""Unity""","2","79.00","26.30","0.00"
"A16059-TWL0101NC01A","13609","Joy Beach Towel - ""Wisdom Keepers""","","Joy Beach Towel - ""Wisdom Keepers""","1","79.00","26.30","0.00"
"W13026-WBL1701NC1DA","14000","Terry-Ann Kimono ""In her World""","10323","Size - TU/OS","1","119.00","58.00","0.00"
"W13023-WBL1701NC16A","14009","Terry-Ann Kimono ""Water and Spirit Buffalo""","10324","Size - TU/OS","3","119.00","58.00","0.00"
"A01028-WBL1701NC08A","14010","Terry-Ann Kimono ""Giving Thanks""","10325","Size - TU/OS","4","119.00","58.00","0.00"
"WBL1701NC1BA","14011","Terry-Ann Kimono ""Geese Spirit""","10326","Size - TU/OS","3","119.00","58.00","0.00"
"W13025-WBL1701NC1EA","14012","Terry-Ann Kimono ""Passage""","10327","Size - TU/OS","2","119.00","58.00","0.00"
"W13047-RES0101NC17A","14013","Marina Beach ""Inner Memories""","","Marina Beach ""Inner Memories""","1","109.00","46.00","0.00"
"W13047-RES0201NC17A","14018","Océanne Beach ""Inner Memories""","","Océanne Beach ""Inner Memories""","1","99.00","40.50","0.00"
"W13023-WBL0601NC11A","14097","Kimono ""Water and Spirit Buffalo at Sunset""","10356","Size - TU/OS","1","129.00","49.50","0.00"
"CS-Individual","15155","Ancestral Seeds (Sachet)","","Ancestral Seeds (Sachet)","27","3.99","2.40","0.00"
"RES0201NC13A","15183","Océanne Beach ""Unity""","","Océanne Beach ""Unity""","0","99.00","40.50","0.00"
"RES0201NC0FA","15185","Océanne Beach ""New Day""","","Océanne Beach ""New Day""","0","99.00","40.50","0.00"
"A08019-RES0101NC3A2","15186","Marina Beach ""Unity""","","Marina Beach ""Unity""","0","109.00","46.00","0.00"
"A08013-RES0101NC0FA","15187","Marina Beach ""New Day""","","Marina Beach ""New Day""","0","109.00","46.00","0.00"
"A18019-UAC0301NC13A","15205","Reuben Tote Bag ""Unity""","","Reuben Tote Bag ""Unity""","0","49.00","21.00","0.00"
"A17064-UAC0301NC03D","15213","Reuben Tote Bag ""M'Otter Love""","","Reuben Tote Bag ""M'Otter Love""","0","49.00","21.00","0.00"
"W17062-UAC0301NCOGB","15231","Reuben Tote Bag ""Horizon""","","Reuben Tote Bag ""Horizon""","0","49.00","21.00","0.00"
"A17065-WBL0601NCOCA","15237","Kimono ""Forest Temple""","11104","Size - TU/OS","3","129.00","49.50","0.00"
"W12018-UAC0301NC0DA","16359","Maxime Tote Bag ""Early Evening Flowing into Fall""","","Maxime Tote Bag ""Early Evening Flowing into Fall""","3","65.00","21.00","0.00"
