"Product name","Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID","Product ID"
"Kate Dress ""Merging Earth and Sky""","A10004-WDR2601NC01G","Robe Kate ""Fusion entre Terre et Ciel"" : Taille - XP;Robe Kate ""Fusion entre Terre et Ciel"" : Taille - P;Robe Kate ""Fusion entre Terre et Ciel"" : Taille - M;Robe Kate ""Fusion entre Terre et Ciel"" : Taille - L;Robe Kate ""Fusion entre Terre et Ciel"" : Taille - XL","0;0;0;0;0","64.50","169.00","3062;3063;3064;3065;3066","972"
"Michelle Dress ""Whisper""","A08011-WDR3201NC0HA","Robe Michelle ""Murmure"" : Taille - XP;Robe Michelle ""Murmure"" : Taille - P;Robe Michelle ""Murmure"" : Taille - M;Robe Michelle ""Murmure"" : Taille - L;Robe Michelle ""Murmure"" : Taille - XL","0;0;0;0;0","67.50","159.00","3157;3158;3159;3160;3161","981"
"Kate Dress ""Wisdom Keepers""","A16059-WDR2601NC01B","Robe Kate ""Gardiens de la Sagesse"" : Taille - XP;Robe Kate ""Gardiens de la Sagesse"" : Taille - P;Robe Kate ""Gardiens de la Sagesse"" : Taille - M;Robe Kate ""Gardiens de la Sagesse"" : Taille - L;Robe Kate ""Gardiens de la Sagesse"" : Taille - XL","0;4;2;1;0","64.50","169.00","3067;3068;3069;3070;3071","1006"
"Kate Dress ""Northern Masters""","W18053-WDR2601NC0JB","Robe Kate ""Maîtres du Nord"" : Taille - XP;Robe Kate ""Maîtres du Nord"" : Taille - P;Robe Kate ""Maîtres du Nord"" : Taille - M;Robe Kate ""Maîtres du Nord"" : Taille - L;Robe Kate ""Maîtres du Nord"" : Taille - XL","0;0;0;0;0","64.50","169.00","3077;3078;3079;3080;3081","1014"
"Michelle II Dress ""M'Otter Love""","A17064-WDR4101NC03A","Robe Michelle II ""L'Outre Mère"" : Taille - P;Robe Michelle II ""L'Outre Mère"" : Taille - M;Robe Michelle II ""L'Outre Mère"" : Taille - L;Robe Michelle II ""L'Outre Mère"" : Taille - XL;Robe Michelle II ""L'Outre Mère"" : Taille - XP","1;1;0;0;3","67.50","159.00","6855;6856;6857;6858;6859","2910"
"Kate Dress ""Gezaluwejit""","A14051-WDR2601NC0TA","Robe Kate ""Gezaluwejit"" : Taille - P;Robe Kate ""Gezaluwejit"" : Taille - M;Robe Kate ""Gezaluwejit"" : Taille - L;Robe Kate ""Gezaluwejit"" : Taille - XL;Robe Kate ""Gezaluwejit"" : Taille - XP","0;0;0;0;0","64.50","169.00","7985;7986;7987;7988;7989","4871"
"Kate Dress ""Under the Same Sky""","A18066-WDR2601NC0UA","Robe Kate ""Sous le Même Ciel"" : Taille - P;Robe Kate ""Sous le Même Ciel"" : Taille - M;Robe Kate ""Sous le Même Ciel"" : Taille - L;Robe Kate ""Sous le Même Ciel"" : Taille - XL;Robe Kate ""Sous le Même Ciel"" : Taille - XP","0;0;0;0;0","64.50","169.00","7990;7991;7992;7993;7994","4872"
"Felicia ""The River Keeper""","A09006-WDR3801NC0VA","Felicia ""La Gardienne de l'Eau"" : Taille - XP;Felicia ""La Gardienne de l'Eau"" : Taille - P;Felicia ""La Gardienne de l'Eau"" : Taille - M;Felicia ""La Gardienne de l'Eau"" : Taille - L;Felicia ""La Gardienne de l'Eau"" : Taille - XL","0;0;0;0;0","62.00","149.00","8322;8323;8324;8325;8326","8967"
"Felicia ""Refuge""","A20055-WDR3801NC0YA","Taille - P;Taille - M;Taille - L;Taille - XL;Taille - XP","0;0;0;0;0","62.00","149.00","8327;8328;8329;8330;8331","8968"
"Felicia ""Earth Keeper""","A12005-WDR3801NC0WA","Felicia ""Gardienne de la Terre"" : Taille - P;Felicia ""Gardienne de la Terre"" : Taille - M;Felicia ""Gardienne de la Terre"" : Taille - L;Felicia ""Gardienne de la Terre"" : Taille - XL;Felicia ""Gardienne de la Terre"" : Taille - XP","0;0;0;0;0","62.00","149.00","8332;8333;8334;8335;8336","8969"
