"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Unit price (tax excl.)","Unit price (per)"
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","3686","Shoe Size - 9","1","170.00","73.70","0.00",""
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","3689","Shoe Size - 12","1","170.00","73.70","0.00",""
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","3690","Shoe Size - 13","1","170.00","73.70","0.00",""
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","7290","Shoe Size - 7","1","170.00","73.70","0.00",""
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","7291","Shoe Size - 10","1","170.00","73.70","0.00",""
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","7292","Shoe Size - 11","1","170.00","73.70","0.00",""
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","7293","Shoe Size - 14","1","170.00","73.70","0.00",""
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","7294","Shoe Size - 15","0","170.00","73.70","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","3718","Shoe Size - 6","0","125.00","54.30","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","3719","Shoe Size - 7","1","125.00","54.30","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","3720","Shoe Size - 8","1","125.00","54.30","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","3721","Shoe Size - 9","1","125.00","54.30","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","3722","Shoe Size - 10","0","125.00","54.30","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","3723","Shoe Size - 11","2","125.00","54.30","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","3724","Shoe Size - 12","1","125.00","54.30","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","6907","Shoe Size - 15","0","125.00","54.30","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","7302","Shoe Size - 13","1","125.00","54.30","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","7303","Shoe Size - 14","1","125.00","54.30","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3735","Shoe Size - 6","0","98.00","42.60","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3736","Shoe Size - 7","2","98.00","42.60","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3737","Shoe Size - 8","0","98.00","42.60","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3738","Shoe Size - 9","0","98.00","42.60","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3739","Shoe Size - 10","0","98.00","42.60","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3740","Shoe Size - 11","0","98.00","42.60","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3741","Shoe Size - 12","1","98.00","42.60","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3742","Shoe Size - 13","0","98.00","42.60","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","7304","Shoe Size - 14","0","98.00","42.60","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","7305","Shoe Size - 15","0","98.00","42.60","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","6166","Shoe Size - 9","1","143.00","62.00","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","6167","Shoe Size - 10","2","143.00","62.00","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","6169","Shoe Size - 12","1","143.00","62.00","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7315","Shoe Size - 6","0","143.00","62.00","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7316","Shoe Size - 7","0","143.00","62.00","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7317","Shoe Size - 8","0","143.00","62.00","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7318","Shoe Size - 11","1","143.00","62.00","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7319","Shoe Size - 13","0","143.00","62.00","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7320","Shoe Size - 14","0","143.00","62.00","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7321","Shoe Size - 15","0","143.00","62.00","0.00",""
"6080-0400-41IND-648","1414","Suede Slippers for Men","6190","Shoe Size - 7","0","125.00","54.30","0.00",""
"6080-0400-41IND-648","1414","Suede Slippers for Men","6191","Shoe Size - 8","0","125.00","54.30","0.00",""
"6080-0400-41IND-648","1414","Suede Slippers for Men","6193","Shoe Size - 10","2","125.00","54.30","0.00",""
"6080-0400-41IND-648","1414","Suede Slippers for Men","6196","Shoe Size - 13","2","125.00","54.30","0.00",""
"6080-0400-41IND-648","1414","Suede Slippers for Men","7339","Shoe Size - 6","0","125.00","54.30","0.00",""
"6080-0400-41IND-648","1414","Suede Slippers for Men","7340","Shoe Size - 9","1","125.00","54.30","0.00",""
"6080-0400-41IND-648","1414","Suede Slippers for Men","7341","Shoe Size - 11","2","125.00","54.30","0.00",""
"6080-0400-41IND-648","1414","Suede Slippers for Men","7342","Shoe Size - 12","2","125.00","54.30","0.00",""
