"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Product Combinations ID","Product ID"
"Dream Catcher ""Wanderer""","DC134","","Capteur de Rêves ""Wanderer""","2","58.25","133.95","0.00","","10214"
"Dream Catcher ""Wanderer""","DC135","","Capteur de Rêves ""Wanderer""","2","58.25","133.95","0.00","","10215"
"Dream Catcher ""Wanderer""","DC136","","Capteur de Rêves ""Wanderer""","2","58.25","133.95","0.00","","10216"
"Dream Catcher ""Generations""","DC171","DC171PUR","Capteur de Rêves ""Générations"" : Couleurs - Mauve","2","26.25","59.95","0.00","8876","10217"
"Dream Catcher ""Generations""","DC171","DC171TAN","Capteur de Rêves ""Générations"" : Couleurs - Tan","2","26.25","59.95","0.00","8877","10217"
"Dream Catcher ""Generations""","DC171","DC171WHY","Capteur de Rêves ""Générations"" : Couleurs - Blanc","0","26.25","59.95","0.00","8878","10217"
"Dream Catcher ""Generations""","DC191","DC191TAN","Capteur de Rêves ""Générations"" : Couleurs - Tan","2","58.00","132.95","0.00","8879","10219"
"Dream Catcher ""Generations""","DC191","DC191WHT","Capteur de Rêves ""Générations"" : Couleurs - Blanc","2","58.00","132.95","0.00","8880","10219"
"Dream Catcher ""Generations""","DC191","DC191PUR","Capteur de Rêves ""Générations"" : Couleurs - Mauve","3","58.00","132.95","0.00","8881","10219"
"Dream Catcher","DC30","DC30BLK","Capteur de Rêves : Couleurs - Noir","5","4.50","10.95","0.00","8884","10220"
"Dream Catcher","DC30","DC30BRN","Capteur de Rêves : Couleurs - Brun pâle","10","4.50","10.95","0.00","8885","10220"
"Dream Catcher","DC30","DC30TAN","Capteur de Rêves : Couleurs - Tan","5","4.50","10.95","0.00","8886","10220"
"Dream Catcher","DC30","DC30WHT","Capteur de Rêves : Couleurs - Blanc","7","4.50","10.95","0.00","8887","10220"
"Dream Catcher","DC30","","Capteur de Rêves : Couleurs - Brun foncé","0","4.50","10.95","0.00","9224","10220"
"Aromatic Dream Catcher","DC3001","","Capteur de Rêves Aromatique","0","7.30","16.95","0.00","","10221"
"Dream Catcher","DC341","DC341BBL","Capteur de Rêves : Couleurs - Bleu pâle","2","5.35","12.95","0.00","8894","10230"
"Dream Catcher","DC341","DC341BRN","Capteur de Rêves : Couleurs - Brun foncé","3","5.35","12.95","0.00","8895","10230"
"Dream Catcher","DC341","DC341LAV","Capteur de Rêves : Couleurs - Lavande","2","5.35","12.95","0.00","8896","10230"
"Dream Catcher","DC341","DC341TAN","Capteur de Rêves : Couleurs - Tan","3","5.35","12.95","0.00","8897","10230"
"Dream Catcher","DC341","Rose","Capteur de Rêves : Couleurs - Rose","0","5.35","12.95","0.00","9003","10230"
"Dream Catcher","DC341","Vert pomme","Capteur de Rêves : Couleurs - Vert pomme","0","5.35","12.95","0.00","9004","10230"
"Dream Catcher","DC341","","Capteur de Rêves : Couleurs - Blanc","9","5.35","12.95","0.00","9345","10230"
"Dream Catcher","DC342","DC342BRN","Capteur de Rêves : Couleurs - Brun pâle","3","5.25","12.95","0.00","8902","10231"
"Dream Catcher","DC342","DC342PNK","Capteur de Rêves : Couleurs - Rose","2","5.25","12.95","0.00","8903","10231"
"Dream Catcher","DC342","DC342PUR","Capteur de Rêves : Couleurs - Mauve","4","5.25","12.95","0.00","8904","10231"
"Dream Catcher","DC342","DC342TUR","Capteur de Rêves : Couleurs - Turquoise","0","5.25","12.95","0.00","8905","10231"
"Dream Catcher","DC342","Beige","Capteur de Rêves : Couleurs - Beige","0","5.25","12.95","0.00","9010","10231"
