"Reference code","Product name","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product ID","Product Combinations ID"
"A08013-WBL0301NC0FB","Frida Cardigan ""New Day""","Cardigan Frida ""Nouveau Jour"" : Taille - XL","0","52.50","129.00","986","2966"
"A17063-WBL0301NC02A","Frida Cardigan ""Depth""","Cardigan Frida ""Profondeur"" : Taille - XP","4","52.50","129.00","987","2967"
"A17063-WBL0301NC02A","Frida Cardigan ""Depth""","Cardigan Frida ""Profondeur"" : Taille - P","2","52.50","129.00","987","2968"
"A17063-WBL0301NC02A","Frida Cardigan ""Depth""","Cardigan Frida ""Profondeur"" : Taille - M","5","52.50","129.00","987","2969"
"A17063-WBL0301NC02A","Frida Cardigan ""Depth""","Cardigan Frida ""Profondeur"" : Taille - L","0","52.50","129.00","987","2970"
"A17063-WBL0301NC02A","Frida Cardigan ""Depth""","Cardigan Frida ""Profondeur"" : Taille - XL","4","52.50","129.00","987","2971"
"W12018-WBL0301NC0DA","Frida Cardigan ""Early Evening Flowing into Fall""","Cardigan Frida ""Soirée Glissant vers l'Automne"" : Taille - XP","0","52.50","129.00","988","2972"
"W12018-WBL0301NC0DA","Frida Cardigan ""Early Evening Flowing into Fall""","Cardigan Frida ""Soirée Glissant vers l'Automne"" : Taille - P","0","52.50","129.00","988","2973"
"W12018-WBL0301NC0DA","Frida Cardigan ""Early Evening Flowing into Fall""","Cardigan Frida ""Soirée Glissant vers l'Automne"" : Taille - M","0","52.50","129.00","988","2974"
"W12018-WBL0301NC0DA","Frida Cardigan ""Early Evening Flowing into Fall""","Cardigan Frida ""Soirée Glissant vers l'Automne"" : Taille - L","0","52.50","129.00","988","2975"
"W12018-WBL0301NC0DA","Frida Cardigan ""Early Evening Flowing into Fall""","Cardigan Frida ""Soirée Glissant vers l'Automne"" : Taille - XL","0","52.50","129.00","988","2976"
"A01028-WBL0301NC08A","Frida Cardigan ""Giving Thanks""","Cardigan Frida ""Rendre Grâce"" : Taille - XP","0","52.50","129.00","1010","2977"
"A01028-WBL0301NC08A","Frida Cardigan ""Giving Thanks""","Cardigan Frida ""Rendre Grâce"" : Taille - P","0","52.50","129.00","1010","2978"
"A01028-WBL0301NC08A","Frida Cardigan ""Giving Thanks""","Cardigan Frida ""Rendre Grâce"" : Taille - M","0","52.50","129.00","1010","2979"
