"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Combinations wholesale price","Combinations Impact on unit price","Product Combinations ID","Product ID"
"Canvas - Carried Away","A13042-POD2549C","","Toile - Emportée","0","17.00","40.00","0.00","0.00","0.00","","12702"
"Canvas - Depth","A17063-POD2550C","","Toile - Profondeur","1","17.00","40.00","0.00","0.00","0.00","","12703"
"Canvas - Geese Spirit","A10046-POD2553C","","Toile - L'Esprit de l'Outarde","3","17.00","40.00","0.00","0.00","0.00","","12704"
"Canvas - Gezaluwejit","A14051-POD2554C","","Toile - Gezaluwejit","0","17.00","40.00","0.00","0.00","0.00","","12705"
"Canvas - Honoring the Giver of Life","A01031-POD2558C","","Toile - Hommage à la Source de Vie","2","17.00","40.00","0.00","0.00","0.00","","12707"
"Canvas - Lapinx","A13041-POD2583C","","Toile - Lapinx","0","17.00","45.00","0.00","0.00","0.00","","12708"
"Canvas - Merging Earth and Sky","A10004-POD2561C","","Toile - Fusion entre Terre et Ciel","2","17.00","40.00","0.00","0.00","0.00","","12710"
"Canvas - Northern Keepers","A16051-POD2566C","","Toile - Gardiens du Nord","0","17.00","40.00","0.00","0.00","0.00","","12712"
"Canvas - Protector","A00048-POD2884C","","Toile - Protecteur","2","17.00","40.00","0.00","0.00","0.00","","12714"
"Canvas - Reaching Out","A01034-POD2570C","","Toile - Chaleur de Terre","0","17.00","40.00","0.00","0.00","0.00","","12715"
"Canvas - Refuge","A20055-POD2571C","","Toile - Refuge","3","17.00","40.00","0.00","0.00","0.00","","12716"
"Canvas - River Keeper","A09006-POD2579C","","Toile - La Gardienne de l'Eau","3","17.00","40.00","0.00","0.00","0.00","","12717"
"Canvas - Silent Seekers","A16058-POD2574C","","Toile - En Quête de Silence","0","17.00","40.00","0.00","0.00","0.00","","12718"
"Canvas - Sky Girl","A01003-POD2575C","","Toile - Fille du Ciel","3","17.00","40.00","0.00","0.00","0.00","","12719"
"Canvas - The Forest Temple","A17065-POD2578C","","Toile - Temple de la Forêt","1","17.00","40.00","0.00","0.00","0.00","","12722"
"Canvas - Seed of Life","A18061-POD2573C","","Toile - Semence de Vie","3","17.00","45.00","0.00","0.00","0.00","","13718"
"Canvas - Whisper","A08011-POD2585C","","Toile - Murmure","0","17.00","55.00","0.00","0.00","0.00","","13736"
"Canvas - Patience","A08045-20084C","","Toile - Patience","3","17.00","40.00","0.00","0.00","0.00","","14177"
"Canvas - Journey to the Spirit World","A07020-20080C","","Toile - Voyage Vers le Monde du Songe","2","17.00","45.00","0.00","0.00","0.00","","14178"
"Canvas - Inner Memories","W13047-POD2560C","","Toile - Mémoires Ancestrales","3","17.00","40.00","0.00","0.00","0.00","","14179"
"Canvas - Ice Dream","A12050-POD2559C","","Toile - Rêves de Glace","2","17.00","40.00","0.00","0.00","0.00","","14180"
"Canvas - Harmony","A01038-POD2557C","","Toile - Harmonie","2","17.00","40.00","0.00","0.00","0.00","","14181"
"Canvas - Wisdom Keepers","A16059-POD2582C","","Toile - Gardiens de la Sagesse : Options d'encadrement - Sans cadre 20"" x 10""","0","17.00","0.00","65.00","0.00","0.00","10978","15190"
"Canvas - Wisdom Keepers","A16059-POD2582C","","Toile - Gardiens de la Sagesse : Options d'encadrement - Sans cadre 10"" x 8"" ","0","17.00","0.00","40.00","17.00","0.00","10979","15190"
"Canvas - Wisdom Keepers","A16059-POD2582C","","Toile - Gardiens de la Sagesse : Options d'encadrement - Sans cadre 12"" x 6""","2","17.00","0.00","40.00","0.00","0.00","13195","15190"
"Canvas - Sky Sisters","A10012-POD2565C","","Toile - Nos Soeurs du Ciel","2","17.00","40.00","0.00","0.00","0.00","","15191"
"Canvas - Passage","A13025-POD2569C","","Toile - Passage","1","17.00","40.00","0.00","0.00","0.00","","15192"
"Canvas - New Day","A08013-POD2584C","","Toile - Nouveau Jour","0","17.00","40.00","0.00","0.00","0.00","","15193"
"Canvas - Motter Love","A17064-POD2563C","","Toile - Loutre Mère","0","17.00","55.00","0.00","0.00","0.00","","15194"
"Canvas - Giving Thanks","A01028-POD2555C","","Toile - Rendre Grâce","3","17.00","40.00","0.00","0.00","0.00","","15195"
"Canvas - Early evening flowing into fall","W12018-POD2551C","","Toile - Soirée glissant vers l'automne","4","17.00","40.00","0.00","0.00","0.00","","16454"
"Canvas - New Fire","A01033-POD2581C","","Toile - Nouveau Feu","3","17.00","40.00","0.00","0.00","0.00","","16457"
"Canvas - The Return","A10044-POD2572C","","Toile - Le Retour","2","17.00","40.00","0.00","0.00","0.00","","16458"
"Canvas - Winter Wolves","W12008-POD2581C","","Toile - Loups d'Hiver","4","17.00","40.00","0.00","0.00","0.00","","16460"
"Canvas - In Her World","W13026-20079C","","Toile - Dans son Monde","2","17.00","40.00","0.00","0.00","0.00","","16504"
"Canvas - Earth keeper","POD2552C","","Toile - Gardienne de la Terre","3","17.00","40.00","0.00","0.00","0.00","","16684"
"Canvas - Teachings","POD2577C","","Toile - Le Chant du Tambour","2","17.00","40.00","0.00","0.00","0.00","","16685"
"Canvas - Roots of Another World","20086","","Toile - Racines d'un Autre Monde","3","17.00","40.00","0.00","0.00","0.00","","16996"
