"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Product Combinations ID","Product ID"
"Suede Moccasins for Children","698","","Mocassins en Suède pour Enfants : Pointure - 8","2","32.15","74.00","0.00","7494","3756"
"Suede Moccasins for Children","698","","Mocassins en Suède pour Enfants : Pointure - 9","2","32.15","74.00","0.00","7495","3756"
"Suede Moccasins for Children","698","","Mocassins en Suède pour Enfants : Pointure - 7","2","32.15","74.00","0.00","7496","3756"
"Suede Moccasins for Children","698","","","0","32.15","74.00","0.00","7497","3756"
"Suede Moccasins for Children","698","","","0","32.15","74.00","0.00","7498","3756"
"Suede Moccasins for Children","698","","","0","32.15","74.00","0.00","7499","3756"
"Suede Moccasins for Children","698","","","0","32.15","74.00","0.00","7500","3756"
"Moccasins Raven","SKU: 54-54-565","","Mocassins Corbeau : Pointure - 24 mois","1","40.00","92.00","0.00","8158","7029"
"Moccasins Raven","SKU: 54-54-565","","Mocassins Corbeau : Pointure - 36 mois","1","40.00","92.00","0.00","8159","7029"
"Moccasins Raven","SKU: 54-54-565","","Mocassins Corbeau : Pointure - 18 mois","0","40.00","92.00","0.00","8160","7029"
"Moccasins Bear Box","SKU: 54-54-557","556","Mocassins Bear Box : Pointure - 24 mois","3","40.00","92.00","0.00","9189","11174"
"Moccasins Bear Box","SKU: 54-54-557","557","Mocassins Bear Box : Pointure - 36 mois","3","40.00","92.00","0.00","9190","11174"
"Moccasins Bear Box","SKU: 54-54-557","555","Mocassins Bear Box : Pointure - 18 mois","2","40.00","92.00","0.00","9191","11174"
"Suede Moccasins for Children","658","","","0","32.15","74.00","0.00","10435","14294"
"Suede Moccasins for Children","658","","","0","32.15","74.00","0.00","10436","14294"
"Suede Moccasins for Children","658","","","0","32.15","74.00","0.00","10437","14294"
"Suede Moccasins for Children","658","","","0","32.15","74.00","0.00","10438","14294"
"Suede Moccasins for Children","658","","Mocassins en Suède pour Enfants : Pointure - 7","2","32.15","74.00","0.00","10439","14294"
"Suede Moccasins for Children","658","","Mocassins en Suède pour Enfants : Pointure - 8","2","32.15","74.00","0.00","10440","14294"
"Suede Moccasins for Children","658","","Mocassins en Suède pour Enfants : Pointure - 9","2","32.15","74.00","0.00","10441","14294"
"Suede Moccasins for Children","658","","Mocassins en Suède pour Enfants : Pointure - 10","2","32.15","74.00","0.00","10442","14294"
"Suede Moccasins for Children","648","","Mocassins en Suède pour Enfants : Pointure - 3","2","32.15","74.00","0.00","10485","14410"
"Suede Moccasins for Children","648","","Mocassins en Suède pour Enfants : Pointure - 4","2","32.15","74.00","0.00","10486","14410"
"Suede Moccasins for Children","648","","Mocassins en Suède pour Enfants : Pointure - 5","0","32.15","74.00","0.00","10487","14410"
"Suede Moccasins for Children","648","","Mocassins en Suède pour Enfants : Pointure - 6","0","32.15","74.00","0.00","10488","14410"
