"Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID","Product ID"
"A17065-UAC0301NCOCA","","0","21.00","49.00","","874"
"W12018-UAC0301NC0DA","","0","21.00","49.00","","875"
"A08011-UAC0301NC0HA","","4","21.00","49.00","","876"
"A16059-UAC0301NC0IA","","0","21.00","49.00","","877"
"A10004-UAC0301NC01A","","0","21.00","49.00","","958"
"W18053-UAC0301NCOJB","","0","21.00","49.00","","1002"
"A108013-UAC0301NCOFB","","0","21.00","49.00","","1003"
"A13041-UAC0301NCOEB","","3","21.00","49.00","","1004"
"A18066-UAC0301NCOUA","","4","21.00","49.00","","4549"
"A17063-UAC0301NC02A","","3","21.00","49.00","","7505"
"A16051-UAC0301NC5A","","0","21.00","49.00","","8245"
"A16058-UAC0301NC04B","","0","21.00","49.00","","9116"
"W13023-UAC0301NC16A","","2","21.00","49.00","","12105"
"A16058-UAC0301NC04A","","7","21.00","49.00","","12163"
"UAC6501NC1BA","","0","27.50","65.00","","12444"
"DC1010","DC1010 Boucles d'oreille : Couleurs - Bleu royal;DC1010 Boucles d'oreille : Couleurs - Violet;DC1010 Boucles d'oreille : Couleurs - Beige;DC1010 Boucles d'oreille : Couleurs - Turquoise","0;0;0;0","7.25","16.95","9657;9658;9659;9656","12774"
"DC5-P","","9","4.50","10.95","","12998"
"DCC20","","2","18.50","42.95","","13740"
"DC5","","3","6.00","15.95","","13767"
"UAC6901NC1BA","","0","10.50","29.00","","14741"
"UAC6901NC01A","","0","10.50","29.00","","14742"
"UAC6901NC0YA","","0","10.50","29.00","","14743"
"UAC6901NC04A","","0","10.50","29.00","","14744"
"UAC6901NC0IA","","0","10.50","29.00","","14747"
"UAC6901NC1HA","","0","10.50","29.00","","14748"
"UAC6901NCIJA","","0","10.50","29.00","","14751"
"UAC6501NC1JA","","0","27.50","65.00","","14752"
"UAC6501NCCHA","","0","27.50","65.00","","14757"
"UAC6901NC03A","","0","10.50","29.00","","14773"
"UAC6401NC1IA","","0","10.50","29.00","","14946"
"A18019-UAC0301NC13A","","0","21.00","49.00","","15205"
"A17064-UAC0301NC03D","","0","21.00","49.00","","15213"
"W17062-UAC0301NCOGB","","0","21.00","49.00","","15231"
"DCC20-P","","4","9.00","26.95","","15708"
"DCC21","","3","10.50","24.95","","15727"
"DCC21-P","","5","6.75","15.95","","15731"
"UAC6501NC0CA","","0","27.50","65.00","","16259"
"UAC6501NC03A","","0","27.50","65.00","","16260"
"UAC6501NC05A","","0","27.50","65.00","","16261"
"UAC6501NC13A","","0","27.50","65.00","","16262"
"UAC6501NC0FA","","0","27.50","65.00","","16263"
"W12018-UAC0301NC0DA","","0","21.00","65.00","","16359"
"BAG01001NCIJA","","0","24.00","59.00","","16562"
"BAG01001NC02A","","0","24.00","59.00","","16564"
"BAG01001NC0TA","","0","24.00","59.00","","16565"
"BAG01001NC05A","","0","24.00","59.00","","16566"
"BAG01001NC0JA","","0","24.00","59.00","","16567"
"BAG01001NC0YA","","0","24.00","59.00","","16568"
"UAC7001NCOTA","","0","29.00","69.00","","16569"
"UAC7001NC1DA","","0","29.00","69.00","","16570"
"UAC7001NC1YA","","0","29.00","69.00","","16572"
"UAC71001NC02A","","0","11.00","29.00","","16575"
"UAC71001NC0TA","","0","11.00","29.00","","16576"
"UAC71001NC0DA","","0","11.00","29.00","","16577"
"UAC71001NC05A","","0","11.00","29.00","","16578"
"UAC71001NC0JA","","0","11.00","29.00","","16579"
"TURQOURS","","0","16.50","1200.00","","17248"
