"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price"
"A01036-7","30","Card - Teachings","","Card - Teachings","32","5.5","2.5","0"
"A01035-7","34","Card - Strength Within","","Card - Strength Within","52","5.5","2.5","0"
"A01034-POD2570","35","Card - Reaching Out","","Card - Reaching Out","10","6.35","2.75","0"
"A01037-7","40","Card - Trust","","Card - Trust","36","5.5","2.5","0"
"A08011-7","44","Card - Whisper","","Card - Whisper","107","5.5","2.5","0"
"A08007-POD2548","47","Card - A Moose and Goose","","Card - A Moose and Goose","15","6.35","2.75","0"
"A10012-POD2565","51","Card - Sky Sisters","","Card - Sky Sisters","11","6.35","2.75","0"
"A10004-7","54","Card - Merging Earth and Sky","","Card - Merging Earth and Sky","32","5.5","2.5","0"
"A10046-7","58","Card - Geese Spirit","","Card - Geese Spirit","25","5.5","2.5","0"
"A08013-POD2584","61","Card - New Day","","Card - New Day","9","6.35","2.75","0"
"A08045-20084","64","Card - Patience","","Card - Patience","12","6.35","2.75","0"
"A01029-POD2882","67","Card - Birth of Eagle Shadow","","Card - Birth of Eagle Shadow","10","6.35","2.75","0"
"A08019-POD2886","70","Card - Unity","","Card - Unity","5","6.35","2.75","0"
"A09006-POD2579","73","Card - River Keeper","","Card - River Keeper","7","6.35","2.75","0"
"A04015-20085","76","Card - Rebirth","","Card - Rebirth","4","6.35","2.75","0"
"A04039-7","79","Card - Nostalgia","","Card - Nostalgia","2","5.5","2.5","0"
"W13025-POD2569","85","Card - Passage","","Card - Passage","14","6.35","2.75","0"
"W12024-20076","88","Card - Breath of Life","","Card - Breath of Life","8","6.35","2.75","0"
"W12008-POD2581","95","Card - Winter Wolves","","Card - Winter Wolves","14","6.35","2.75","0"
"W12014-7","101","Card - Gate of Silk","","Card - Gate of Silk","1","5.5","2.5","0"
"W12005-POD2552","104","Card - Earth Keeper","","Card - Earth Keeper","12","6.35","2.75","0"
"W12016-POD2556","107","Card - Going Home","","Card - Going Home","13","6.35","2.75","0"
"W12018-POD2551","113","Card - Early Evening Flowing Into Fall","","Card - Early Evening Flowing Into Fall","14","6.35","2.75","0"
"SKU: 53-53-611","128","Bill Helin Killer Whale Pocket Pot Holder","","Bill Helin Killer Whale Pocket Pot Holder","0","27","11.7","0"
"SKU: 53-53-510","129","Bill Helin Chilkat Apron","","Bill Helin Chilkat Apron","0","36.95","16","0"
"SKU: 53-53-528","130","Bill Helin Chilkat Trivet or Coasters","","Bill Helin Chilkat Trivet or Coasters","0","14.95","6.3","0"
"SKU: 53-53-521","131","Bill Helin Chilkat Halo Mug","","Bill Helin Chilkat Halo Mug","0","11","4.75","0"
"SKU: 53-53-581","133","Bill Helin Chilkat Pot Holder","1079","Colors - Red/Black","0","14.95","6.5","0"
"SKU: 53-53-581","133","Bill Helin Chilkat Pot Holder","1080","Colors - Red/Black/White","0","14.95","6.5","0"
"SKU: 53-53-672","135","Bill Helin Eagle Oven Mitt","","Bill Helin Eagle Oven Mitt","0","18.95","8","0"
"SKU: 53-53-671","138","Bill Helin Eagle Pot Holder","","Bill Helin Eagle Pot Holder","0","14.95","6.5","0"
"SKU: 53-53-676x2","140","Bill Helin Eagle Trivet or Coasters","","Bill Helin Eagle Trivet or Coasters","0","14.95","6.3","0"
"SKU: 53-53-554","148","Bill Helin Hummingbird Apron","","Bill Helin Hummingbird Apron","0","36.95","16","0"
"SKU: 53-53-552","152","Bill Helin Hummingbird Pot Holder","","Bill Helin Hummingbird Pot Holder","3","14.95","5.75","0"
"SKU: 53-53-653","158","Bill Helin Killer Whale Pot Holder","","Bill Helin Killer Whale Pot Holder","3","14.95","5.75","0"
"SKU: 53-53-656x2","160","Bill Helin Killer Whale Trivet or Coasters","","Bill Helin Killer Whale Trivet or Coasters","0","14.95","6.3","0"
"SKU: 53-53-010","167","Bill Helin Raven Apron","","Bill Helin Raven Apron","1","36.95","16","0"
"SKU: 53-53-007","171","Bill Helin Raven Oven Mitt","","Bill Helin Raven Oven Mitt","0","18.95","8","0"
"SKU: 53-53-006","172","Bill Helin Raven Pot Holder","","Bill Helin Raven Pot Holder","2","14.95","6.5","0"
"SKU: 53-53-045","175","Bill Helin Raven Salad Servers","1063","Colors - Rosewood","0","67","29","0"
"SKU: 53-53-045","175","Bill Helin Raven Salad Servers","1064","Colors - Charcoal","2","67","29","0"
"SKU: 52-52-792","179","Andrew Williams Hummingbird Oven Mitt","","Andrew Williams Hummingbird Oven Mitt","0","18.95","8","0"
"SKU: 52-52-794","180","Andrew Williams Hummingbird Pocket Pot Holder","","Andrew Williams Hummingbird Pocket Pot Holder","0","27","11.75","0"
"SKU: 52-52-791","181","Andrew Williams Hummingbird Pot Holder","","Andrew Williams Hummingbird Pot Holder","0","14.95","6.5","0"
"SKU: 52-52-742","186","Andrew Williams Octopus Oven Mitt","","Andrew Williams Octopus Oven Mitt","0","18.95","8","0"
"SKU: 52-52-732","187","Andrew Williams Octopus Oven Mitt","","Andrew Williams Octopus Oven Mitt","0","18.95","8","0"
"SKU: 52-52-741","190","Andrew Williams Octopus Pot Holder","","Andrew Williams Octopus Pot Holder","0","14.95","6.5","0"
"SKU: 52-52-731","191","Andrew Williams Octopus Pot Holder","","Andrew Williams Octopus Pot Holder","0","14.95","6.5","0"
"SKU: 52-52-735x2","195","Andrew Williams Octopus Trivet or Coasters","","Andrew Williams Octopus Trivet or Coasters","0","14.95","6.3","0"
"SKU: 51-51-209","198","Anthony Joseph Salmon Apron","","Anthony Joseph Salmon Apron","0","36.95","16","0"
"SKU: 51-51-332","201","Anthony Joseph Salmon Oven Mitt","","Anthony Joseph Salmon Oven Mitt","0","18.95","8","0"
"SKU: 51-51-333","202","Anthony Joseph Salmon Pot Holder","","Anthony Joseph Salmon Pot Holder","0","14.95","6.5","0"
"SKU: 51-51-336x2","204","Anthony Joseph Salmon Trivet or Coasters","","Anthony Joseph Salmon Trivet or Coasters","0","14.95","6.3","0"
"SKU: 51-51-032","205","Bill Reid ""Children of the Raven"" Apron","","Bill Reid ""Children of the Raven"" Apron","0","36.95","16","0"
"SKU: 51-51-030","208","Bill Reid  ""Children of the Raven"" Oven Mitt","","Bill Reid  ""Children of the Raven"" Oven Mitt","0","18.95","6.95","0"
"SKU: 51-51-027","209","Bill Reid ""Children of the Raven"" Pot Holder","","Bill Reid ""Children of the Raven"" Pot Holder","0","14.95","4.75","0"
"SKU: 51-51-018x2","211","Bill Reil  ""Children of the Raven"" Trivet or Coasters","","Bill Reil  ""Children of the Raven"" Trivet or Coasters","0","14","6.3","0"
"SKU: 51-51-503","213","Clifton Fred ""Bear Box"" Oven Mitt","","Clifton Fred ""Bear Box"" Oven Mitt","0","17.25","6.95","0"
"SKU: 51-51-502","214","Clifton Fred ""Bear Box"" Pot Holder","","Clifton Fred ""Bear Box"" Pot Holder","0","12.95","4.75","0"
"SKU: 52-52-432","217","Connie Dickens Raven Oven Mitt","","Connie Dickens Raven Oven Mitt","0","18.95","8","0"
"SKU: 52-52-442","218","Connie Dickens Raven Oven Mitt","","Connie Dickens Raven Oven Mitt","0","18.95","8","0"
"SKU: 52-52-431","221","Connie Dickens Raven Pot Holder","","Connie Dickens Raven Pot Holder","0","14.95","6.5","0"
"SKU: 52-52-441","222","Connie Dickens Raven Pot Holder","","Connie Dickens Raven Pot Holder","0","14.95","6.5","0"
"SKU: 52-52-435x2","225","Connie Dickens Raven Trivet or Coasters","","Connie Dickens Raven Trivet or Coasters","0","14.95","6.3","0"
"SKU: 00-04-566","229","Corrine Hunt Namwayut Collection Large Bowl","","Corrine Hunt Namwayut Collection Large Bowl","2","80","34","0"
"SKU: 00-04-561","230","Corrine Hunt Namwayut Collection Large Bowl","","Corrine Hunt Namwayut Collection Large Bowl","0","80","34","0"
"SKU: 00-04-567","231","Corrine Hunt Namwayut Collection Large Bowl Set","","Corrine Hunt Namwayut Collection Large Bowl Set","0","144","62","0"
"SKU: 00-04-562","232","Corrine Hunt Namwayut Collection Large Bowl Set","","Corrine Hunt Namwayut Collection Large Bowl Set","0","144","62","0"
"SKU: 00-04-565","233","Corrine Hunt Namwayut Collection Small Bowl","","Corrine Hunt Namwayut Collection Small Bowl","0","65","28","0"
"SKU: 00-04-560","234","Corrine Hunt Namwayut Collection Small Bowl","","Corrine Hunt Namwayut Collection Small Bowl","0","65","28","0"
"SKU: 00-04-568","235","Corrine Hunt Collection Namwayut  Salad Servers","","Corrine Hunt Collection Namwayut  Salad Servers","0","67","29","0"
"SKU: 00-04-563","236","Corrine Hunt Collection Namwayut  Salad Servers","","Corrine Hunt Collection Namwayut  Salad Servers","1","67","29","0"
"SKU: 00-04-526","238","Corrine Hunt Sea to Sky Candle Holder","","Corrine Hunt Sea to Sky Candle Holder","0","50.95","22","0"
"SKU: 00-04-525","239","Corrine Hunt Sea to Sky Candle Holder","","Corrine Hunt Sea to Sky Candle Holder","0","48.45","21","0"
"SKU: 00-04-531","240","Corrine Hunt Sea to Sky Cheese Knife","","Corrine Hunt Sea to Sky Cheese Knife","2","56","22","0"
"SKU: 00-04-528","241","Corrine Hunt Sea to Sky Table Napkin Ring","","Corrine Hunt Sea to Sky Table Napkin Ring","1","14","6.05","0"
"SKU: 00-04-523","242","Corrine Hunt Sea to Sky Hostess Platter","","Corrine Hunt Sea to Sky Hostess Platter","0","42","18","0"
"SKU: 00-04-522","243","Corrine Hunt Sea to Sky Hostess Platter","","Corrine Hunt Sea to Sky Hostess Platter","0","78","34","0"
"SKU: 04-04-521","244","Corrine Hunt Sea to Sky Hostess Platter","","Corrine Hunt Sea to Sky Hostess Platter","0","70","30","0"
"SKU: 00-04-520","245","Corrine Hunt Sea to Sky Hostess Platter","","Corrine Hunt Sea to Sky Hostess Platter","0","63","27","0"
"SKU: 00-04-532","246","Corrine Hunt Sea to Sky Pâté Knife","","Corrine Hunt Sea to Sky Pâté Knife","0","46","20","0"
"SKU: 00-06-914","247","Corrine Hunt Sea to Sky Cheese Knife","","Corrine Hunt Sea to Sky Cheese Knife","0","74","32","0"
"SKU: 00-06-915","248","Corrine Hunt Sea to Sky Cheese Knife and Fork Set","","Corrine Hunt Sea to Sky Cheese Knife and Fork Set","1","88","38","0"
"SKU: 00-04-524","249","Corrine Hunt Collection Namwayut  Salad Servers","","Corrine Hunt Collection Namwayut  Salad Servers","0","67","29","0"
"A00048-7-POD2884","251","Card - The Protector","","Card - The Protector","6","6.35","2.75","0"
"SKU: 52-52-618","253","Jim Charlie Tablier Raven Apron","","Jim Charlie Tablier Raven Apron","1","36.95","16","0"
"SKU: 52-52-617","256","Jim Charlie Mitaine Raven Oven Mitt","","Jim Charlie Mitaine Raven Oven Mitt","0","18.95","8","0"
"A01003-POD2575","257","Card - Sky Girl","","Card - Sky Girl","12","6.35","2.75","0"
"SKU: 52-52-627","259","Jim Charlie Raven Oven Mitt","","Jim Charlie Raven Oven Mitt","1","18.95","8","0"
"SKU:52-52-616","261","Jim Charlie Raven Pocket Pot Holder","","Jim Charlie Raven Pocket Pot Holder","0","32","14","0"
"A04060-20083","262","Card - Passing Through","","Card - Passing Through","11","6.35","2.75","0"
"SKU:52-52-626","264","Jim Charlie Raven Pocket Pot Holder","","Jim Charlie Raven Pocket Pot Holder","0","32","14","0"
"SKU: 52-52-619","266","Jim Charlie Raven Pot Holder","","Jim Charlie Raven Pot Holder","1","14.95","5.75","0"
"SKU: 52-52-629","267","Jim Charlie Raven Pot Holder","","Jim Charlie Raven Pot Holder","0","14.95","6.5","0"
"A09054-20087","268","Card - Tranquility","","Card - Tranquility","9","6.35","2.75","0"
"SKU: 52-52-621x2","274","Jim Charlie Raven Trivet or Coasters","","Jim Charlie Raven Trivet or Coasters","0","14.95","5.25","0"
"SKU:52-52-644","281","Jim Charlie Salmon Pocket Pot Holder","","Jim Charlie Salmon Pocket Pot Holder","0","32","14","0"
"A10044-POD2572","285","Card - The Return","","Card - The Return","9","6.35","2.75","0"
"SKU: 52-52-646x2","286","Jim Charlie Salmon Trivet or Coasters","","Jim Charlie Salmon Trivet or Coasters","0","14.95","5.25","0"
"A13056-POD2568","290","Card - Otherness","","Card - Otherness","11","6.35","2.75","0"
"A13057-POD2567","294","Card - Origins","","Card - Origins","8","6.35","2.75","0"
"SKU: 51-51-805","296","Klatle-Bhi Killer Whale Apron","","Klatle-Bhi Killer Whale Apron","0","36.95","16","0"
"A16051-POD2566","299","Card - Northern Keepers","","Card - Northern Keepers","11","6.35","2.75","0"
"A16052-POD2586","304","Card - Zenith","","Card - Zenith","27","6.35","2.75","0"
"SKU: 51-51-710x2","306","Klatle-Bhi Moon Mask Trivet or Coasters","","Klatle-Bhi Moon Mask Trivet or Coasters","0","14.95","6.3","0"
"SKU: 51-51-702","308","Klatle-Bhi Moon Mask Oven Mitt","","Klatle-Bhi Moon Mask Oven Mitt","0","18.95","8","0"
"A16058-POD2574","309","Card - Silent Seekers","","Card - Silent Seekers","10","6.35","2.75","0"
"A16059-POD2582","313","Card - Wisdom Keepers","","Card - Wisdom Keepers","9","6.35","2.75","0"
"A95053-20081","315","Card - Messenger","","Card - Messenger","15","6.35","2.75","0"
"A14051-POD2554","318","Card - Gezaluwejit","","Card - Gezaluwejit","11","6.35","2.75","0"
"W13026-7","321","Card - In Her World","","Card - In Her World","9","5.5","2.5","0"
"W13047-POD2560","324","Card - Inner Memories","","Card - Inner Memories","11","6.35","2.75","0"
"SKU: 51-51-701","330","Klatle-Bhi Moon Mask Pot Holder","","Klatle-Bhi Moon Mask Pot Holder","0","14.95","6.5","0"
"A11052-7","331","Card - Curiously","","Card - Curiously","0","5.5","2.5","0"
"A12050-POD2559","332","Card - Ice Dream","","Card - Ice Dream","9","6.35","2.75","0"
"W13027-7","335","Card - Playing With Shadows","","Card - Playing With Shadows","2","5.5","2.5","0"
"W13053-20086","338","Card - Roots Of Another World","","Card - Roots Of Another World","9","6.35","2.75","0"
"A01038-7","341","Card - Harmony","","Card - Harmony","17","5.5","2.5","0"
"A01040-7","344","Card - Sharing","","Card - Sharing","42","5.5","2.5","0"
"A13042-POD2549","347","Card - Carried Away","","Card - Carried Away","7","6.35","2.75","0"
"W13023-POD2887","350","Card - Water and Spirit Buffalo","","Card - Water and Spirit Buffalo","11","6.35","2.75","0"
"SKU: 00-04-529","353","Corrine Hunt Sea to Sky Belt Buckle","","Corrine Hunt Sea to Sky Belt Buckle","0","34","14.5","0"
"SKU: 00-04-530","354","Corrine Hunt Sea to Sky Belt Buckle","","Corrine Hunt Sea to Sky Belt Buckle","0","34","14.5","0"
"SKU: 52-52-414","355","Connie Dickens Raven Bucket Tote Bag","","Connie Dickens Raven Bucket Tote Bag","0","56","24","0"
"SKU: 52-52-413","356","Connie Dickens Raven Zip Tote Bag","","Connie Dickens Raven Zip Tote Bag","0","52","22","0"
"SKU: 52-52-412","357","Connie Dickens Raven Town Bag","","Connie Dickens Raven Town Bag","2","56","24","0"
"SKU: 52-52-411","358","Connie Dickens Raven Passport Bag","","Connie Dickens Raven Passport Bag","3","40","16.75","0"
"SKU: 52-52-410","359","Connie Dickens Raven Zip Pouch","","Connie Dickens Raven Zip Pouch","2","20","8.25","0"
"SKU: 52-52-415","360","Connie Dickens Raven Coin Purse","","Connie Dickens Raven Coin Purse","0","15","6.5","0"
"SKU: 52-52-865","361","Kelly Robinson Eagle Bucket Tote Bag","","Kelly Robinson Eagle Bucket Tote Bag","0","56","24","0"
"SKU: 52-52-855","362","Kelly Robinson Eagle Bucket Tote Bag","","Kelly Robinson Eagle Bucket Tote Bag","0","56","24","0"
"SKU: 52-52-864","363","Kelly Robinson Eagle Zip Tote Bag","","Kelly Robinson Eagle Zip Tote Bag","0","52","22","0"
"SKU: 52-52-854","364","Kelly Robinson Eagle Zip Tote Bag","","Kelly Robinson Eagle Zip Tote Bag","0","52","22","0"
"SKU: 52-52-866","365","Kelly Robinson Eagle Coin Purse","","Kelly Robinson Eagle Coin Purse","0","15","6.5","0"
"SKU: 52-52-856","366","Kelly Robinson Eagle Coin Purse","","Kelly Robinson Eagle Coin Purse","1","15","6.5","0"
"SKU: 52-52-861","367","Kelly Robinson Eagle Passport Purse","","Kelly Robinson Eagle Passport Purse","1","40","16.75","0"
"SKU: 52-52-851","368","Kelly Robinson Eagle Passport Purse","","Kelly Robinson Eagle Passport Purse","2","40","16.75","0"
"SKU: 52-52-863","369","Kelly Robinson Eagle Town Bag","","Kelly Robinson Eagle Town Bag","2","56","24","0"
"SKU: 52-52-853","370","Kelly Robinson Eagle Town Bag","","Kelly Robinson Eagle Town Bag","3","56","21","0"
"SKU: 52-52-860","371","Kelly Robinson Eagle Zip Pouch","","Kelly Robinson Eagle Zip Pouch","2","20","8.25","0"
"SKU: 52-52-850","372","Kelly Robinson Eagle Zip Pouch","","Kelly Robinson Eagle Zip Pouch","1","20","8.25","0"
"SKU: 00-07-730x3","373","Corrine Hunt Silk Inspiration Bangle","1038","Size - S","0","54","23.5","0"
"SKU: 00-07-730x3","373","Corrine Hunt Silk Inspiration Bangle","1039","Size - M","1","54","23.5","0"
"SKU: 00-07-730x3","373","Corrine Hunt Silk Inspiration Bangle","1040","Size - L","0","54","23.5","0"
"SKU: 00-07-733x3","374","Corrine Hunt Silk Inspiration Bangle","1035","Size - S","0","54","23.5","0"
"SKU: 00-07-733x3","374","Corrine Hunt Silk Inspiration Bangle","1036","Size - M","1","54","23.5","0"
"SKU: 00-07-733x3","374","Corrine Hunt Silk Inspiration Bangle","1037","Size - L","1","54","23.5","0"
"SKU: 00-07-750x2","375","Corrine Hunt Silk Inspiration Cuff Bracelet","1033","Size - S","1","60","26","0"
"SKU: 00-07-750x2","375","Corrine Hunt Silk Inspiration Cuff Bracelet","1034","Size - M","1","60","26","0"
"SKU: 00-07-752x2","376","Corrine Hunt Silk Inspiration Cuff Bracelet","1031","Size - S","0","60","26","0"
"SKU: 00-07-752x2","376","Corrine Hunt Silk Inspiration Cuff Bracelet","1032","Size - M","0","60","26","0"
