"Reference code","Product ID","Product name","Product Combinations ID","Associated categories Ids","Quantity","Pre-tax retail price","Combinations Impact on price (pre-tax)"
"A13041-WNS0801NC0EC","946","Kaplan Tank ""Lapinx""","3287","2;56;281","0","129.00","0.00"
"A13041-WNS0801NC0EC","946","Kaplan Tank ""Lapinx""","3288","2;56;281","0","129.00","0.00"
"A13041-WNS0801NC0EC","946","Kaplan Tank ""Lapinx""","3289","2;56;281","0","129.00","0.00"
"A13041-WNS0801NC0EC","946","Kaplan Tank ""Lapinx""","3290","2;56;281","0","129.00","0.00"
"A13041-WNS0801NC0EC","946","Kaplan Tank ""Lapinx""","3291","2;56;281","0","129.00","0.00"
"A17063-WBL0701NC02A","1067","Cassatt Vest ""Depth""","2883","56;288","0","119.00","0.00"
"A17063-WBL0701NC02A","1067","Cassatt Vest ""Depth""","2884","56;288","0","119.00","0.00"
"A17063-WBL0701NC02A","1067","Cassatt Vest ""Depth""","2885","56;288","0","119.00","0.00"
"A17063-WBL0701NC02A","1067","Cassatt Vest ""Depth""","2886","56;288","0","119.00","0.00"
"A17063-WBL0701NC02A","1067","Cassatt Vest ""Depth""","2887","56;288","0","119.00","0.00"
"A18066-WLS20001NC0UA","12069","Mia Turtleneck ""Under the Same Sky"" Plus Size","9541","56;285","0","149.00","0.00"
"A18066-WLS20001NC0UA","12069","Mia Turtleneck ""Under the Same Sky"" Plus Size","9542","56;285","0","149.00","0.00"
"A18066-WLS20001NC0UA","12069","Mia Turtleneck ""Under the Same Sky"" Plus Size","9543","56;285","0","149.00","0.00"
"STRS","13087","Shawl ""Storm""","","2;56;306","0","134.00","0.00"
"THRS","13089","Shawl ""Thunderbird""","","2;56;306","0","134.00","0.00"
"BBRS","13090","Shawl ""Birch Bark""","","2;56;306","0","134.00","0.00"
"MIRS","13091","Shawl ""Miel""","","2;56;306","0","134.00","0.00"
"HARS","13093","Shawl ""Harvesters""","","2;56;306","0","134.00","0.00"
"A08019-WLS340101NC13A","13884","Catherine Zip Top - ""Unity""","10306","2;56;285","0","159.00","0.00"
"A08019-WLS340101NC13A","13884","Catherine Zip Top - ""Unity""","10307","2;56;285","0","159.00","0.00"
"A08019-WLS340101NC13A","13884","Catherine Zip Top - ""Unity""","10308","2;56;285","0","159.00","0.00"
"A08019-WLS340101NC13A","13884","Catherine Zip Top - ""Unity""","10309","2;56;285","0","159.00","0.00"
"A08019-WLS340101NC13A","13884","Catherine Zip Top - ""Unity""","10310","2;56;285","0","159.00","0.00"
