"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Pre-tax retail price","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","11_FEATURE_Approx. size framed","5_FEATURE_Compositions"
"A13042-2","721","Ltd Edition - Carried Away","1898","Frame Options - Black rustic frame 1""","0","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","14.25"" x 21.125""",""
"A13042-2","721","Ltd Edition - Carried Away","1899","Frame Options - Brown rustic frame 1""","0","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","14.25"" x 21.125""",""
"A13042-2","721","Ltd Edition - Carried Away","1900","Frame Options - Grey rustic frame 1""","0","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","14.25"" x 21.125""",""
"A09006-1","741","Canvas - River Keeper","1854","Frame Options - Wood floater frame black","0","0.00","15"" x 24""","","","","17"" x 26""",""
"A09006-1","741","Canvas - River Keeper","1855","Frame Options - Wood floater frame brown","0","0.00","15"" x 24""","","","","17"" x 26""",""
"A09006-1","741","Canvas - River Keeper","1856","Frame Options - Wood floater frame pewter","0","0.00","15"" x 24""","","","","17"" x 26""",""
"A09006-1","741","Canvas - River Keeper","8134","Frame Options - Without frame 15"" x 24""","1","0.00","15"" x 24""","","","","17"" x 26""",""
"A09006-1","741","Canvas - River Keeper","8135","Frame Options - Without frame 30"" x 48""","0","0.00","15"" x 24""","","","","17"" x 26""",""
"A09006-1","741","Canvas - River Keeper","9712","Frame Options - Without frame 29"" x 48""","1","0.00","15"" x 24""","","","","17"" x 26""",""
"A16052-1","766","Canvas - Zenith","1866","Frame Options - Wood floater frame black","0","0.00","6"" x 36""","","","","8"" x 38""",""
"A16052-1","766","Canvas - Zenith","1867","Frame Options - Wood floater frame brown","0","0.00","6"" x 36""","","","","8"" x 38""",""
"A16052-1","766","Canvas - Zenith","1868","Frame Options - Wood floater frame pewter","0","0.00","6"" x 36""","","","","8"" x 38""",""
"A16052-1","766","Canvas - Zenith","9715","Frame Options - Without frame ","0","0.00","6"" x 36""","","","","8"" x 38""",""
"A17065-POD2578","781","Card - The Forest Temple","","Card - The Forest Temple","7","6.35","","","","6"" x 9""","",""
"A17063-POD2550","782","Card - Depth","","Card - Depth","4","6.35","","","","6"" x 9""","",""
"W17062-7","783","Card - Horizon","","Card - Horizon","8","5.50","","","","5"" x 7""","",""
"A17064-POD2563","784","Card - M'Otter love","","Card - M'Otter love","3","6.35","","","","6"" x 9""","",""
"W17062-6","786","Small Print - Horizon","","Small Print - Horizon","16","25.00","","8"" x 10""","","","",""
"A17065-6","788","Small Print - The Forest Temple","","Small Print - The Forest Temple","10","25.00","","8"" x 10""","","","",""
"A08021-7","797","Card - Wikwemikong","","Card - Wikwemikong","9","5.50","","","","5"" x 7""","",""
"A09055-7","798","Card - Abundance","","Card - Abundance","14","5.50","","","","5"" x 7""","",""
"W18053-7-POD2883","799","Card - Northern Masters","","Card - Northern Masters","8","6.35","","","","6"" x 9""","",""
"W18053-6","800","Small Print - Northern Masters","","Small Print - Northern Masters","4","25.00","","8"" x 10""","","","",""
"W18053-2","801","Ltd Edition - Northern Masters","1316","Frame Options - Black rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","",""
"W18053-2","801","Ltd Edition - Northern Masters","1317","Frame Options - Brown rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","",""
"W18053-2","801","Ltd Edition - Northern Masters","1318","Frame Options - Grey rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","",""
"W18053-2","801","Ltd Edition - Northern Masters","1319","Frame Options - Without frame ","3","0.00","10.25"" x 13.25""","16"" x 20""","99","","",""
"A20067-2","4079","Ltd Edition - All my Relations","7699","Frame Options - Without frame ","3","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A20067-2","4079","Ltd Edition - All my Relations","7700","Frame Options - Black rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A20067-2","4079","Ltd Edition - All my Relations","7701","Frame Options - Brown rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A20067-2","4079","Ltd Edition - All my Relations","7702","Frame Options - Grey rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A20067-POD2580","4080","Card - All my Relations","","Card - All my Relations","16","6.35","","","","9"" x 6""","",""
"A20067-6","4081","Small Print - All my Relations","","Small Print - All my Relations","11","25.00","","10"" x 8""","","","",""
"A19054-2","4082","Ltd Edition - Footprint","7703","Frame Options - Black rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A19054-2","4082","Ltd Edition - Footprint","7704","Frame Options - Brown rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A19054-2","4082","Ltd Edition - Footprint","7705","Frame Options - Grey rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A19054-2","4082","Ltd Edition - Footprint","7706","Frame Options - Without frame ","2","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A19054-7","4083","Card - Footprint","","Card - Footprint","8","5.50","","","","7"" x 5""","",""
"A19054-6","4088","Small Print - Footprint","","Small Print - Footprint","17","25.00","","10"" x 8""","","","",""
"A18062-7","4126","Card - Humility","","Card - Humility","11","5.50","","","","5"" x 7""","",""
"A18062-6","4127","Small Print - Humility","","Small Print - Humility","13","25.00","","8"" x 10""","","","",""
"A18062-2","4129","Ltd Edition - Humility","7729","Frame Options - Black rustic frame 1""","0","0.00","12” x 12”","17.75” 17.875”","99","","19.5"" x 19.5""",""
"A18062-2","4129","Ltd Edition - Humility","7730","Frame Options - Brown rustic frame 1""","0","0.00","12” x 12”","17.75” 17.875”","99","","19.5"" x 19.5""",""
"A18062-2","4129","Ltd Edition - Humility","7731","Frame Options - Grey rustic frame 1""","0","0.00","12” x 12”","17.75” 17.875”","99","","19.5"" x 19.5""",""
"A18062-2","4129","Ltd Edition - Humility","7732","Frame Options - Without frame ","2","0.00","12” x 12”","17.75” 17.875”","99","","19.5"" x 19.5""",""
"A20055-2","4148","Ltd Edition - Refuge","7809","Frame Options - Black rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A20055-2","4148","Ltd Edition - Refuge","7810","Frame Options - Brown rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A20055-2","4148","Ltd Edition - Refuge","7811","Frame Options - Grey rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A20055-2","4148","Ltd Edition - Refuge","7812","Frame Options - Without frame ","4","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A18061-2","4149","Ltd Edition - Seed of Life","7813","Frame Options - Black rustic frame 1""","0","0.00","12” x 12”","17.75” 17.875”","99","","19.5"" x 19.5""",""
"A18061-2","4149","Ltd Edition - Seed of Life","7814","Frame Options - Brown rustic frame 1""","0","0.00","12” x 12”","17.75” 17.875”","99","","19.5"" x 19.5""",""
"A18061-2","4149","Ltd Edition - Seed of Life","7815","Frame Options - Grey rustic frame 1""","0","0.00","12” x 12”","17.75” 17.875”","99","","19.5"" x 19.5""",""
"A18061-2","4149","Ltd Edition - Seed of Life","7816","Frame Options - Without frame ","2","0.00","12” x 12”","17.75” 17.875”","99","","19.5"" x 19.5""",""
"A18066-2","4150","Ltd Edition - Under the Same Sky","7817","Frame Options - Black rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A18066-2","4150","Ltd Edition - Under the Same Sky","7818","Frame Options - Brown rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A18066-2","4150","Ltd Edition - Under the Same Sky","7819","Frame Options - Grey rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A18066-2","4150","Ltd Edition - Under the Same Sky","7820","Frame Options - Without frame ","2","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A20055-POD2571","4156","Card - Refuge","","Card - Refuge","23","6.35","","","","9"" x 6""","",""
"A18061-POD2573","4157","Card - Seed of Life","","Card - Seed of Life","14","6.35","","","","6"" x 9""","",""
"A18066-POD2885","4161","Card - Under the Same Sky","","Card - Under the Same Sky","4","6.35","","","","9"" x 6""","",""
"A18061-6","4170","Small Print - Seed of Life","","Small Print - Seed of Life","3","25.00","","8"" x 10""","","","",""
"A18066-6","4171","Small Print - Under the Same Sky","","Small Print - Under the Same Sky","5","25.00","","10"" x 8""","","","",""
"A08021-6","4173","Small Print - Wikwemikong","","Small Print - Wikwemikong","7","25.00","","8"" x 10""","","","",""
"A09010-6","4174","Small Print - Kouragimut","","Small Print - Kouragimut","3","25.00","","8"" x 10""","","","",""
"A01033-7","5389","Card - New Fire","","Card - New Fire","81","5.50","","","","5"" x 7""","",""
"BOX250","8741","Women Strength","","Women Strength","4","21.45","","","","","",""
"W12017-POD2576","13550","Card - Synchronicity","","Card - Synchronicity","10","6.35","","","","6"" x 9""","",""
"A13041-POD2583","13551","Card - Lapinx","","Card - Lapinx","3","6.35","","","","6"" x 9""","",""
