"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Pre-tax retail price","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","11_FEATURE_Approx. size framed","5_FEATURE_Compositions"
"A09006-6","625","Small Print - River Keeper","","Small Print - River Keeper","19","25.00","","8"" x 10""","","","",""
"A04015-6","626","Small Print - Rebirth","","Small Print - Rebirth","4","25.00","","8"" x 10""","","","",""
"A04039-6","627","Small Print - Nostalgia","","Small Print - Nostalgia","18","25.00","","8"" x 10""","","","",""
"A07020-6","628","Small Print - Journey to the Spirit World","","Small Print - Journey to the Spirit World","16","25.00","","10"" x 8""","","","",""
"W12024-6","630","Small Print - Breath of Life","","Small Print - Breath of Life","14","25.00","","10"" x 8""","","","",""
"W12017-6","631","Small Print - Synchronicity","","Small Print - Synchronicity","16","25.00","","8"" x 10""","","","",""
"W12008-6","632","Small Print - Winter wolves","","Small Print - Winter wolves","5","25.00","","10"" x 8""","","","",""
"W12001-6","633","Small Print - Dialogue","","Small Print - Dialogue","11","25.00","","10"" x 8""","","","",""
"W12014-6","634","Small Print - Gate of Silk","","Small Print - Gate of Silk","15","25.00","","10"" x 8""","","","",""
"W12005-6","635","Small Print - Earth Keeper","","Small Print - Earth Keeper","7","25.00","","8"" x 10""","","","",""
"W12016-6","636","Small Print - Going Home","","Small Print - Going Home","12","25.00","","8"" x 10""","","","",""
"W12018-6","638","Small Print - Early Evening Flowing Into Fall","","Small Print - Early Evening Flowing Into Fall","8","25.00","","10"" x 8""","","","",""
"A00048-6","640","Small Print - The Protector","","Small Print - The Protector","13","25.00","","8"" x 10""","","","",""
"A01003-6","641","Small Print - Sky Girl","","Small Print - Sky Girl","12","25.00","","8"" x 10""","","","",""
"A04060-6","642","Small Print - Passing Through","","Small Print - Passing Through","9","25.00","","8"" x 10""","","","",""
"A09054-6","643","Small print - Tranquility","","Small print - Tranquility","10","25.00","","8"" x 10""","","","",""
"A16055-6","644","Small Print - Abundance","","Small Print - Abundance","14","25.00","","8"" x 10""","","","",""
"A13041-6","645","Small Print - Lapinx","","Small Print - Lapinx","18","25.00","","8"" x 10""","","","",""
"A10044-6","646","Small Print - Returning","","Small Print - Returning","11","25.00","","10"" x 8""","","","",""
"A13056-6","647","Small print - Otherness","","Small print - Otherness","13","25.00","","10"" x 8""","","","",""
"A13057-6","648","Small Print - Origins","","Small Print - Origins","14","25.00","","8"" x 10""","","","",""
"A16052-6","650","Small Print - Zenith","","Small Print - Zenith","6","25.00","","8"" x 10""","","","",""
"A16058-6","651","Small Print - Silent Seekers","","Small Print - Silent Seekers","17","25.00","","10"" x 8""","","","",""
"A16059-6","652","Small Print - Wisdom Keepers","","Small Print - Wisdom Keepers","10","25.00","","10"" x 8""","","","",""
"A95053-6","653","Small Print - Messenger","","Small Print - Messenger","10","25.00","","8"" x 10""","","","",""
"A14051-6","654","Small Print - Gezaluwejit","","Small Print - Gezaluwejit","3","25.00","","8"" x 10""","","","",""
"W13026-6","655","Small Print - In Her World","","Small Print - In Her World","16","25.00","","10"" x 8""","","","",""
"W13047-6","656","Small Print - Inner Memories","","Small Print - Inner Memories","6","25.00","","10"" x 8""","","","",""
"A12050-6","658","Small Print - Ice Dream","","Small Print - Ice Dream","6","25.00","","10"" x 8""","","","",""
"W13027-6","659","Small Print - Playing With Shadows","","Small Print - Playing With Shadows","15","25.00","","10"" x 8""","","","",""
"A13053-6","660","Small Print - Roots Of Another World","","Small Print - Roots Of Another World","14","25.00","","10"" x 8""","","","",""
"A01038-6","661","Small Print - Harmony","","Small Print - Harmony","3","25.00","","10"" x 8""","","","",""
"A13042-6","663","Small Print - Carried Away","","Small Print - Carried Away","3","25.00","","8"" x 10""","","","",""
"W13023-6","664","Small Print - Water and Spirit Buffalo","","Small Print - Water and Spirit Buffalo","16","25.00","","10"" x 8""","","","",""
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","1601","Frame Options - Without frame ","3","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","1602","Frame Options - Black rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","1603","Frame Options - Brown rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","1604","Frame Options - Grey rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A01033-2","669","Ltd Edition - New Fire","1609","Frame Options - Without frame ","2","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A01033-2","669","Ltd Edition - New Fire","1610","Frame Options - Black rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A01033-2","669","Ltd Edition - New Fire","1611","Frame Options - Brown rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A01033-2","669","Ltd Edition - New Fire","1612","Frame Options - Grey rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A01036-2","670","Ltd Edition - Teachings","1613","Frame Options - Without frame ","2","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A01036-2","670","Ltd Edition - Teachings","1614","Frame Options - Black rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A01036-2","670","Ltd Edition - Teachings","1615","Frame Options - Brown rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A01036-2","670","Ltd Edition - Teachings","1616","Frame Options - Grey rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A10012-2","676","Ltd Edition - Sky Sisters","1717","Frame Options - Without frame ","2","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A10012-2","676","Ltd Edition - Sky Sisters","1718","Frame Options - Black rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A10012-2","676","Ltd Edition - Sky Sisters","1719","Frame Options - Brown rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A10012-2","676","Ltd Edition - Sky Sisters","1720","Frame Options - Grey rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A10046-2","678","Ltd Edition - Geese Spirit","1725","Frame Options - Without frame ","2","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
