"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Combinations wholesale price","Combinations Impact on unit price","Product Combinations ID","Product ID"
"Moisturizing Lip Balm","BA","BALF","Baumes à Lèvres Hydratants : Bien-être - Framboise sauvage - Miel","6","11.85","20.00","0.00","0.00","0.00","9796","13042"
"Moisturizing Lip Balm","BA","BALM","Baumes à Lèvres Hydratants : Bien-être - Menthe sauvage - Miel","8","11.85","20.00","0.00","0.00","0.00","9797","13042"
"Body Balm","CB","CBAS30","Baumes pour le Corps : Bien-être - Fleur de salicaire","4","21.00","35.00","0.00","0.00","0.00","9800","13045"
"Body Balm","CB","CBCH29","Baumes pour le Corps : Bien-être - Chèvrefeuille","0","21.00","35.00","0.00","0.00","0.00","9801","13045"
"Body Balm","CB","CBMC31","Baumes pour le Corps : Bien-être - Marguerite sauvage","1","21.00","35.00","0.00","0.00","0.00","9802","13045"
"Hydrolatherapy Mist","HV","","Brume Hydrolathérapique","7","18.00","29.99","0.00","0.00","0.00","","13046"
"Anti-Aging Elixir","EV","","Élixir Anti-Âge","6","36.00","59.99","0.00","0.00","0.00","","13047"
"Spiritual Mist","HQ","HQ120","Brume Spirituelle : Taille - 120ml","20","0.00","0.00","18.00","9.00","0.00","9803","13052"
"Spiritual Mist","HQ","HQHS42","Brume Spirituelle : Taille - 270ml","19","0.00","0.00","25.00","15.00","0.00","9804","13052"
"Ancestral Seed Boxes","CS","","Coffrets de Semences Ancestrales : Bien-être - Légume, fierté de votre potager","6","12.00","19.99","0.00","0.00","0.00","11928","13053"
"Ancestral Seed Boxes","CS","","Coffrets de Semences Ancestrales : Bien-être - Collection surprise","7","12.00","19.99","0.00","0.00","0.00","11929","13053"
"Ancestral Seed Boxes","CS","","Coffrets de Semences Ancestrales : Bien-être - Sauvons les abeilles","0","12.00","19.99","0.00","0.00","0.00","11930","13053"
"Ancestral Seed Boxes","CS","","Coffrets de Semences Ancestrales : Bien-être - Fleurs et plantes médicinales","4","12.00","19.99","0.00","0.00","0.00","11931","13053"
"Face Cream","CV","CVCR002","Crème pour le Visage : Bien-être - Camomille sauvage - Rose, Taille - 195g","1","0.00","0.00","65.00","39.00","0.00","10212","13054"
"Face Cream","CV","CVP03","Crème pour le Visage : Bien-être - Fruits sauvage, Taille - 195g","0","0.00","0.00","65.00","39.00","0.00","10214","13054"
"Face Cream","CV","CVMT001","Crème pour le Visage : Bien-être - Mauve Musquée - Tilleul, Taille - 195g","4","0.00","0.00","65.00","39.00","0.00","10216","13054"
"Face Cream","CV","CVCR2","Crème pour le Visage : Bien-être - Camomille sauvage - Rose, Taille - 55g","7","0.00","0.00","29.99","15.00","0.00","10218","13054"
"Face Cream","CV","CVPF2","Crème pour le Visage : Bien-être - Baies Sauvages, Taille - 55g","0","0.00","0.00","29.99","15.00","0.00","10220","13054"
"Face Cream","CV","CVMT2","Crème pour le Visage : Bien-être - Mauve Musquée - Tilleul, Taille - 55g","4","0.00","0.00","29.99","15.00","0.00","10222","13054"
"Body Cream","CC","CCFD08","Crème pour le Corps : Bien-être - Foin d'odeur, Taille - 255g","2","0.00","0.00","45.00","27.00","0.00","10230","13056"
"Body Cream","CC","CCFO2","Crème pour le Corps : Bien-être - Foin d'odeur, Taille - 55g","4","0.00","0.00","24.99","12.00","0.00","10234","13056"
"Body Cream","CC","CCLR13","Crème pour le Corps : Bien-être - Lavande - Romarin, Taille - 255g","5","0.00","0.00","45.00","27.00","0.00","10238","13056"
"Body Cream","CC","CCLR2","Crème pour le Corps : Bien-être - Lavande - Romarin, Taille - 55g","6","0.00","0.00","24.99","12.00","0.00","10242","13056"
"Body Cream","CC","CCTI22","Crème pour le Corps : Bien-être - Tilleul, Taille - 255g","4","0.00","0.00","45.00","27.00","0.00","10246","13056"
"Body Cream","CC","CCT2","Crème pour le Corps : Bien-être - Tilleul, Taille - 55g","7","0.00","0.00","24.99","12.00","0.00","10250","13056"
"Body Cream","CC","","Crème pour le Corps : Bien-être - Rose Sauvage, Taille - 255g","2","0.00","0.00","45.00","0.00","0.00","13345","13056"
"Body Cream","CC","","Crème pour le Corps : Bien-être - Framboise Jasmin, Taille - 255g","3","0.00","0.00","45.00","0.00","0.00","13346","13056"
"Body Cream","CC","","Crème pour le Corps : Bien-être - Muguet Sauvage, Taille - 255g","3","0.00","0.00","45.00","0.00","0.00","13347","13056"
"Pain Management Care Cream","CCD","CCD2","Crème Anti-Douleurs : Taille - 55g","3","0.00","0.00","24.99","12.00","0.00","9823","13058"
"Pain Management Care Cream","CCD","CCDS07","Crème Anti-Douleurs : Taille - 170g","5","0.00","0.00","55.00","33.00","0.00","9824","13058"
"Deodorants","DEO","DEOP","Déodorants : Bien-être - Baies Sauvages","3","9.57","16.00","0.00","0.00","0.00","9826","13060"
"Deodorants","DEO","DEOF","Déodorants : Bien-être - Fleurs sauvages","4","9.57","16.00","0.00","0.00","0.00","9827","13060"
"Deodorants","DEO","DEOC","Déodorants : Bien-être - Conifère","2","9.57","16.00","0.00","0.00","0.00","9828","13060"
"Herbal Teas","TIS","TISMAT","Tisanes : Bien-être - Matricaire Odorante","2","11.97","19.95","0.00","0.00","0.00","9829","13061"
"Herbal Teas","TIS","TISSAP","Tisanes : Bien-être - Sapin baumier","3","11.97","19.95","0.00","0.00","0.00","9830","13061"
"Herbal Teas","TIS","TISTRFL","Tisanes : Bien-être - Trèfle rouge","4","11.97","19.95","0.00","0.00","0.00","9831","13061"
"Herbal Teas","TIS","TISORT","Tisanes : Bien-être - Ortie","4","11.97","19.95","0.00","0.00","0.00","9832","13061"
"Honey","MI","MIMB","Miel : Bien-être - Matricaire Odorante","4","11.97","19.95","0.00","0.00","0.00","9837","13062"
