"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price","Pre-tax retail price"
"B468","1043","Leather Moccasins for Men","2735","Shoe Size - 10","0","164.00","71.00","0.00","0.00"
"B468","1043","Leather Moccasins for Men","7211","Shoe Size - 11","0","164.00","71.00","0.00","0.00"
"B468","1043","Leather Moccasins for Men","7212","Shoe Size - 12","0","164.00","71.00","0.00","0.00"
"B468","1043","Leather Moccasins for Men","7213","Shoe Size - 13","0","164.00","71.00","0.00","0.00"
"B468","1043","Leather Moccasins for Men","7214","Shoe Size - 14","0","164.00","71.00","0.00","0.00"
"B468","1043","Leather Moccasins for Men","7215","Shoe Size - 15","0","164.00","71.00","0.00","0.00"
"B489","1044","Leather Moccasins for Men","2744","Shoe Size - 7","3","108.00","58.50","0.00","0.00"
"B489","1044","Leather Moccasins for Men","2745","Shoe Size - 8","0","108.00","58.50","0.00","0.00"
"B489","1044","Leather Moccasins for Men","2746","Shoe Size - 10","0","108.00","58.50","0.00","0.00"
"B489","1044","Leather Moccasins for Men","2748","Shoe Size - 12","4","108.00","58.50","0.00","0.00"
"B489","1044","Leather Moccasins for Men","2749","Shoe Size - 13","6","108.00","58.50","0.00","0.00"
"B489","1044","Leather Moccasins for Men","5997","Shoe Size - 9","0","108.00","58.50","0.00","0.00"
"B489","1044","Leather Moccasins for Men","7216","Shoe Size - 6","0","108.00","58.50","0.00","0.00"
"B489","1044","Leather Moccasins for Men","7217","Shoe Size - 14","6","118.00","58.50","0.00","0.00"
"B489","1044","Leather Moccasins for Men","7218","Shoe Size - 15","0","118.00","58.50","0.00","0.00"
"B489","1044","Leather Moccasins for Men","7219","Shoe Size - 11","2","108.00","58.50","0.00","0.00"
"204","1056","Suede Moccasins for Men","2837","Shoe Size - 15","0","139.00","0.00","0.00","0.00"
"204","1056","Suede Moccasins for Men","2838","Shoe Size - 14","0","139.00","0.00","0.00","0.00"
"204","1056","Suede Moccasins for Men","2839","Shoe Size - 13","2","129.00","0.00","0.00","0.00"
"204","1056","Suede Moccasins for Men","2840","Shoe Size - 12","2","129.00","0.00","0.00","0.00"
