"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Product Combinations ID","Product ID"
"Sheepskin Insoles","90","","Semelles en Mouton : Pointure - XP","4","9.30","0.00","21.00","9704","4061"
"Sheepskin Insoles","90","","Semelles en Mouton : Pointure - P","0","9.30","0.00","21.00","9705","4061"
"Sheepskin Insoles","90","","Semelles en Mouton : Pointure - M","0","9.30","0.00","21.00","9706","4061"
"Sheepskin Insoles","90","","Semelles en Mouton : Pointure - L","17","9.30","0.00","21.00","9707","4061"
"Sheepskin Insoles","90","","Semelles en Mouton : Pointure - XL","2","9.30","0.00","21.00","9708","4061"
"Sheepskin Insoles","90","","Semelles en Mouton : Pointure - XXL","9","9.30","0.00","21.00","9709","4061"
