"Reference code","Product ID","Product name","Product Combinations ID","Quantity","Final price (pre-tax)"
"SKU: 53-53-620","127","Bill Helin Killer Whale Pot Holder","","3","12.95"
"SKU: 53-53-582","132","Bill Helin Chilkat Oven Mitt","1081","0","17.25"
"SKU: 53-53-582","132","Bill Helin Chilkat Oven Mitt","1082","6","17.25"
"SKU: 53-53-581","133","Bill Helin Chilkat Pot Holder","1079","2","12.95"
"SKU: 53-53-581","133","Bill Helin Chilkat Pot Holder","1080","0","12.95"
"SKU: 53-53-653","158","Bill Helin Killer Whale Pot Holder","","3","12.95"
"SKU: 53-53-010","167","Bill Helin Raven Apron","","2","36.95"
"SKU: 53-53-006","172","Bill Helin Raven Pot Holder","","2","12.95"
"SKU: 53-53-045","175","Bill Helin Raven Salad Servers","1063","2","56.00"
"SKU: 53-53-045","175","Bill Helin Raven Salad Servers","1064","1","56.00"
"SKU: 51-51-332","201","Anthony Joseph Salmon Oven Mitt","","2","17.25"
"SKU: 00-04-566","229","Corrine Hunt Namwayut Collection Large Bowl","","2","80.00"
"SKU: 00-04-531","240","Corrine Hunt Sea to Sky Cheese Knife","","2","52.00"
"SKU: 00-04-524","249","Corrine Hunt Collection Namwayut  Salad Servers","","2","60.00"
"SKU: 52-52-618","253","Jim Charlie Tablier Raven Apron","","2","36.95"
"SKU: 52-52-627","259","Jim Charlie Raven Oven Mitt","","4","17.25"
"SKU: 52-52-619","266","Jim Charlie Raven Pot Holder","","3","12.95"
"SKU: 00-02-826","477","Potlatch Bear Dish","","2","98.00"
"A17063-UAC0401NC02A","1062","Nino Place Mats ""Depth""","","8","15.00"
"A16058-UAC0401NC04A","1063","Nino Place Mats ""Silent Seekers""","","9","15.00"
"SKU: 12-12-403","1144","Polar Bear Oven Mitt","","2","17.25"
"SKU: 12-12-722","1145","Moose Oven Mitt","","2","17.25"
"SKU: 12-12-101","1146","Inuksuk Pot Holder","","4","12.95"
"SKU: 00-04-324","1187","Chief Grinder Salt/Pepper/Herbs","5587","2","105.95"
"SKU: 00-04-324","1187","Chief Grinder Salt/Pepper/Herbs","5589","0","105.95"
"SKU: 00-04-324","1187","Chief Grinder Salt/Pepper/Herbs","5590","3","105.95"
"SKU: 00-04-330","1188","Princess Grinder Salt/Pepper/Herbs","5600","2","105.95"
"SKU: 00-04-330","1188","Princess Grinder Salt/Pepper/Herbs","5601","2","105.95"
"SKU: 00-04-330","1188","Princess Grinder Salt/Pepper/Herbs","5602","2","105.95"
"SKU: 12-12-736","1460","Moose Trivet","","2","14.00"
"SKU: 45-45-213","3553","Mark Garfield Raven Trivet or Coasters","","5","14.00"
"A08013-UAC0401NC0FA","4550","Nino Place Mats ""New Day""","10362","5","15.00"
"A08013-UAC0401NC0FA","4550","Nino Place Mats ""New Day""","10363","4","15.00"
"A16059-UAC0401NC0IA","4551","Nino Place Mats ""Wisdom Keepers""","","7","15.00"
"A18066-UAC0401NC0UA","4552","Nino Place Mats ""Under the Same Sky""","10360","1","15.00"
"A18066-UAC0401NC0UA","4552","Nino Place Mats ""Under the Same Sky""","10361","4","15.00"
"A17064-UAC0401NC03A","4553","Nino Place Mats ""M'Otter Love""","","10","15.00"
"SKU: 12-12-102","6785","Inuksuk Oven Mitt","","3","17.25"
"UAC0401NC05A","8131","Nino Place Mats "" Northern Keepers ""","","11","15.00"
"A07020-UAC0401NC0AA","9142","Nino Place Mats ""Journey to the Spirit World""","10358","5","15.00"
"A07020-UAC0401NC0AA","9142","Nino Place Mats ""Journey to the Spirit World""","10359","8","15.00"
"SKU: 00-06-911","9329","Eagle Pâté Knife","8533","2","45.00"
"SKU: 00-06-911","9329","Eagle Pâté Knife","8534","0","45.00"
"SKU: 00-06-101","9331","Raven Horn Serving Set - (sold separately)","8537","0","120.00"
"SKU: 00-06-101","9331","Raven Horn Serving Set - (sold separately)","8538","1","120.00"
"SKU: 00-06-101","9331","Raven Horn Serving Set - (sold separately)","8539","1","120.00"
"SKU: 00-06-101","9331","Raven Horn Serving Set - (sold separately)","8540","1","120.00"
"A17063-UAC6601NC02A","12200","Mimi Apron for children ""Depth""","","3","44.00"
"A16051-UAC6601NC05A","12201","Mimi Apron for children ""Northern Keepers""","","2","44.00"
"A08013-UAC6601NC0FA","12202","Mimi Apron for children ""New Day""","","2","44.00"
"A16058-UAC6601NC04A","12203","Mimi Apron for children ""Silent Seekers""","","2","44.00"
"A16051-UAC6701NC05A","12206","Angèle Apron ""Northern Keepers""","","2","55.00"
"A16058-UAC6701NC04A","12208","Angèle Apron ""Silent Seekers""","","2","55.00"
"SKU: 53-53-612","12851","Bill Helin Killer Whale Oven Mitt","","3","17.25"
