"Product name","Reference code","Combinations Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations wholesale price","Product Combinations ID","Product ID"
"Canvas - New Day","A08013-1","","1","0.00","0.00","0.00","1561","737"
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1562","737"
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1563","737"
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1564","737"
"Canvas - Patience","A08045-1","","1","0.00","0.00","0.00","1837","738"
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1838","738"
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1839","738"
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1840","738"
"Loop Bail for Pendant","3332","","2","15.00","40.00","0.00","","1530"
"Kokopelli Charm","73615","","3","18.83","45.00","0.00","","16203"
"Thunderbird Charm","74735","","2","16.20","42.00","0.00","","16218"
"Obsidian Pendulum","OBSIPEN","","6","10.00","25.00","0.00","","16637"
