"Reference code","Product name","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID","Product ID"
"A17063-UAC0401NC02A","Nino Place Mats ""Depth""","","23","6.50","15.00","","1062"
"A16058-UAC0401NC04A","Nino Place Mats ""Silent Seekers""","","44","6.50","15.00","","1063"
"A08013-UAC0401NC0FA","Nino Place Mats ""New Day""","Napperons Nino ""Nouveau Jour"" : Style - Coins arrondis;Napperons Nino ""Nouveau Jour"" : Style - Coins carrés","0;0","6.50","15.00","10363;10362","4550"
"A16059-UAC0401NC0IA","Nino Place Mats ""Wisdom Keepers""","","10","6.50","15.00","","4551"
"A18066-UAC0401NC0UA","Nino Place Mats ""Under the Same Sky""","Napperons Nino ""Sous le Même Ciel"" : Style - Coins arrondis;Napperons Nino ""Sous le Même Ciel"" : Style - Coins carrés","0;0","6.50","15.00","10361;10360","4552"
"A17064-UAC0401NC03A","Nino Place Mats ""M'Otter Love""","","4","6.50","15.00","","4553"
"UAC0401NC05A","Nino Place Mats "" Northern Keepers ""","","0","6.50","15.00","","8131"
"UAC6301NC0AA","Nino Place Mats ""Journey to the Spirit World""","Napperons Nino ""Voyage Vers le Monde du Songe"" : Style - Coins carrés;Napperons Nino ""Voyage Vers le Monde du Songe"" : Style - Coins arrondis","0;0","6.50","15.00","10358;10359","9142"
"A08007-UAC6601NC1AA","Mimi Apron for children ""A Moose and a Goose""","","0","30.00","49.00","","12199"
"A17063-UAC6601NC02A","Mimi Apron for children ""Depth""","","0","30.00","49.00","","12200"
"A16051-UAC6601NC05A","Mimi Apron for children ""Northern Keepers""","","0","30.00","49.00","","12201"
"A08013-UAC6601NC0FA","Mimi Apron for children ""New Day""","","0","30.00","49.00","","12202"
"A16058-UAC6601NC04A","Mimi Apron for children ""Silent Seekers""","","0","30.00","49.00","","12203"
"A17063-UAC6701NC02A","Angèle Apron ""Depth""","","0","29.50","69.00","","12205"
"A16051-UAC6701NC05A","Angèle Apron ""Northern Keepers""","","0","29.50","69.00","","12206"
"A08013-UAC6701NC0FA","Angèle Apron ""New Day""","","0","29.50","69.00","","12207"
"A16058-UAC6701NC04A","Angèle Apron ""Silent Seekers""","","0","29.50","69.00","","12208"
"W13026-UAC6301NC1DA","Céleste Place Mat ""In Her World""","","0","6.50","15.00","","14603"
"A08007-UAC6701NC1AA","Angèle Apron ""A Moose and a Goose""","","0","29.50","69.00","","15198"
"UAC6301NC0FA","Celeste Place Mats ""New Day""","","0","6.50","15.00","","16692"
"UAC6301NC05A","Celeste Place Mats "" Northern Keepers ""","","0","6.50","15.00","","16693"
"UAC6301NC0UA","Celeste Place Mats ""Under the Same Sky""","","0","6.50","15.00","","16694"
