"Reference code","Product ID","Product name","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Quantity","Final price (pre-tax)"
"A04060-6","642","Small Print - Passing Through","","8"" x 10""","","","","9","25.00"
"A09054-6","643","Small print - Tranquility","","8"" x 10""","","","","10","25.00"
"A16055-6","644","Small Print - Abundance","","8"" x 10""","","","","14","25.00"
"A13041-6","645","Small Print - Lapinx","","8"" x 10""","","","","18","25.00"
"A10044-6","646","Small Print - Returning","","10"" x 8""","","","","11","25.00"
"A13056-6","647","Small print - Otherness","","10"" x 8""","","","","13","25.00"
"A13057-6","648","Small Print - Origins","","8"" x 10""","","","","14","25.00"
"A16052-6","650","Small Print - Zenith","","8"" x 10""","","","","6","25.00"
"A16058-6","651","Small Print - Silent Seekers","","10"" x 8""","","","","17","25.00"
"A16059-6","652","Small Print - Wisdom Keepers","","10"" x 8""","","","","10","25.00"
"A95053-6","653","Small Print - Messenger","","8"" x 10""","","","","10","25.00"
"A14051-6","654","Small Print - Gezaluwejit","","8"" x 10""","","","","3","25.00"
"W13026-6","655","Small Print - In Her World","","10"" x 8""","","","","16","25.00"
"W13047-6","656","Small Print - Inner Memories","","10"" x 8""","","","","6","25.00"
"A12050-6","658","Small Print - Ice Dream","","10"" x 8""","","","","6","25.00"
"W13027-6","659","Small Print - Playing With Shadows","","10"" x 8""","","","","15","25.00"
"A13053-6","660","Small Print - Roots Of Another World","","10"" x 8""","","","","14","25.00"
"A01038-6","661","Small Print - Harmony","","10"" x 8""","","","","3","25.00"
"A13042-6","663","Small Print - Carried Away","","8"" x 10""","","","","3","25.00"
"W13023-6","664","Small Print - Water and Spirit Buffalo","","10"" x 8""","","","","16","25.00"
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","10.25"" x 13.25""","16"" x 20""","99","","1601","3","170.00"
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","10.25"" x 13.25""","16"" x 20""","99","","1602","0","335.00"
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","10.25"" x 13.25""","16"" x 20""","99","","1603","0","335.00"
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","10.25"" x 13.25""","16"" x 20""","99","","1604","0","335.00"
"A01033-2","669","Ltd Edition - New Fire","10.25"" x 13.25""","16"" x 20""","99","","1609","2","170.00"
"A01033-2","669","Ltd Edition - New Fire","10.25"" x 13.25""","16"" x 20""","99","","1610","0","335.00"
"A01033-2","669","Ltd Edition - New Fire","10.25"" x 13.25""","16"" x 20""","99","","1611","0","335.00"
"A01033-2","669","Ltd Edition - New Fire","10.25"" x 13.25""","16"" x 20""","99","","1612","0","335.00"
"A01036-2","670","Ltd Edition - Teachings","10.25"" x 13.25""","16"" x 20""","99","","1613","2","170.00"
"A01036-2","670","Ltd Edition - Teachings","10.25"" x 13.25""","16"" x 20""","99","","1614","0","335.00"
"A01036-2","670","Ltd Edition - Teachings","10.25"" x 13.25""","16"" x 20""","99","","1615","0","335.00"
