"Product ID","Product Combinations ID","Show price","Pre-tax wholesale price","Pre-tax retail price","Final price (pre-tax)","Retail price with tax","Final price (with-tax)","Quantity"
"668","1607","1","0.00","0.00","335.00","0.00","385.17","0"
"668","1608","1","0.00","0.00","335.00","0.00","385.17","0"
"669","1609","1","0.00","0.00","170.00","0.00","195.46","1"
"669","1610","1","0.00","0.00","335.00","0.00","385.17","0"
"669","1611","1","0.00","0.00","335.00","0.00","385.17","0"
"669","1612","1","0.00","0.00","335.00","0.00","385.17","0"
"670","1613","1","0.00","0.00","170.00","0.00","195.46","3"
"670","1614","1","0.00","0.00","335.00","0.00","385.17","0"
"670","1615","1","0.00","0.00","335.00","0.00","385.17","0"
"670","1616","1","0.00","0.00","335.00","0.00","385.17","0"
"672","1617","1","0.00","0.00","170.00","0.00","195.46","1"
"672","1618","1","0.00","0.00","335.00","0.00","385.17","0"
"672","1619","1","0.00","0.00","335.00","0.00","385.17","0"
"672","1620","1","0.00","0.00","335.00","0.00","385.17","0"
"675","1801","1","0.00","0.00","170.00","0.00","195.46","1"
"675","1802","1","0.00","0.00","335.00","0.00","385.17","0"
"675","1803","1","0.00","0.00","335.00","0.00","385.17","0"
"675","1804","1","0.00","0.00","335.00","0.00","385.17","0"
"678","1725","1","0.00","0.00","170.00","0.00","195.46","1"
"678","1726","1","0.00","0.00","335.00","0.00","385.17","0"
"678","1727","1","0.00","0.00","335.00","0.00","385.17","0"
"678","1728","1","0.00","0.00","335.00","0.00","385.17","0"
"680","1889","1","0.00","0.00","140.00","0.00","160.97","4"
"680","1890","1","0.00","0.00","305.00","0.00","350.68","0"
"680","1891","1","0.00","0.00","305.00","0.00","350.68","0"
"680","1892","1","0.00","0.00","305.00","0.00","350.68","0"
"682","1805","1","0.00","0.00","170.00","0.00","195.46","2"
"682","1806","1","0.00","0.00","335.00","0.00","385.17","0"
"682","1807","1","0.00","0.00","335.00","0.00","385.17","0"
"682","1808","1","0.00","0.00","335.00","0.00","385.17","0"
"683","1909","1","0.00","0.00","155.00","0.00","178.21","2"
"683","1910","1","0.00","0.00","320.00","0.00","367.92","0"
"683","1911","1","0.00","0.00","320.00","0.00","367.92","0"
"683","1912","1","0.00","0.00","320.00","0.00","367.92","0"
"684","1809","1","0.00","0.00","170.00","0.00","195.46","2"
"684","1810","1","0.00","0.00","335.00","0.00","385.17","0"
"684","1811","1","0.00","0.00","335.00","0.00","385.17","0"
"684","1812","1","0.00","0.00","335.00","0.00","385.17","0"
"685","1813","1","0.00","0.00","170.00","0.00","195.46","3"
"685","1814","1","0.00","0.00","335.00","0.00","385.17","0"
"685","1815","1","0.00","0.00","335.00","0.00","385.17","0"
"685","1816","1","0.00","0.00","335.00","0.00","385.17","0"
"687","1625","1","0.00","0.00","170.00","0.00","195.46","0"
"687","1626","1","0.00","0.00","335.00","0.00","385.17","0"
"687","1627","1","0.00","0.00","335.00","0.00","385.17","0"
"687","1628","1","0.00","0.00","335.00","0.00","385.17","0"
"688","1729","1","0.00","0.00","170.00","0.00","195.46","1"
"688","1730","1","0.00","0.00","335.00","0.00","385.17","0"
"688","1731","1","0.00","0.00","335.00","0.00","385.17","0"
"688","1732","1","0.00","0.00","335.00","0.00","385.17","0"
"689","1629","1","0.00","0.00","170.00","0.00","195.46","3"
"689","1630","1","0.00","0.00","335.00","0.00","385.17","0"
"689","1631","1","0.00","0.00","335.00","0.00","385.17","0"
"689","1632","1","0.00","0.00","335.00","0.00","385.17","0"
"690","1733","1","0.00","0.00","170.00","0.00","195.46","0"
"690","1734","1","0.00","0.00","335.00","0.00","385.17","0"
"690","1735","1","0.00","0.00","335.00","0.00","385.17","0"
"690","1736","1","0.00","0.00","335.00","0.00","385.17","0"
"691","1873","1","0.00","0.00","135.00","0.00","155.22","1"
"691","1874","1","0.00","0.00","305.00","0.00","350.68","0"
"691","1875","1","0.00","0.00","305.00","0.00","350.68","0"
"691","1876","1","0.00","0.00","305.00","0.00","350.68","0"
"692","1737","1","0.00","0.00","170.00","0.00","195.46","4"
"692","1738","1","0.00","0.00","335.00","0.00","385.17","0"
"692","1739","1","0.00","0.00","335.00","0.00","385.17","0"
"692","1740","1","0.00","0.00","335.00","0.00","385.17","0"
"693","1633","1","0.00","0.00","170.00","0.00","195.46","1"
"693","1634","1","0.00","0.00","335.00","0.00","385.17","0"
"693","1635","1","0.00","0.00","335.00","0.00","385.17","0"
"693","1636","1","0.00","0.00","335.00","0.00","385.17","0"
"694","1637","1","0.00","0.00","170.00","0.00","195.46","1"
"694","1638","1","0.00","0.00","335.00","0.00","385.17","0"
"694","1639","1","0.00","0.00","335.00","0.00","385.17","0"
"694","1640","1","0.00","0.00","335.00","0.00","385.17","0"
"696","1741","1","0.00","0.00","170.00","0.00","195.46","2"
"696","1742","1","0.00","0.00","335.00","0.00","385.17","0"
"696","1743","1","0.00","0.00","335.00","0.00","385.17","0"
"696","1744","1","0.00","0.00","335.00","0.00","385.17","0"
"698","1653","1","0.00","0.00","170.00","0.00","195.46","2"
"698","1654","1","0.00","0.00","335.00","0.00","385.17","0"
"698","1655","1","0.00","0.00","335.00","0.00","385.17","0"
"698","1656","1","0.00","0.00","335.00","0.00","385.17","0"
"699","1641","1","0.00","0.00","170.00","0.00","195.46","3"
"699","1642","1","0.00","0.00","335.00","0.00","385.17","0"
"699","1643","1","0.00","0.00","335.00","0.00","385.17","0"
"699","1644","1","0.00","0.00","335.00","0.00","385.17","0"
"700","1817","1","0.00","0.00","170.00","0.00","195.46","1"
"700","1818","1","0.00","0.00","335.00","0.00","385.17","0"
"700","1819","1","0.00","0.00","335.00","0.00","385.17","0"
