"Product ID","Product Combinations ID","Product name","Pre-tax retail price","Quantity"
"123","","Bill Helin Killer Whale Oven Mitt","16.00","1"
"129","","Bill Helin Chilkat Apron","34.50","1"
"152","","Bill Helin Hummingbird Pot Holder","12.00","1"
"187","","Andrew Williams Octopus Oven Mitt","16.00","1"
"202","","Anthony Joseph Salmon Pot Holder","12.00","1"
"204","","Anthony Joseph Salmon Trivet or Coasters","12.50","1"
"236","","Corrine Hunt Collection Namwayut  Salad Servers","57.00","1"
"241","","Corrine Hunt Sea to Sky Table Napkin Ring","14.00","1"
"256","","Jim Charlie Mitaine Raven Oven Mitt","16.00","1"
"266","","Jim Charlie Raven Pot Holder","11.50","1"
"274","","Jim Charlie Raven Trivet or Coasters","12.50","1"
"366","","Kelly Robinson Eagle Coin Purse","13.00","1"
"371","","Kelly Robinson Eagle Zip Pouch","17.00","1"
"378","","Corrine Hunt Silk Inspiration Drop Earrings","38.00","1"
"379","","Corrine Hunt Silk Inspiration Oval Earrings","38.00","1"
"384","","Corrine Hunt Silk Inspiration Trapezoid Earrings","38.00","1"
"386","","Corrine Hunt Silk Inspiration Triangle Earrings","38.00","1"
"391","","Corrine Hunt Silk Inspiration Oval Pendant","38.00","1"
"395","1028","Kelly Robinson Silk Inspiration Bangle","46.00","0"
"395","1029","Kelly Robinson Silk Inspiration Bangle","46.00","1"
"395","1030","Kelly Robinson Silk Inspiration Bangle","46.00","0"
"396","1025","Kelly Robinson Silk Inspiration Bangle","46.00","0"
"396","1026","Kelly Robinson Silk Inspiration Bangle","46.00","1"
"396","1027","Kelly Robinson Silk Inspiration Bangle","46.00","0"
"399","","Kelly Robinson Silk Inspiration Drop Earrings","38.00","1"
"400","","Kelly Robinson Silk Inspiration Drop Earrings","38.00","1"
"403","","Kelly Robinson Silk Inspiration Trapezoid Earrings","38.00","1"
"407","","Kelly Robinson Silk Inspiration Oval Pendant","38.00","1"
"409","","Kelly Robinson Silk Inspiration Round Pendant","38.00","1"
"423","","Andrew Williams Raven Bracelet","97.50","1"
"428","","Corrine Hunt Wolf Pendant","62.50","1"
"430","","Corrine Hunt Killer Whale Earrings","70.00","1"
"431","","Corrine Hunt Eagle Pendant","85.00","1"
"434","","Corrine Hunt Killer Whale Earrings","70.00","1"
"435","1015","Corrine Hunt Killer Whale Pendant","62.50","0"
"435","1016","Corrine Hunt Killer Whale Pendant","62.50","1"
"437","","Corrine Hunt Wolf Earrings","70.00","1"
"442","6556","Corrine Hunt Eagle Pendant","0.00","1"
"442","6557","Corrine Hunt Eagle Pendant","0.00","0"
"445","","Corrine Hunt Eagle Pendant","75.00","1"
"448","7523","Kelly Robinson Hummingbird Bracelet","95.50","0"
"448","7524","Kelly Robinson Hummingbird Bracelet","95.50","1"
"454","1091","John Robson CMH Clamshell Box Watch","910.00","1"
"461","","Haida Gwaii Killer Whale Plate","137.00","1"
"464","","Haida Gwaii Dogfish Platter","230.00","1"
"479","","Potlatch Dogfish Bowl","185.00","1"
"542","584","Ladies Suede Slippers","94.00","1"
"542","7082","Ladies Suede Slippers","94.00","0"
"542","7083","Ladies Suede Slippers","94.00","0"
"542","7084","Ladies Suede Slippers","94.00","0"
"542","7085","Ladies Suede Slippers","94.00","0"
"542","7086","Ladies Suede Slippers","94.00","0"
