"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Product Combinations ID","Product ID"
"Leather Mukluks for Men","8193TAN","","Mukluks en Cuir pour Hommes : Pointure - 12","0","153.00","0.00","340.00","7737","4139"
"Leather Mukluks for Men","8193TAN","","Mukluks en Cuir pour Hommes : Pointure - 11","1","153.00","0.00","340.00","7738","4139"
"Leather Mukluks for Men","8193TAN","","Mukluks en Cuir pour Hommes : Pointure - 15","0","153.00","0.00","350.00","7739","4139"
"Leather Mukluks for Men","8193TAN","","Mukluks en Cuir pour Hommes : Pointure - 14","0","153.00","0.00","350.00","7740","4139"
"Leather Mukluks for Men","8193TAN","","Mukluks en Cuir pour Hommes : Pointure - 6","0","153.00","0.00","340.00","7741","4139"
"Leather Mukluks for Men","8193TAN","","Mukluks en Cuir pour Hommes : Pointure - 7","0","153.00","0.00","340.00","7742","4139"
"Leather Mukluks for Men","8193TAN","","Mukluks en Cuir pour Hommes : Pointure - 8","0","153.00","0.00","340.00","7743","4139"
"Leather Mukluks for Men","8193TAN","","Mukluks en Cuir pour Hommes : Pointure - 9","1","153.00","0.00","340.00","7744","4139"
"Leather Mukluks for Men","8193TAN","","Mukluks en Cuir pour Hommes : Pointure - 10","0","153.00","0.00","340.00","7745","4139"
"Leather Mukluks for Men","8193TAN","","Mukluks en Cuir pour Hommes : Pointure - 13","0","153.00","0.00","340.00","7746","4139"
"Leather Mukluks for Men","9422CK","","Mukluks en Cuir pour Hommes : Pointure - 8","2","192.60","443.00","0.00","10461","14296"
"Leather Mukluks for Men","9422CK","","Mukluks en Cuir pour Hommes : Pointure - 9","2","192.60","443.00","0.00","10462","14296"
"Leather Mukluks for Men","9422CK","","Mukluks en Cuir pour Hommes : Pointure - 10","2","192.60","443.00","0.00","10463","14296"
"Leather Mukluks for Men","9422CK","","Mukluks en Cuir pour Hommes : Pointure - 11","2","192.60","443.00","0.00","10464","14296"
"Leather Mukluks for Men","9422CK","","Mukluks en Cuir pour Hommes : Pointure - 12","2","192.60","443.00","0.00","10465","14296"
"Leather Mukluks for Men","9422CK","","Mukluks en Cuir pour Hommes : Pointure - 13","2","192.60","443.00","0.00","10466","14296"
"Men Urban Boots","DL-05T","","Bottillons Urbains pour Hommes : Pointure - 4","0","350.00","750.00","0.00","12579","16307"
"Men Urban Boots","DL-05T","","Bottillons Urbains pour Hommes : Pointure - 5","0","350.00","750.00","0.00","12580","16307"
"Men Urban Boots","DL-05T","","Bottillons Urbains pour Hommes : Pointure - 6","0","350.00","750.00","0.00","12581","16307"
"Men Urban Boots","DL-05T","","Bottillons Urbains pour Hommes : Pointure - 7","1","350.00","750.00","0.00","12582","16307"
"Men Urban Boots","DL-05T","","Bottillons Urbains pour Hommes : Pointure - 8","0","350.00","750.00","0.00","12583","16307"
"Men Urban Boots","DL-05T","","Bottillons Urbains pour Hommes : Pointure - 9","0","350.00","750.00","0.00","12584","16307"
"Men Urban Boots","DL-05T","","Bottillons Urbains pour Hommes : Pointure - 10","0","350.00","750.00","0.00","12585","16307"
"Men Urban Boots","DL-05T","","Bottillons Urbains pour Hommes : Pointure - 11","0","350.00","750.00","0.00","12586","16307"
"Men Urban Boots","DL-05T","","Bottillons Urbains pour Hommes : Pointure - 12","1","350.00","750.00","0.00","12587","16307"
"Men Urban Boots","DL-05T","","Bottillons Urbains pour Hommes : Pointure - 13","0","350.00","750.00","0.00","12588","16307"
