"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price"
"SKU: 00-04-526","238","Corrine Hunt Sea to Sky Candle Holder","","Corrine Hunt Sea to Sky Candle Holder","0","50.95","22.00","0.00"
"SKU: 00-04-525","239","Corrine Hunt Sea to Sky Candle Holder","","Corrine Hunt Sea to Sky Candle Holder","0","48.45","21.00","0.00"
"SKU: 00-04-703","449","Moon Mask Cribbage Board","","Moon Mask Cribbage Board","0","196.00","85.00","0.00"
"SKU: 00-04-702","451","Cribbage Board","","Cribbage Board","1","180.00","72.00","0.00"
"SKU: 00-04-495","452","Keith Tait Frog Box","","Keith Tait Frog Box","1","81.00","35.00","0.00"
"SKU: 90-90-252","454","John Robson CMH Clamshell Box Watch","11706","Size - M","0","345.00","450.00","150.00"
"SKU: 90-90-252","454","John Robson CMH Clamshell Box Watch","11707","Size - L","0","1050.00","450.00","450.00"
"SKU: 90-90-250","455","CMH Dogfish Box","","CMH Dogfish Box","0","62.00","27.00","0.00"
"SKU: 90-90-251","456","CMH Sea Monster Box","","CMH Sea Monster Box","0","76.00","33.00","0.00"
"SKU: 00-04-701","1167","Cribbage Board","","Cribbage Board","0","125.00","54.00","0.00"
"SKU: 00-04-708","8464","Cribbage Board","","Cribbage Board","0","106.00","46.00","0.00"
"SKU: 00-06-197","9332","Letter Opener","","Letter Opener","1","74.00","24.00","0.00"
"CS","13053","Ancestral Seed Boxes","11928","Wellness - Pride of you vegetable garden","7","19.99","12.00","0.00"
"CS","13053","Ancestral Seed Boxes","11929","Wellness - Surprise Collection","7","19.99","12.00","0.00"
"CS","13053","Ancestral Seed Boxes","11930","Wellness - Save the bees","2","19.99","12.00","0.00"
"CS","13053","Ancestral Seed Boxes","11931","Wellness - Flowers and medicinal plants","5","19.99","12.00","0.00"
"TIS","13061","Herbal Teas","9829","Wellness - Wild chamomile","2","19.95","11.97","0.00"
"TIS","13061","Herbal Teas","9830","Wellness - Balsam fir","3","19.95","11.97","0.00"
"TIS","13061","Herbal Teas","9831","Wellness - Red clover","4","19.95","11.97","0.00"
"TIS","13061","Herbal Teas","9832","Wellness - Stinging nettle","2","19.95","11.97","0.00"
"MI","13062","Honey","9837","Wellness - Wild chamomile","2","19.95","11.97","0.00"
"MI","13062","Honey","9838","Wellness - Balsam fir","3","19.95","11.97","0.00"
"MI","13062","Honey","9839","Wellness - Rosehips","3","19.95","11.97","0.00"
"MI","13062","Honey","9840","Wellness - Wild mint","4","19.95","11.97","0.00"
"00-04-200","13939","Otter Spirit Box","","Otter Spirit Box","1","104.00","45.00","0.00"
"00-04-201","14450","Seal Spirit Box","","Seal Spirit Box","0","120.00","52.00","0.00"
"00-04-472","14451","Bear Spirit Box","","Bear Spirit Box","1","83.00","36.00","0.00"
"00-04-471","14452","Wolf Spirit Box","","Wolf Spirit Box","0","83.00","36.00","0.00"
"00-04-081","14453","Seal Box","","Seal Box","1","53.00","23.00","0.00"
"00-06-301","14454","Salmon Box","","Salmon Box","1","115.00","50.00","0.00"
"00-04-079","14455","West Coast Design Box","","West Coast Design Box","0","30.00","13.00","0.00"
"00-04-096","14456","West Coast Design Box","","West Coast Design Box","1","70.00","30.00","0.00"
"00-04-478","14457","West Coast Design Box","","West Coast Design Box","0","97.00","42.00","0.00"
"00-04-474","14460","West Coast Design Box","","West Coast Design Box","0","46.00","20.00","0.00"
"CS-Individual","15155","Ancestral Seeds (Sachet)","","Ancestral Seeds (Sachet)","27","3.99","2.40","0.00"
"00-04-085","15416","Killerwhale Box","","Killerwhale Box","0","56.00","24.00","0.00"
