"Product name","Reference code","Combinations Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations wholesale price","Product Combinations ID","Product ID"
"Canvas - New Day","A08013-1","","1","0.00","0.00","0.00","1561","737"
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1562","737"
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1563","737"
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1564","737"
"Canvas - Patience","A08045-1","","1","0.00","0.00","0.00","1837","738"
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1838","738"
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1839","738"
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1840","738"
"Semi-Precious Transparent Rings","C-Rings","","20","3.00","8.00","0.00","","12686"
"Oxidized Wave Spin Ring","82572","","1","53.34","135.00","0.00","11940","16009"
"Oxidized Wave Spin Ring","82572","","1","53.34","135.00","0.00","11941","16009"
"Oxidized Wave Spin Ring","82572","","1","53.34","135.00","0.00","11942","16009"
"Oxidized Wave Spin Ring","82572","","0","53.34","135.00","0.00","11943","16009"
"Oxidized Wave Spin Ring","82572","","1","53.34","135.00","0.00","11944","16009"
"Oxidized Wave Spin Ring","82572","","1","53.34","135.00","0.00","11945","16009"
"Oxidized Wave Spin Ring","82572","","1","53.34","135.00","0.00","11946","16009"
"Oxidized Wave Spin Ring","82572","","1","53.34","135.00","0.00","11947","16009"
"Hammered Band","82218","","0","22.48","58.00","0.00","11948","16010"
"Hammered Band","82218","","1","22.48","58.00","0.00","11949","16010"
"Hammered Band","82218","","0","22.48","58.00","0.00","11950","16010"
"Hammered Band","82218","","1","22.48","58.00","0.00","11951","16010"
"Hammered Band","82218","","0","22.48","58.00","0.00","11952","16010"
"Turquoise Flower Ring","82668","","1","26.76","67.00","0.00","11968","16066"
"Turquoise Flower Ring","82668","","1","26.76","67.00","0.00","11969","16066"
"Turquoise Flower Ring","82668","7","0","26.76","67.00","0.00","11970","16066"
"Turquoise Flower Ring","82668","","0","26.76","67.00","0.00","11971","16066"
"Turquoise Flower Ring","82668","","0","26.76","67.00","0.00","11972","16066"
"Oxidized Curb Chain Ring","83263","","0","19.57","50.00","0.00","11997","16071"
"Oxidized Curb Chain Ring","83263","","0","19.57","50.00","0.00","11998","16071"
"Oxidized Curb Chain Ring","83263","","1","19.57","50.00","0.00","11999","16071"
"Oxidized Curb Chain Ring","83263","","0","19.57","50.00","0.00","12000","16071"
"Oxidized Curb Chain Ring","83263","","0","19.57","50.00","0.00","12001","16071"
"Oxidized Curb Chain Ring","83263","","1","19.57","50.00","0.00","12212","16071"
"Oxidized Curb Chain Ring","83263","","0","19.57","50.00","0.00","12213","16071"
