"Reference code","Product ID","Product name","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Quantity","Final price (pre-tax)","Pre-tax retail price"
"W13023-POD2887","350","Card - Water and Spirit Buffalo","","","","9"" x 6""","","13","6.35","6.35"
"A01030-6","607","Small Print - Eagle Moon","","8"" x 10""","","","","2","25.00","25.00"
"A01031-6","609","Small Print - Honoring the Giver of Life","","8"" x 10""","","","","21","25.00","25.00"
"A01032-6","610","Small Print - Moon Wisdom","","8"" x 10""","","","","75","25.00","25.00"
"A01033-6","611","Small Print - New Fire","","8"" x 10""","","","","91","25.00","25.00"
"A01036-6","612","Small Print - Teachings","","8"" x 10""","","","","99","25.00","25.00"
"A01037-6","615","Small Print - Trust","","8"" x 10""","","","","6","25.00","25.00"
"A08011-6","616","Small Print - Whisper","","8"" x 10""","","","","2","25.00","25.00"
"A08007-6","617","Small Print - A Moose and Goose","","8"" x 10""","","","","5","25.00","25.00"
"A10012-6","618","Small Print - Sky Sisters","","10"" x 8""","","","","13","25.00","25.00"
"A10004-6","619","Small Print - Merging Earth and Sky","","10"" x 8""","","","","6","25.00","25.00"
"A01029-6","623","Small Print - Birth of an Eagle Shadow","","8"" x 10""","","","","11","25.00","25.00"
"A08019-6","624","Small Print - Unity","","8"" x 10""","","","","2","25.00","25.00"
"A09006-6","625","Small Print - River Keeper","","8"" x 10""","","","","45","25.00","25.00"
"A04015-6","626","Small Print - Rebirth","","8"" x 10""","","","","3","25.00","25.00"
"A04039-6","627","Small Print - Nostalgia","","8"" x 10""","","","","17","25.00","25.00"
"A07020-6","628","Small Print - Journey to the Spirit World","","10"" x 8""","","","","12","25.00","25.00"
"W12024-6","630","Small Print - Breath of Life","","10"" x 8""","","","","74","25.00","25.00"
"W12017-6","631","Small Print - Synchronicity","","8"" x 10""","","","","69","25.00","25.00"
"W12008-6","632","Small Print - Winter Wolves","","10"" x 8""","","","","32","25.00","25.00"
"W12001-6","633","Small Print - Dialogue","","10"" x 8""","","","","9","25.00","25.00"
"W12014-6","634","Small Print - Gate of Silk","","10"" x 8""","","","","13","25.00","25.00"
"W12005-6","635","Small Print - Earth Keeper","","8"" x 10""","","","","47","25.00","25.00"
"W12016-6","636","Small Print - Going Home","","8"" x 10""","","","","11","25.00","25.00"
"W12018-6","638","Small Print - Early Evening Flowing Into Fall","","10"" x 8""","","","","22","25.00","25.00"
"A00048-6","640","Small Print - The Protector","","8"" x 10""","","","","11","25.00","25.00"
"A01003-6","641","Small Print - Sky Girl","","8"" x 10""","","","","11","25.00","25.00"
"A04060-6","642","Small Print - Passing Through","","8"" x 10""","","","","7","25.00","25.00"
"A09054-6","643","Small print - Tranquility","","8"" x 10""","","","","10","25.00","25.00"
"A16055-6","644","Small Print - Abundance","","8"" x 10""","","","","14","25.00","25.00"
"A13041-6","645","Small Print - Lapinx","","8"" x 10""","","","","18","25.00","25.00"
"A10044-6","646","Small Print - Returning","","10"" x 8""","","","","8","25.00","25.00"
"A13056-6","647","Small print - Otherness","","10"" x 8""","","","","13","25.00","25.00"
"A13057-6","648","Small Print - Origins","","8"" x 10""","","","","13","25.00","25.00"
"A16058-6","651","Small Print - Silent Seekers","","10"" x 8""","","","","14","25.00","25.00"
"A16059-6","652","Small Print - Wisdom Keepers","","10"" x 8""","","","","3","25.00","25.00"
"A95053-6","653","Small Print - Messenger","","8"" x 10""","","","","10","25.00","25.00"
"A14051-POD2554","654","Small Print - Gezaluwejit","","8"" x 10""","","","","3","25.00","25.00"
