"Reference code","Product name","Product Combinations ID","Pre-tax retail price","Quantity","Product ID"
"A16051-WPA0301NC05A","Carla Palazzo ""Northern Keepers""","1323","169","0","806"
"A16051-WPA0301NC05A","Carla Palazzo ""Northern Keepers""","1324","169","1","806"
"A16058-WPA0401NC04A","Jackie Legging ""Silent Seekers""","1340","109","1","814"
"A16058-WPA0401NC04A","Jackie Legging ""Silent Seekers""","1341","109","0","814"
"A16058-WPA0401NC04A","Jackie Legging ""Silent Seekers""","1342","109","0","814"
"A16058-WPA0401NC04A","Jackie Legging ""Silent Seekers""","1343","109","0","814"
"A16058-WPA0401NC04A","Jackie Legging ""Silent Seekers""","1344","109","1","814"
"A09006-WDR2601NC06A","Kate Dress ""The River Keeper""","1375","149","0","829"
"A09006-WDR2601NC06A","Kate Dress ""The River Keeper""","1376","149","1","829"
"A09006-WDR2601NC06A","Kate Dress ""The River Keeper""","1377","149","0","829"
"A09006-WDR2601NC06A","Kate Dress ""The River Keeper""","1378","149","0","829"
"A09006-WDR2601NC06A","Kate Dress ""The River Keeper""","1379","149","1","829"
"A16051-WDR2601NC05A","Kate Dress ""Northern Keepers""","1380","149","1","828"
"A16051-WDR2601NC05A","Kate Dress ""Northern Keepers""","1381","149","1","828"
"A16051-WDR2601NC05A","Kate Dress ""Northern Keepers""","1382","149","0","828"
"A16051-WDR2601NC05A","Kate Dress ""Northern Keepers""","1383","149","0","828"
"A16051-WDR2601NC05A","Kate Dress ""Northern Keepers""","1384","149","0","828"
"W13023-WNS0801NC09A","Kaplan Tank ""Water and Spirit Buffalo""","1410","129","0","824"
"W13023-WNS0801NC09A","Kaplan Tank ""Water and Spirit Buffalo""","1411","129","0","824"
"W13023-WNS0801NC09A","Kaplan Tank ""Water and Spirit Buffalo""","1412","129","2","824"
"W13023-WNS0801NC09A","Kaplan Tank ""Water and Spirit Buffalo""","1413","129","0","824"
"W13023-WNS0801NC09A","Kaplan Tank ""Water and Spirit Buffalo""","1414","129","0","824"
"A16058-WNS0701NC04A","Coco Tank ""Silent Seekers""","1435","69","1","807"
"A16058-WNS0701NC04A","Coco Tank ""Silent Seekers""","1436","69","0","807"
"A16058-WNS0701NC04A","Coco Tank ""Silent Seekers""","1437","69","0","807"
"A16058-WNS0701NC04A","Coco Tank ""Silent Seekers""","1438","69","1","807"
"A16058-WNS0701NC04A","Coco Tank ""Silent Seekers""","1439","69","0","807"
"A16059-WSS0701NC0IA","Yoko Cape Tunic ""Wisdom Keepers""","1440","129","0","864"
"A16059-WSS0701NC0IA","Yoko Cape Tunic ""Wisdom Keepers""","1441","129","0","864"
"A16059-WSS0701NC0IA","Yoko Cape Tunic ""Wisdom Keepers""","1442","129","0","864"
"A16059-WSS0701NC0IA","Yoko Cape Tunic ""Wisdom Keepers""","1443","129","1","864"
"A16059-WSS0701NC0IA","Yoko Cape Tunic ""Wisdom Keepers""","1444","129","1","864"
"A14051-2","Ltd Edition - Gezaluwejit","1529","0","2","712"
"A14051-2","Ltd Edition - Gezaluwejit","1530","0","0","712"
"A14051-2","Ltd Edition - Gezaluwejit","1531","0","0","712"
"A14051-2","Ltd Edition - Gezaluwejit","1532","0","0","712"
"A01028-2","Ltd Edition - Giving Thanks","1597","0","2","666"
"A01028-2","Ltd Edition - Giving Thanks","1598","0","0","666"
"A01028-2","Ltd Edition - Giving Thanks","1599","0","0","666"
"A01028-2","Ltd Edition - Giving Thanks","1600","0","0","666"
"A01033-2","Ltd Edition - New Fire","1609","0","2","669"
"A01033-2","Ltd Edition - New Fire","1610","0","0","669"
"A01033-2","Ltd Edition - New Fire","1611","0","0","669"
"A01033-2","Ltd Edition - New Fire","1612","0","0","669"
"W13025-2","Ltd Edition - Passage","1625","0","2","687"
"W13025-2","Ltd Edition - Passage","1626","0","0","687"
"W13025-2","Ltd Edition - Passage","1627","0","0","687"
"W13025-2","Ltd Edition - Passage","1628","0","0","687"
"A01003-2","Ltd Edition - Sky Girl","1641","0","2","699"
"A01003-2","Ltd Edition - Sky Girl","1642","0","0","699"
"A01003-2","Ltd Edition - Sky Girl","1643","0","0","699"
"A01003-2","Ltd Edition - Sky Girl","1644","0","0","699"
"A09054-2","Ltd Edition - Tranquility","1645","0","2","701"
"A09054-2","Ltd Edition - Tranquility","1646","0","0","701"
"A09054-2","Ltd Edition - Tranquility","1647","0","0","701"
"A09054-2","Ltd Edition - Tranquility","1648","0","0","701"
"A16055-2","Ltd Edition - Abundance","1649","0","2","702"
"A16055-2","Ltd Edition - Abundance","1650","0","0","702"
"A16055-2","Ltd Edition - Abundance","1651","0","0","702"
"A16055-2","Ltd Edition - Abundance","1652","0","0","702"
"W12014-2","Ltd Edition - Gate of Silk","1737","0","2","692"
"W12014-2","Ltd Edition - Gate of Silk","1738","0","0","692"
"W12014-2","Ltd Edition - Gate of Silk","1739","0","0","692"
"W12014-2","Ltd Edition - Gate of Silk","1740","0","0","692"
"W12018-2","Ltd Edition - Early Evening Flowing into Fall","1741","0","2","696"
"W12018-2","Ltd Edition - Early Evening Flowing into Fall","1742","0","0","696"
"W12018-2","Ltd Edition - Early Evening Flowing into Fall","1743","0","0","696"
"W12018-2","Ltd Edition - Early Evening Flowing into Fall","1744","0","0","696"
"A10044-2","Ltd Edition - The Return","1745","0","2","704"
"A10044-2","Ltd Edition - The Return","1746","0","0","704"
"A10044-2","Ltd Edition - The Return","1747","0","0","704"
"A10044-2","Ltd Edition - The Return","1748","0","0","704"
"A12050-2","Ltd Edition - Ice Dream","1757","0","2","716"
"A12050-2","Ltd Edition - Ice Dream","1758","0","0","716"
"A12050-2","Ltd Edition - Ice Dream","1759","0","0","716"
"A12050-2","Ltd Edition - Ice Dream","1760","0","0","716"
"A13053-2","Ltd Edition - Roots Of Another World","1765","0","2","718"
"A13053-2","Ltd Edition - Roots Of Another World","1766","0","0","718"
"A13053-2","Ltd Edition - Roots Of Another World","1767","0","0","718"
"A13053-2","Ltd Edition - Roots Of Another World","1768","0","0","718"
"W13023-2","Ltd Edition - Water and Spirit Buffalo","1769","0","2","722"
"W13023-2","Ltd Edition - Water and Spirit Buffalo","1770","0","0","722"
"W13023-2","Ltd Edition - Water and Spirit Buffalo","1771","0","0","722"
"W13023-2","Ltd Edition - Water and Spirit Buffalo","1772","0","0","722"
"A08007-2","Ltd Edition - A Moose and Goose","1801","0","2","675"
"A08007-2","Ltd Edition - A Moose and Goose","1802","0","0","675"
"A08007-2","Ltd Edition - A Moose and Goose","1803","0","0","675"
"A08007-2","Ltd Edition - A Moose and Goose","1804","0","0","675"
"A08019-2","Ltd Edition - Unity","1805","0","2","682"
"A08019-2","Ltd Edition - Unity","1806","0","0","682"
"A08019-2","Ltd Edition - Unity","1807","0","0","682"
"A08019-2","Ltd Edition - Unity","1808","0","0","682"
"A04015-2","Ltd Edition - Rebirth","1809","0","2","684"
"A04015-2","Ltd Edition - Rebirth","1810","0","0","684"
"A04015-2","Ltd Edition - Rebirth","1811","0","0","684"
"A04015-2","Ltd Edition - Rebirth","1812","0","0","684"
"A04039-2","Ltd Edition - Nostalgia","1813","0","2","685"
"A04039-2","Ltd Edition - Nostalgia","1814","0","0","685"
"A04039-2","Ltd Edition - Nostalgia","1815","0","0","685"
"A04039-2","Ltd Edition - Nostalgia","1816","0","0","685"
"A04060-2","Ltd Edition - Passing Through","1817","0","2","700"
"A04060-2","Ltd Edition - Passing Through","1818","0","0","700"
"A04060-2","Ltd Edition - Passing Through","1819","0","0","700"
"A04060-2","Ltd Edition - Passing Through","1820","0","0","700"
"A07020-1","Canvas - Journey to the Spirit World","1857","0","1","744"
"A07020-1","Canvas - Journey to the Spirit World","1858","0","0","744"
"A07020-1","Canvas - Journey to the Spirit World","1859","0","1","744"
"A07020-1","Canvas - Journey to the Spirit World","1860","0","0","744"
"W12001-2","Ltd Edition - Dialogue","1873","0","2","691"
"W12001-2","Ltd Edition - Dialogue","1874","0","0","691"
"W12001-2","Ltd Edition - Dialogue","1875","0","0","691"
"W12001-2","Ltd Edition - Dialogue","1876","0","0","691"
"A13056-2","Ltd Edition - Otherness","1877","0","2","705"
"A13056-2","Ltd Edition - Otherness","1878","0","0","705"
"A13056-2","Ltd Edition - Otherness","1879","0","0","705"
"A13056-2","Ltd Edition - Otherness","1880","0","0","705"
"A08045-2","Ltd Edition - Patience","1889","0","2","680"
"A08045-2","Ltd Edition - Patience","1890","0","0","680"
"A08045-2","Ltd Edition - Patience","1891","0","0","680"
"A08045-2","Ltd Edition - Patience","1892","0","0","680"
"A95053-2","Ltd Edition - Messenger","1893","0","2","711"
"A95053-2","Ltd Edition - Messenger","1894","0","0","711"
"A95053-2","Ltd Edition - Messenger","1895","0","0","711"
"A95053-2","Ltd Edition - Messenger","1896","0","0","711"
"A13042-2","Ltd Edition - Carried Away","1897","0","2","721"
"A13042-2","Ltd Edition - Carried Away","1898","0","0","721"
"A13042-2","Ltd Edition - Carried Away","1899","0","0","721"
"A13042-2","Ltd Edition - Carried Away","1900","0","0","721"
"A09006-2","Ltd Edition - River Keeper","1909","0","2","683"
"A09006-2","Ltd Edition - River Keeper","1910","0","0","683"
"A09006-2","Ltd Edition - River Keeper","1911","0","0","683"
"A09006-2","Ltd Edition - River Keeper","1912","0","0","683"
"A13041-2","Ltd Edition - Lapinx","1917","0","2","703"
"A13041-2","Ltd Edition - Lapinx","1918","0","0","703"
