"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Combinations wholesale price","Combinations Impact on unit price","Product Combinations ID","Product ID"
"""Birch Bark"" Blanket","BIRC600OS-01","","Couverture ""Écorce de Bouleau""","0","105.00","198.00","0.00","0.00","0.00","","13068"
"""Miel"" Blanket","MIEL600OS-01","","Couverture ""Miel""","1","105.00","198.00","0.00","0.00","0.00","","13077"
"""Éclair"" Blanket","ECLA600OS-01","","Couverture ""Éclair""","0","105.00","198.00","0.00","0.00","0.00","","13078"
"""Harvesters"" Blanket","HARV600OS-01","","Couverture ""Harvesters""","0","105.00","198.00","0.00","0.00","0.00","","13079"
"""Storm"" Blanket","STOR600OS-01","","Couverture ""Storm""","0","105.00","198.00","0.00","0.00","0.00","","13080"
"""Thunderbird"" Blanket","THUN600OS-01","","Couverture ""Thunderbird""","0","105.00","198.00","0.00","0.00","0.00","","13082"
"""FLeurs"" Blanket","FLEU600OS-01","","Couverture ""Fleurs""","0","105.00","198.00","0.00","0.00","0.00","","13083"
"""Sand"" Blanket","SAND600OS-01","","Couverture ""Sand""","1","105.00","198.00","0.00","0.00","0.00","","13084"
"Sherpa Baby Blanket ""Sand""","SAND600OS-07","","Couverture Sherpa pour Bébé ""Sand""","0","51.00","85.00","0.00","0.00","0.00","","14221"
"""Nibi"" Blanket","NIBI600OS-01","","Couverture ""Nibi""","2","105.00","198.00","0.00","0.00","0.00","","14224"
"""Currant"" Blanket","CURR600OS-01","","Couverture ""Currant""","0","105.00","198.00","0.00","0.00","0.00","","14225"
"""Star"" Blanket","STAR600OS-01","","Couverture ""Star""","2","105.00","198.00","0.00","0.00","0.00","","14226"
"Sherpa Baby Blanket ""Storm""","STOR600OS-07","","Couverture Sherpa pour Bébé ""Storm""","0","51.00","85.00","0.00","0.00","0.00","","14227"
"Sherpa Baby Blanket ""Mkwa""","MKWA600OS-07","","Couverture Sherpa pour Bébé ""Mkwa""","1","51.00","85.00","0.00","0.00","0.00","","14228"
"Sherpa Baby Blanket ""Thunderbird"" Blanket","THUN600OS-07","","Couverture Sherpa pour Bébé ""Thunderbird""","2","51.00","85.00","0.00","0.00","0.00","","14438"
"""Fleurs"" Wool Blanket","FLEU620OS-02","","Couverture en Laine ""Fleurs""","0","164.00","289.00","0.00","0.00","0.00","","14439"
"""Aqua Woodland"" Blanket","AQUA600OS-01","","Couverture ""Aqua Woodland""","0","105.00","198.00","0.00","0.00","0.00","","14666"
"""Connections"" Blanket","CONN600OS-01","","Couverture ""Connections""","2","105.00","198.00","0.00","0.00","0.00","","14667"
"""Ceremony"" Blanket","CERE600OS-01","","Couverture ""Ceremony""","3","105.00","198.00","0.00","0.00","0.00","","14668"
"""Aurora"" Blanket","AURO600OS-01","","Couverture ""Aurora""","0","105.00","198.00","0.00","0.00","0.00","","14813"
"""Woodland Floral"" Wool Blanket","WOOD600OS-01","","Couverture en Laine ""Woodland Floral""","0","164.00","289.00","0.00","0.00","0.00","","14816"
"Sherpa Baby Blanket ""Birch Bark"" Blanket","BIRC600OS-07","","Couverture Sherpa pour Bébé ""Birch Bark""","0","51.00","85.00","0.00","0.00","0.00","","16311"
"Sherpa Baby Blanket ""Connections""","CONN600OS-07","","Couverture Sherpa pour Bébé ""Connections""","0","51.00","85.00","0.00","0.00","0.00","","16314"
"""Generations"" Blanket","GENE600OS-01","","Couverture ""Generations""","1","105.00","198.00","0.00","0.00","0.00","","17018"
"Sherpa Baby Blanket ""Nibi""","NIBI600OS-07","","Couverture Sherpa pour Bébé ""Nibi""","2","51.00","85.00","0.00","0.00","0.00","","17231"
"""Kwe"" Blanket","KWE600OS-01","","Couverture ""Kwe""","2","105.00","198.00","0.00","0.00","0.00","","17357"
