"Product name","Reference code","Combinations Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations wholesale price","Product Combinations ID","Product ID"
"Canvas - New Day","A08013-1","","1","0.00","0.00","0.00","1561","737"
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1562","737"
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1563","737"
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1564","737"
"Canvas - Patience","A08045-1","","1","0.00","0.00","0.00","1837","738"
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1838","738"
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1839","738"
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1840","738"
"Liquid Silver Chain 5 Strands","LS5","16\""","0","0.00","0.00","40.00","8264","8540"
"Liquid Silver Chain 5 Strands","LS5","18\""","5","0.00","0.00","45.00","8265","8540"
"Liquid Silver Chain 5 Strands","LS5","20\""","2","0.00","0.00","47.00","8266","8540"
"Liquid Silver Chain 5 Strands","LS5","24\""","0","0.00","0.00","48.00","8267","8540"
"Liquid Silver Chain 5 Strands","LS5","30\""","0","0.00","0.00","55.00","8268","8540"
"Liquid Silver Chain 10 Strands","LS10","","3","0.00","0.00","65.00","8269","8543"
"Liquid Silver Chain 10 Strands","LS10","","2","0.00","0.00","74.00","8270","8543"
"Liquid Silver Chain 10 Strands","LS10","","1","0.00","0.00","69.00","8271","8543"
"Liquid Silver Chain 10 Strands","LS10","","0","0.00","0.00","82.00","8272","8543"
"Liquid Silver Chain 10 Strands","LS10","","0","0.00","0.00","50.00","8273","8543"
"Liquid Silver Chain 20 Strands","LS20","","0","0.00","0.00","105.00","8274","8544"
"Liquid Silver Chain 20 Strands","LS20","","3","0.00","0.00","114.00","8275","8544"
"Liquid Silver Chain 20 Strands","LS20","","0","0.00","0.00","122.00","8276","8544"
"Liquid Silver Chain 20 Strands","LS20","","1","0.00","0.00","145.00","8277","8544"
"Liquid Silver Chain 20 Strands","LS20","","0","0.00","0.00","95.00","8278","8544"
"Birthstone Pendant","DC1701-PX12","DC1701-P","6","5.50","12.95","0.00","9076","10285"
"Birthstone Pendant","DC1701-PX12","DC1702-P","11","5.50","12.95","0.00","9077","10285"
"Birthstone Pendant","DC1701-PX12","DC1703-P","11","5.50","12.95","0.00","9078","10285"
"Birthstone Pendant","DC1701-PX12","DC1704-P","14","5.50","12.95","0.00","9079","10285"
"Birthstone Pendant","DC1701-PX12","DC1705-P","10","5.50","12.95","0.00","9080","10285"
"Birthstone Pendant","DC1701-PX12","DC1706-P","11","5.50","12.95","0.00","9081","10285"
"Birthstone Pendant","DC1701-PX12","DC1707-P","6","5.50","12.95","0.00","9082","10285"
