"Product ID","Product Combinations ID","Product name","Pre-tax retail price","Quantity"
"14","","Card - Eagle Moon","5.5","42"
"17","","Card - Giving Thanks","5.5","15"
"20","","Card - Honoring the Giver of Life","5.5","15"
"23","","Card - Moon Wisdom","5.5","20"
"30","","Card - Teachings","5.5","13"
"34","","Card - Strength Within","5.5","29"
"35","","Card - Reaching Out","5.5","11"
"40","","Card - Trust","5.5","19"
"44","","Card - Whisper","5.5","36"
"47","","Card - A Moose and Goose","5.5","12"
"51","","Card - Sky Sisters","5.5","18"
"54","","Card - Merging Earth and Sky","5.5","12"
"58","","Card - Geese Spirit","5.5","55"
"61","","Card - New Day","5.5","5"
"64","","Card - Patience","5.5","17"
"67","","Card - Birth of Eagle Shadow","5.5","10"
"70","","Card - Unity","5.5","20"
"73","","Card - River Keeper","5.5","24"
"76","","Card - Rebirth","5.5","19"
"79","","Card - Nostalgia","5.5","22"
"82","","Card - Journey to the Spirit orld","5.5","27"
"85","","Card - Passage","5.5","16"
"88","","Card - Breath of Life","5.5","21"
"92","","Card - Synchronicity","5.5","21"
"95","","Card - Winter Wolves","5.5","21"
"98","","Card - Dialogue","5.5","25"
"101","","Card - Gate of Silk","5.5","25"
"104","","Card - Earth Keeper","5.5","17"
"107","","Card - Going Home","5.5","23"
"113","","Card - Early Evening Flowing Into Fall","5.5","6"
"119","","Bill Helin Killer Whale Halo Mug","11","5"
"131","","Bill Helin Chilkat Halo Mug","11","3"
"171","","Bill Helin Raven Oven Mitt","16","2"
"175","1063","Bill Helin Raven Salad Servers","48","1"
"175","1064","Bill Helin Raven Salad Servers","48","2"
"183","","Andrew Williams Hummingbird Trivet or Coasters","12.5","2"
"200","","Anthony Joseph Salmon Halo Mug","11","5"
"240","","Corrine Hunt Sea to Sky Cheese Knife","46","3"
"248","","Corrinr Hunt Sea to Sky Cheese Knife and Fork Set","65","4"
"249","","Corrine Hunt Collection Namwayut  Salad Servers","53","2"
"251","","Card - The Protector","5.5","21"
"257","","Card - Sky Girl","5.5","18"
"262","","Card - Passing Through","5.5","19"
"268","","Card - Tranquility","5.5","16"
"278","","Card - Lapinx","5.5","23"
"285","","Card - The Return","5.5","16"
"290","","Card - Otherness","5.5","16"
"294","","Card - Origins","5.5","22"
"299","","Card - Northern Keepers","5.5","26"
"304","","Card - Zenith","5.5","17"
"309","","Card - Silent Seekers","5.5","29"
"313","","Card - Wisdom Keepers","5.5","12"
"315","","Card - Messenger","5.5","18"
"318","","Card - Gezaluwejit","5.5","14"
"321","","Card - In Her World","5.5","24"
"324","","Card - Inner Memories","5.5","23"
"331","","Card - Curiously","5.5","19"
"332","","Card - Ice Dream","5.5","19"
"335","","Card - Playing With Shadows","5.5","19"
"338","","Card - Roots Of Another World","5.5","8"
"341","","Card - Harmony","5.5","25"
"344","","Card - Sharing","5.5","32"
"347","","Card - Carried Away","5.5","11"
"350","","Card - Water and Spirit Buffalo","5.5","19"
"356","","Connie Dickens Raven Zip Tote Bag","44","2"
"357","","Connie Dickens Raven Town Bag","48.5","2"
"359","","Connie Dickens Raven Zip Pouch","17","2"
"360","","Connie Dickens Raven Coin Purse","13","2"
"367","","Kelly Robinson Eagle Passport Purse","35","4"
"368","","Kelly Robinson Eagle Passport Purse","35","5"
"372","","Kelly Robinson Eagle Zip Pouch","17","2"
"373","1038","Corrine Hunt Silk Inspiration Bangle","46","2"
"373","1039","Corrine Hunt Silk Inspiration Bangle","46","0"
"373","1040","Corrine Hunt Silk Inspiration Bangle","46","0"
"375","1033","Corrine Hunt Silk Inspiration Cuff Bracelet","55","1"
"375","1034","Corrine Hunt Silk Inspiration Cuff Bracelet","55","1"
"376","1031","Corrine Hunt Silk Inspiration Cuff Bracelet","55","1"
"376","1032","Corrine Hunt Silk Inspiration Cuff Bracelet","55","1"
"383","","Corrine Hunt Silk Inspiration Trapezoid Earrings","38","2"
"393","","Corrine Hunt Silk Inspiration Round Pendant","38","2"
"394","","Corrine Hunt Silk Inspiration Round Pendant","38","3"
"397","1023","Kelly Robinson Silk Inspiration Cuff Bracelet","55","0"
"397","1024","Kelly Robinson Silk Inspiration Cuff Bracelet","55","2"
"398","1021","Kelly Robinson Silk Inspiration Cuff Bracelet","55","1"
"398","1022","Kelly Robinson Silk Inspiration Cuff Bracelet","55","1"
"401","","Kelly Robinson Silk Inspiration Oval Earrings","38","2"
"402","","Kelly Robinson Silk Inspiration Oval Earrings","38","3"
"404","","Kelly Robinson Silk Inspiration Trapezoid Earrings","38","2"
"405","","Kelly Robinson Silk Inspiration Triangle Earrings","38","2"
"410","","Kelly Robinson Silk Inspiration Round Pendant","38","2"
"424","","Corrine Hunt Eagle Earrings","70","2"
"427","","Corrine Hunt Eagle Earrings","75","2"
"443","","Corrine Hunt Eagle Pendant","75","2"
"456","","CMH Sea Monster Box","58.5","2"
"462","","Haida Gwaii Octopus Platter","355","2"
"463","","Haida Gwaii Sea Wolf Platter","360","2"
"477","","Potlatch Bear Dish","97","2"
"481","","Potlatch Loon Bowl","97","2"
"485","1087","Moccasins Bear Box","65","0"
"485","1088","Moccasins Bear Box","65","4"
"485","1089","Moccasins Bear Box","65","1"
"489","4027","City Bag, Bear Box","92","0"
"489","4028","City Bag, Bear Box","92","0"
"489","4029","City Bag, Bear Box","92","1"
"489","4030","City Bag, Bear Box","92","1"
"501","106","Porte-monnaie Bear Box","28.75","2"
"501","107","Porte-monnaie Bear Box","28.75","0"
"501","108","Porte-monnaie Bear Box","28.75","0"
"501","109","Porte-monnaie Bear Box","28.75","0"
"501","110","Porte-monnaie Bear Box","28.75","0"
"501","111","Porte-monnaie Bear Box","28.75","0"
"501","112","Porte-monnaie Bear Box","28.75","0"
"501","113","Porte-monnaie Bear Box","28.75","1"
"501","114","Porte-monnaie Bear Box","28.75","0"
"501","115","Porte-monnaie Bear Box","28.75","1"
"501","116","Porte-monnaie Bear Box","28.75","1"
"501","117","Porte-monnaie Bear Box","28.75","0"
"502","102","Mini Coin Purse Bear Box","23","3"
"502","103","Mini Coin Purse Bear Box","23","1"
"502","104","Mini Coin Purse Bear Box","23","2"
"502","105","Mini Coin Purse Bear Box","23","5"
"502","2069","Mini Coin Purse Bear Box","23","2"
"502","3952","Mini Coin Purse Bear Box","23","2"
"509","4097","Passport Pouch Bear Box","62","0"
"509","4098","Passport Pouch Bear Box","62","1"
"509","4099","Passport Pouch Bear Box","62","1"
"509","4100","Passport Pouch Bear Box","62","1"
"509","4102","Passport Pouch Bear Box","62","1"
"509","4121","Passport Pouch Bear Box","62","1"
"509","7834","Passport Pouch Bear Box","62","0"
"525","4078","Sacoche de Soirée, Bear Box","46","0"
"525","4079","Sacoche de Soirée, Bear Box","46","0"
"525","4081","Sacoche de Soirée, Bear Box","46","1"
"525","4082","Sacoche de Soirée, Bear Box","46","1"
"525","4084","Sacoche de Soirée, Bear Box","46","0"
