"Reference code","Product ID","Product name","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price"
"A01033-2","669","Ltd Edition - New Fire","10.25"" x 13.25""","16"" x 20""","99","","1609","1","170.00","0.00","74.00"
"A01033-2","669","Ltd Edition - New Fire","10.25"" x 13.25""","16"" x 20""","99","","1610","0","335.00","0.00","0.00"
"A01033-2","669","Ltd Edition - New Fire","10.25"" x 13.25""","16"" x 20""","99","","1611","0","335.00","0.00","0.00"
"A01033-2","669","Ltd Edition - New Fire","10.25"" x 13.25""","16"" x 20""","99","","1612","0","335.00","0.00","0.00"
"A01036-2","670","Ltd Edition - Teachings","10.25"" x 13.25""","16"" x 20""","99","","1613","1","170.00","0.00","74.00"
"A01036-2","670","Ltd Edition - Teachings","10.25"" x 13.25""","16"" x 20""","99","","1614","0","335.00","0.00","0.00"
"A01036-2","670","Ltd Edition - Teachings","10.25"" x 13.25""","16"" x 20""","99","","1615","0","335.00","0.00","0.00"
"A01036-2","670","Ltd Edition - Teachings","10.25"" x 13.25""","16"" x 20""","99","","1616","0","335.00","0.00","0.00"
"A08007-2","675","Ltd Edition - A Moose and Goose","12” x 12”","17.75” 17.875”","99","","1801","1","170.00","0.00","74.00"
"A08007-2","675","Ltd Edition - A Moose and Goose","12” x 12”","17.75” 17.875”","99","","1802","0","335.00","0.00","0.00"
"A08007-2","675","Ltd Edition - A Moose and Goose","12” x 12”","17.75” 17.875”","99","","1803","0","335.00","0.00","0.00"
"A08007-2","675","Ltd Edition - A Moose and Goose","12” x 12”","17.75” 17.875”","99","","1804","0","335.00","0.00","0.00"
"W13025-2","687","Ltd Edition - Passage","10.25"" x 13.25""","16"" x 20""","99","","1625","1","170.00","0.00","74.00"
"W13025-2","687","Ltd Edition - Passage","10.25"" x 13.25""","16"" x 20""","99","","1626","0","335.00","0.00","0.00"
"W13025-2","687","Ltd Edition - Passage","10.25"" x 13.25""","16"" x 20""","99","","1627","0","335.00","0.00","0.00"
"W13025-2","687","Ltd Edition - Passage","10.25"" x 13.25""","16"" x 20""","99","","1628","0","335.00","0.00","0.00"
