"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Combinations wholesale price","Combinations Impact on unit price","Product Combinations ID","Product ID"
"Bill Helin Killer Whale Pot Holder","SKU: 53-53-620","","Bill Helin Poignées de four Épaulard bleu et noir","2","5.75","15.95","0.00","0.00","0.00","","127"
"Bill Helin Chilkat Oven Mitt","SKU: 53-53-582","SKU: 53-53-582","Bill Helin Mitaines à four Chilkat : Couleurs - Rouge/noir","0","7.50","19.95","0.00","0.00","0.00","1081","132"
"Bill Helin Chilkat Oven Mitt","SKU: 53-53-582","SKU: 53-53-509","Bill Helin Mitaines à four Chilkat : Couleurs - Rouge/noir/blanc","2","7.50","19.95","0.00","0.00","0.00","1082","132"
"Bill Helin Eagle Oven Mitt","SKU: 53-53-672","","Bill Helin - Mitaines à four - Aigle","2","8.00","19.95","0.00","0.00","0.00","","135"
"Bill Helin Hummingbird Oven Mitt","SKU: 53-53-553","","Bill Helin Mitaine à four Colibri","2","8.00","19.95","0.00","0.00","0.00","","151"
"Bill Helin Hummingbird Pot Holder","SKU: 53-53-552","","Bill Helin Poignée à four Colibri","2","5.75","15.95","0.00","0.00","0.00","","152"
"Bill Helin Raven Oven Mitt","SKU: 53-53-007","","Bill Helin Mitaine à Four Corbeau","2","8.00","19.95","0.00","0.00","0.00","","171"
"Andrew Williams Hummingbird Oven Mitt","SKU: 52-52-792","","Andrew William Mitaine à Four Colibri","2","8.00","19.95","0.00","0.00","0.00","","179"
"Andrew Williams Hummingbird Pot Holder","SKU: 52-52-791","","Andrew William Poignée à Four Colibri","2","6.50","15.95","0.00","0.00","0.00","","181"
"Corrine Hunt Sea to Sky Cheese Knife","SKU: 00-04-531","","Corrine Hunt Sea to Sky Couteau à Fromage","2","22.00","56.00","0.00","0.00","0.00","","240"
"Jim Charlie Raven Oven Mitt","SKU: 52-52-627","","Jim Charlie Mitaine à four Corbeau","2","8.00","19.95","0.00","0.00","0.00","","259"
"Potlatch Bear Dish","SKU: 00-02-826","","Plat Potlatch Ours","2","50.50","116.00","0.00","0.00","0.00","","477"
"Potlatch Frog Bowl","SKU: 00-02-822","","Bol Potlatch Grenouille","2","50.50","116.00","0.00","0.00","0.00","","480"
"Nino Place Mats ""Depth""","A17063-UAC0401NC02A","","Napperons Nino ""Profondeur""","9","6.50","15.00","0.00","0.00","0.00","","1062"
"Nino Place Mats ""Silent Seekers""","A16058-UAC0401NC04A","","Napperons Nino ""En Quête de Silence""","13","6.50","15.00","0.00","0.00","0.00","","1063"
"Polar Bear Oven Mitt","SKU: 12-12-403","","Mitaines à Four Ours Polaire","2","8.00","19.95","0.00","0.00","0.00","","1144"
"Princess Grinder Salt/Pepper/Herbs","SKU: 00-04-330","04-329","Moulins à Sel/Poivre/Herbes Princesse : Couleurs - Ivoire","1","46.00","105.95","0.00","0.00","0.00","5600","1188"
"Princess Grinder Salt/Pepper/Herbs","SKU: 00-04-330","04-331","Moulins à Sel/Poivre/Herbes Princesse : Couleurs - Ardoise","1","46.00","105.95","0.00","46.00","0.00","5601","1188"
"Princess Grinder Salt/Pepper/Herbs","SKU: 00-04-330","","Moulins à Sel/Poivre/Herbes Princesse : Couleurs - Rosewood","0","46.00","105.95","0.00","46.00","0.00","5602","1188"
"Nino Place Mats ""Wisdom Keepers""","A16059-UAC0401NC0IA","","Napperons Nino ""Gardiens de la Sagesse""","5","6.50","15.00","0.00","0.00","0.00","","4551"
"Nino Place Mats ""M'Otter Love""","A17064-UAC0401NC03A","","Napperons Nino ""L'Outre Mère""","11","6.50","15.00","0.00","0.00","0.00","","4553"
"Inuksuk Oven Mitt","SKU: 12-12-102","","Mitaine à four Inuksuk","2","7.50","19.95","0.00","0.00","0.00","","6785"
"Celeste Place Mats ""Journey to the Spirit World""","UAC6301NC0AA","","","0","6.50","15.00","0.00","0.00","0.00","10358","9142"
"Celeste Place Mats ""Journey to the Spirit World""","UAC6301NC0AA","","","0","6.50","15.00","0.00","0.00","0.00","10359","9142"
"Raven Horn Serving Set - (sold separately)","SKU: 00-06-101","","Ensemble de Service Corbeau - (vendu séparément) : Style - Louche - Mat","0","19.55","120.00","0.00","0.00","0.00","8537","9331"
"Raven Horn Serving Set - (sold separately)","SKU: 00-06-101","","Ensemble de Service Corbeau - (vendu séparément) : Style - Louche - Poli","1","19.55","120.00","0.00","0.00","0.00","8538","9331"
"Raven Horn Serving Set - (sold separately)","SKU: 00-06-101","","Ensemble de Service Corbeau - (vendu séparément) : Style - Louche à Fente - Mat","1","19.55","120.00","0.00","0.00","0.00","8539","9331"
"Raven Horn Serving Set - (sold separately)","SKU: 00-06-101","","Ensemble de Service Corbeau - (vendu séparément) : Style - Louche à Fente - Poli","1","19.55","120.00","0.00","0.00","0.00","8540","9331"
"Mimi Apron for children ""Depth""","A17063-UAC6601NC02A","","Tablier Mimi pour enfant ""Profondeur""","3","30.00","49.00","0.00","0.00","0.00","","12200"
"Mimi Apron for children ""Northern Keepers""","A16051-UAC6601NC05A","","Tablier Mimi pour enfant ""Gardiens du Nord""","3","30.00","49.00","0.00","0.00","0.00","","12201"
"Mimi Apron for children ""New Day""","A08013-UAC6601NC0FA","","Tablier Mimi pour enfant ""Nouveau Jour""","5","30.00","49.00","0.00","0.00","0.00","","12202"
"Mimi Apron for children ""Silent Seekers""","A16058-UAC6601NC04A","","Tablier Mimi pour enfant ""En Quête de Silence""","4","30.00","49.00","0.00","0.00","0.00","","12203"
"Angèle Apron ""Depth""","A17063-UAC6701NC02A","","Tablier Angèle ""Profondeur""","2","29.50","69.00","0.00","0.00","0.00","","12205"
"Angèle Apron ""Silent Seekers""","A16058-UAC6701NC04A","","Tablier Angèle ""En Quête de Silence""","2","29.50","69.00","0.00","0.00","0.00","","12208"
"Bill Helin Killer Whale Oven Mitt","SKU: 53-53-612","","Bill Helin Mitaine à Four Épaulard","2","8.00","19.95","0.00","0.00","0.00","","12851"
"Wildflower Oven Mitt","SKU: 00-08-624","","Mitaines à four Fleurs Sauvage","2","8.00","19.95","0.00","0.00","0.00","","13900"
"Céleste Place Mat ""In Her World""","W13026-UAC6301NC1DA","","Napperon Céleste ""Dans son Monde""","3","6.50","15.00","0.00","0.00","0.00","","14603"
"Medicine Wheel Coaster","MWCOASTER","","Sous-verres Roue de Médecine : Taille - Unité","29","13.00","0.00","16.00","0.00","0.00","10925","15149"
"Medicine Wheel Coaster","MWCOASTER","","Sous-verres Roue de Médecine : Taille - Ensemble de 2","8","13.00","0.00","30.00","0.00","0.00","10926","15149"
"Medicine Wheel Coaster","MWCOASTER","","Sous-verres Roue de Médecine : Taille - Ensemble de 4","4","13.00","0.00","60.00","0.00","0.00","10927","15149"
"Angèle Apron ""A Moose and a Goose""","A08007-UAC6701NC1AA","","Tablier Angèle ""Un Orignal et une Outarde""","2","29.50","69.00","0.00","0.00","0.00","","15198"
"Celeste Place Mats "" Northern Keepers ""","UAC6301NC05A","","Napperons Celeste "" Gardiens Du Nord ""","6","6.50","15.00","0.00","0.00","0.00","","16693"
