"Reference code","Product name","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product ID","Product Combinations ID"
"A16058-WNS0701NC04A","Coco Tank ""Silent Seekers""","Débardeur Coco ""En Quête de Silence"" : Taille - XP","4","34.35","79.00","807","1435"
"A16058-WNS0701NC04A","Coco Tank ""Silent Seekers""","Débardeur Coco ""En Quête de Silence"" : Taille - P","2","34.35","79.00","807","1436"
"A16058-WNS0701NC04A","Coco Tank ""Silent Seekers""","Débardeur Coco ""En Quête de Silence"" : Taille - M","5","34.35","79.00","807","1437"
"A16058-WNS0701NC04A","Coco Tank ""Silent Seekers""","Débardeur Coco ""En Quête de Silence"" : Taille - L","3","34.35","79.00","807","1438"
"A16058-WNS0701NC04A","Coco Tank ""Silent Seekers""","Débardeur Coco ""En Quête de Silence"" : Taille - XL","1","34.35","79.00","807","1439"
"A16051-WNS0701NC05A","Coco Tank ""Northern Keepers""","Débardeur Coco ""Gardiens du Nord"" : Taille - XP","0","34.35","79.00","808","1430"
"A16051-WNS0701NC05A","Coco Tank ""Northern Keepers""","Débardeur Coco ""Gardiens du Nord"" : Taille - P","0","34.35","79.00","808","1431"
"A16051-WNS0701NC05A","Coco Tank ""Northern Keepers""","Débardeur Coco ""Gardiens du Nord"" : Taille - M","0","34.35","79.00","808","1432"
"A16051-WNS0701NC05A","Coco Tank ""Northern Keepers""","Débardeur Coco ""Gardiens du Nord"" : Taille - L","0","34.35","79.00","808","1433"
"A16051-WNS0701NC05A","Coco Tank ""Northern Keepers""","Débardeur Coco ""Gardiens du Nord"" : Taille - XL","0","34.35","79.00","808","1434"
"A01028-WNS0701NC08A","Coco Tank ""Giving Thanks""","Débardeur Coco ""Rendre Grâce"" : Taille - XP","0","34.35","79.00","809","1425"
"A01028-WNS0701NC08A","Coco Tank ""Giving Thanks""","Débardeur Coco ""Rendre Grâce"" : Taille - P","0","34.35","79.00","809","1426"
"A01028-WNS0701NC08A","Coco Tank ""Giving Thanks""","Débardeur Coco ""Rendre Grâce"" : Taille - M","0","34.35","79.00","809","1427"
"A01028-WNS0701NC08A","Coco Tank ""Giving Thanks""","Débardeur Coco ""Rendre Grâce"" : Taille - L","0","34.35","79.00","809","1428"
"A01028-WNS0701NC08A","Coco Tank ""Giving Thanks""","Débardeur Coco ""Rendre Grâce"" : Taille - XL","0","34.35","79.00","809","1429"
"A16058-WSS0901NC04A","K Smith T-Shirt ""Silent Seekers""","K Smith T-Shirt ""En Quête de Silence"" : Taille - XP","3","35.00","89.00","820","1405"
"A16058-WSS0901NC04A","K Smith T-Shirt ""Silent Seekers""","K Smith T-Shirt ""En Quête de Silence"" : Taille - P","4","35.00","89.00","820","1406"
"A16058-WSS0901NC04A","K Smith T-Shirt ""Silent Seekers""","K Smith T-Shirt ""En Quête de Silence"" : Taille - M","5","35.00","89.00","820","1407"
"A16058-WSS0901NC04A","K Smith T-Shirt ""Silent Seekers""","K Smith T-Shirt ""En Quête de Silence"" : Taille - L","4","35.00","89.00","820","1408"
"A16058-WSS0901NC04A","K Smith T-Shirt ""Silent Seekers""","K Smith T-Shirt ""En Quête de Silence"" : Taille - XL","0","35.00","89.00","820","1409"
"A17063-WSS0901NC02A","K Smith T-Shirt ""Depth""","K Smith T-Shirt ""Profondeur"" : Taille - XP","0","35.00","89.00","821","2313"
"A17063-WSS0901NC02A","K Smith T-Shirt ""Depth""","K Smith T-Shirt ""Profondeur"" : Taille - P","0","35.00","89.00","821","2314"
"A17063-WSS0901NC02A","K Smith T-Shirt ""Depth""","K Smith T-Shirt ""Profondeur"" : Taille - M","0","35.00","89.00","821","2315"
"A17063-WSS0901NC02A","K Smith T-Shirt ""Depth""","K Smith T-Shirt ""Profondeur"" : Taille - L","0","35.00","89.00","821","2316"
"A17063-WSS0901NC02A","K Smith T-Shirt ""Depth""","K Smith T-Shirt ""Profondeur"" : Taille - XL","0","35.00","89.00","821","2317"
"A17064-WNS0801NC03A","Kaplan Tank ""M'Otter Love""","Débardeur Kaplan ""L'Outre Mère"" : Taille - XP","3","60.00","129.00","822","1420"
"A17064-WNS0801NC03A","Kaplan Tank ""M'Otter Love""","Débardeur Kaplan ""L'Outre Mère"" : Taille - P","3","60.00","129.00","822","1421"
"A17064-WNS0801NC03A","Kaplan Tank ""M'Otter Love""","Débardeur Kaplan ""L'Outre Mère"" : Taille - M","6","60.00","129.00","822","1422"
"A17064-WNS0801NC03A","Kaplan Tank ""M'Otter Love""","Débardeur Kaplan ""L'Outre Mère"" : Taille - L","0","60.00","129.00","822","1423"
"A17064-WNS0801NC03A","Kaplan Tank ""M'Otter Love""","Débardeur Kaplan ""L'Outre Mère"" : Taille - XL","0","60.00","129.00","822","1424"
"A16058-WNS0801NC04B","Kaplan Tank ""Silent Seekers""","Débardeur Kaplan ""En Quête de Silence"" : Taille - XP","5","60.00","129.00","823","1415"
"A16058-WNS0801NC04B","Kaplan Tank ""Silent Seekers""","Débardeur Kaplan ""En Quête de Silence"" : Taille - P","0","60.00","129.00","823","1416"
"A16058-WNS0801NC04B","Kaplan Tank ""Silent Seekers""","Débardeur Kaplan ""En Quête de Silence"" : Taille - M","7","60.00","129.00","823","1417"
"A16058-WNS0801NC04B","Kaplan Tank ""Silent Seekers""","Débardeur Kaplan ""En Quête de Silence"" : Taille - L","0","60.00","129.00","823","1418"
"A16058-WNS0801NC04B","Kaplan Tank ""Silent Seekers""","Débardeur Kaplan ""En Quête de Silence"" : Taille - XL","1","60.00","129.00","823","1419"
"W13023-WNS0801NC09A","Kaplan Tank ""Water and Spirit Buffalo""","Débardeur Kaplan ""Eau et Esprit du Bison"" : Taille - XP","0","60.00","129.00","824","1410"
"W13023-WNS0801NC09A","Kaplan Tank ""Water and Spirit Buffalo""","Débardeur Kaplan ""Eau et Esprit du Bison"" : Taille - P","0","60.00","129.00","824","1411"
"W13023-WNS0801NC09A","Kaplan Tank ""Water and Spirit Buffalo""","Débardeur Kaplan ""Eau et Esprit du Bison"" : Taille - M","0","60.00","129.00","824","1412"
"W13023-WNS0801NC09A","Kaplan Tank ""Water and Spirit Buffalo""","Débardeur Kaplan ""Eau et Esprit du Bison"" : Taille - L","0","60.00","129.00","824","1413"
"W13023-WNS0801NC09A","Kaplan Tank ""Water and Spirit Buffalo""","Débardeur Kaplan ""Eau et Esprit du Bison"" : Taille - XL","0","60.00","129.00","824","1414"
"A17064-WSS0901NC03B","K Smith T-Shirt ""M'Otter Love""","K Smith T-Shirt ""L'Outre Mère"" : Taille - XP","2","35.00","89.00","865","3312"
"A17064-WSS0901NC03B","K Smith T-Shirt ""M'Otter Love""","K Smith T-Shirt ""L'Outre Mère"" : Taille - P","4","35.00","89.00","865","3313"
"A17064-WSS0901NC03B","K Smith T-Shirt ""M'Otter Love""","K Smith T-Shirt ""L'Outre Mère"" : Taille - M","1","35.00","89.00","865","3314"
"A17064-WSS0901NC03B","K Smith T-Shirt ""M'Otter Love""","K Smith T-Shirt ""L'Outre Mère"" : Taille - L","0","35.00","89.00","865","3315"
"A17064-WSS0901NC03B","K Smith T-Shirt ""M'Otter Love""","K Smith T-Shirt ""L'Outre Mère"" : Taille - XL","0","35.00","89.00","865","3316"
"A08011-MSS0701NC0HA","Salvadore Tee for Men ""Whisper""","Salvador Tee pour Homme ""Murmure"" : Taille - XP","0","36.00","89.00","898","3332"
"A08011-MSS0701NC0HA","Salvadore Tee for Men ""Whisper""","Salvador Tee pour Homme ""Murmure"" : Taille - P","0","36.00","89.00","898","3333"
"A08011-MSS0701NC0HA","Salvadore Tee for Men ""Whisper""","Salvador Tee pour Homme ""Murmure"" : Taille - M","1","36.00","89.00","898","3334"
"A08011-MSS0701NC0HA","Salvadore Tee for Men ""Whisper""","Salvador Tee pour Homme ""Murmure"" : Taille - L","0","36.00","89.00","898","3335"
"A08011-MSS0701NC0HA","Salvadore Tee for Men ""Whisper""","Salvador Tee pour Homme ""Murmure"" : Taille - XL","0","36.00","89.00","898","3336"
"W12018-WNS0801NC0DB","Kaplan Tank ""Early Evening Flowing Into Fall""","Débardeur Kaplan ""Soirée Glissant Vers l'Automne"" : Taille - XP","0","60.00","129.00","942","3267"
"W12018-WNS0801NC0DB","Kaplan Tank ""Early Evening Flowing Into Fall""","Débardeur Kaplan ""Soirée Glissant Vers l'Automne"" : Taille - P","0","60.00","129.00","942","3268"
"W12018-WNS0801NC0DB","Kaplan Tank ""Early Evening Flowing Into Fall""","Débardeur Kaplan ""Soirée Glissant Vers l'Automne"" : Taille - M","0","60.00","129.00","942","3269"
"W12018-WNS0801NC0DB","Kaplan Tank ""Early Evening Flowing Into Fall""","Débardeur Kaplan ""Soirée Glissant Vers l'Automne"" : Taille - L","0","60.00","129.00","942","3270"
"W12018-WNS0801NC0DB","Kaplan Tank ""Early Evening Flowing Into Fall""","Débardeur Kaplan ""Soirée Glissant Vers l'Automne"" : Taille - XL","0","60.00","129.00","942","3271"
"A08013-WNS0801NC0FC","Kaplan Tank ""New Day""","Débardeur Kaplan ""Nouveau Jour"" : Taille - XP","1","60.00","129.00","944","3277"
"A08013-WNS0801NC0FC","Kaplan Tank ""New Day""","Débardeur Kaplan ""Nouveau Jour"" : Taille - P","0","60.00","129.00","944","3278"
"A08013-WNS0801NC0FC","Kaplan Tank ""New Day""","Débardeur Kaplan ""Nouveau Jour"" : Taille - M","0","60.00","129.00","944","3279"
"A08013-WNS0801NC0FC","Kaplan Tank ""New Day""","Débardeur Kaplan ""Nouveau Jour"" : Taille - L","0","60.00","129.00","944","3280"
"A08013-WNS0801NC0FC","Kaplan Tank ""New Day""","Débardeur Kaplan ""Nouveau Jour"" : Taille - XL","0","60.00","129.00","944","3281"
"W18053-WNS0801NC0JB","Kaplan Tank ""Northern Masters""","Débardeur Kaplan ""Maîtres du Nord"" : Taille - XP","0","60.00","129.00","945","3282"
"W18053-WNS0801NC0JB","Kaplan Tank ""Northern Masters""","Débardeur Kaplan ""Maîtres du Nord"" : Taille - P","0","60.00","129.00","945","3283"
"W18053-WNS0801NC0JB","Kaplan Tank ""Northern Masters""","Débardeur Kaplan ""Maîtres du Nord"" : Taille - M","0","60.00","129.00","945","3284"
