"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price"
"Fab-1","7903","1 Lucky Stones","","1 Lucky Stones","255","5.50","1.00","0.00"
"FAB-17B","7906","17B Painted Pebble  ""DC""","","17B Painted Pebble  ""DC""","37","6.50","2.50","0.00"
"FAB-17A","9809","17A Shaman Painted River Pebble","","17A Shaman Painted River Pebble","17","5.50","1.50","0.00"
"Fab - 2D","11140","2D Candle Holder Month","","2D Candle Holder Month","3","28.00","7.50","0.00"
"Fab-18","11141","18 Wooden Earth Game","","18 Wooden Earth Game","3","17.95","7.50","0.00"
"Fab-6","11819","6 Ornaments","","6 Ornaments","11","15.00","3.00","0.00"
"Fab-7","11820","7 Round Incense Burner","","7 Round Incense Burner","0","15.00","3.00","0.00"
"Fab-8A","11821","8A Smudging Kit","","8A Smudging Kit","0","32.00","12.50","0.00"
"Fab-13C","11822","13C Candle Holder Bone","","13C Candle Holder Bone","10","36.00","11.00","0.00"
"Fab-Buttons","11823","Buttons","","Buttons","13","5.00","1.00","0.00"
"Fab-3","12747","3 Necklace on Cardboard","","3 Necklace on Cardboard","24","9.95","3.00","0.00"
"Fab-12D","12748","12D Bowl Medium with Bird","","12D Bowl Medium with Bird","3","36.00","12.00","0.00"
"CS","13053","Ancestral Seed Boxes","11928","Wellness - Pride of you vegetable garden","7","19.99","12.00","0.00"
"CS","13053","Ancestral Seed Boxes","11929","Wellness - Surprise Collection","7","19.99","12.00","0.00"
"CS","13053","Ancestral Seed Boxes","11930","Wellness - Save the bees","2","19.99","12.00","0.00"
"CS","13053","Ancestral Seed Boxes","11931","Wellness - Flowers and medicinal plants","5","19.99","12.00","0.00"
"TIS","13061","Herbal Teas","9829","Wellness - Wild chamomile","2","19.95","11.97","0.00"
"TIS","13061","Herbal Teas","9830","Wellness - Balsam fir","3","19.95","11.97","0.00"
"TIS","13061","Herbal Teas","9831","Wellness - Red clover","4","19.95","11.97","0.00"
"TIS","13061","Herbal Teas","9832","Wellness - Stinging nettle","2","19.95","11.97","0.00"
"MI","13062","Honey","9837","Wellness - Wild chamomile","2","19.95","11.97","0.00"
"MI","13062","Honey","9838","Wellness - Balsam fir","3","19.95","11.97","0.00"
"MI","13062","Honey","9839","Wellness - Rosehips","3","19.95","11.97","0.00"
"MI","13062","Honey","9840","Wellness - Wild mint","4","19.95","11.97","0.00"
"Fab-13D","13558","13D Candle Holder Arrow","","13D Candle Holder Arrow","5","40.00","12.50","0.00"
"CS-Individual","15155","Ancestral Seeds (Sachet)","","Ancestral Seeds (Sachet)","27","3.99","2.40","0.00"
"Fab-5a","15544","5A Bracelet 1 Strand","11675","Size - XS","3","6.00","2.50","0.00"
"Fab-5a","15544","5A Bracelet 1 Strand","11676","Size - S","6","6.00","2.50","0.00"
"Fab-5a","15544","5A Bracelet 1 Strand","11677","Size - M","10","8.00","2.50","0.00"
"Fab-5a","15544","5A Bracelet 1 Strand","11678","Size - L","1","10.00","2.50","0.00"
"Fab-5a","15544","5A Bracelet 1 Strand","11679","Size - XL","0","10.00","2.50","0.00"
"Fab-5b","15545","5B Bracelet 3 Strands","","5B Bracelet 3 Strands","0","18.00","7.50","0.00"
"Fab-5c","15547","5C Bracelet 4 Strands","","5C Bracelet 4 Strands","0","24.00","9.00","0.00"
"Fab-19A","15662","19A Ceramic Mobile","11823","Style - Turtle","2","18.00","6.00","0.00"
"Fab-19A","15662","19A Ceramic Mobile","11824","Style - Heart","1","18.00","6.00","0.00"
"Fab-19A","15662","19A Ceramic Mobile","11825","Style - Bird","1","18.00","6.00","0.00"
"Fab-19B","15663","19B Ceramic Mobile - Bird","","19B Ceramic Mobile - Bird","7","36.00","12.50","0.00"
"Fab-19C","15664","19C Ceramic Mobile - Small Fish","","19C Ceramic Mobile - Small Fish","0","15.00","5.00","0.00"
"Fab-19D","15665","19D Ceramic Mobile - Multiple Small Fish","","19D Ceramic Mobile - Multiple Small Fish","6","30.00","11.00","0.00"
"Fab-19E","15666","19E Ceramic Mobile - Sectional Small Fish","","19E Ceramic Mobile - Sectional Small Fish","1","35.00","12.00","0.00"
"Fab-19F","15667","19F Ceramic Mobile - Sectional Medium Fish","","19F Ceramic Mobile - Sectional Medium Fish","0","45.00","18.00","0.00"
