"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price"
"142","1022","Suede Moccasins for Juniors","2526","Shoe Size - 13","0","64.00","27.50","0.00"
"142","1022","Suede Moccasins for Juniors","2527","Shoe Size - 12","0","64.00","27.50","0.00"
"142","1022","Suede Moccasins for Juniors","2528","Shoe Size - 11","0","64.00","27.50","0.00"
"142","1022","Suede Moccasins for Juniors","2535","Shoe Size - 1","0","64.00","27.50","0.00"
"142","1022","Suede Moccasins for Juniors","2536","Shoe Size - 2","0","64.00","27.50","0.00"
"142","1022","Suede Moccasins for Juniors","2537","Shoe Size - 3","0","64.00","27.50","0.00"
"402","1035","Suede Moccasins for Junior","2667","Shoe Size - 1","2","63.00","27.00","0.00"
"402","1035","Suede Moccasins for Junior","2668","Shoe Size - 2","1","63.00","27.00","0.00"
"402","1035","Suede Moccasins for Junior","2669","Shoe Size - 3","1","63.00","27.00","0.00"
"402","1035","Suede Moccasins for Junior","2670","Shoe Size - 11","2","63.00","27.00","0.00"
"402","1035","Suede Moccasins for Junior","2671","Shoe Size - 12","3","63.00","27.00","0.00"
"402","1035","Suede Moccasins for Junior","2672","Shoe Size - 13","2","63.00","27.00","0.00"
"220","1046","Suede Moccasins for Juniors","2775","Shoe Size - 11","5","68.00","44.00","0.00"
"220","1046","Suede Moccasins for Juniors","2776","Shoe Size - 12","3","68.00","44.00","0.00"
"220","1046","Suede Moccasins for Juniors","2777","Shoe Size - 13","2","68.00","44.00","0.00"
"220","1046","Suede Moccasins for Juniors","2779","Shoe Size - 2","5","68.00","44.00","0.00"
"220","1046","Suede Moccasins for Juniors","2780","Shoe Size - 3","6","68.00","44.00","0.00"
"220","1046","Suede Moccasins for Juniors","7221","Shoe Size - 1","3","68.00","44.00","0.00"
"540","1051","Suede Moccasins for Juniors","2803","Shoe Size - 11","0","120.00","44.00","0.00"
"540","1051","Suede Moccasins for Juniors","2804","Shoe Size - 12","0","120.00","44.00","0.00"
"540","1051","Suede Moccasins for Juniors","2805","Shoe Size - 13","0","120.00","44.00","0.00"
"540","1051","Suede Moccasins for Juniors","2806","Shoe Size - 2","0","120.00","44.00","0.00"
"540","1051","Suede Moccasins for Juniors","2807","Shoe Size - 3","0","120.00","44.00","0.00"
"540","1051","Suede Moccasins for Juniors","2808","Shoe Size - 1","0","120.00","44.00","0.00"
"64817","14780","Suede Moccasins for Juniors","10659","Shoe Size - 11","0","75.00","0.00","0.00"
"64817","14780","Suede Moccasins for Juniors","10660","Shoe Size - 12","0","75.00","0.00","0.00"
"64817","14780","Suede Moccasins for Juniors","10661","Shoe Size - 13","1","75.00","0.00","0.00"
"64817","14780","Suede Moccasins for Juniors","10662","Shoe Size - 1","0","75.00","0.00","0.00"
"64817","14780","Suede Moccasins for Juniors","10663","Shoe Size - 2","0","75.00","0.00","0.00"
"64817","14780","Suede Moccasins for Juniors","10664","Shoe Size - 3","0","75.00","0.00","0.00"
