"Reference code","Product ID","Product name","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price"
"W12017-2","689","Ltd Edition - Synchronicity","10.25"" x 13.25""","16"" x 20""","99","","1632","0","335.00","74.00","0.00"
"W12008-2","690","Ltd Edition - Winter wolves","13.25"" x 10.25""","20"" x 16""","99","","1733","2","170.00","74.00","0.00"
"W12008-2","690","Ltd Edition - Winter wolves","13.25"" x 10.25""","20"" x 16""","99","","1734","0","335.00","74.00","0.00"
"W12008-2","690","Ltd Edition - Winter wolves","13.25"" x 10.25""","20"" x 16""","99","","1735","0","335.00","74.00","0.00"
"W12008-2","690","Ltd Edition - Winter wolves","13.25"" x 10.25""","20"" x 16""","99","","1736","0","335.00","74.00","0.00"
"W12001-2","691","Ltd Edition - Dialogue","13.5” x 5”","19.25” x 10.875”","99","","1873","2","135.00","60.85","0.00"
"W12001-2","691","Ltd Edition - Dialogue","13.5” x 5”","19.25” x 10.875”","99","","1874","0","305.00","60.85","0.00"
"W12001-2","691","Ltd Edition - Dialogue","13.5” x 5”","19.25” x 10.875”","99","","1875","0","305.00","60.85","0.00"
"W12001-2","691","Ltd Edition - Dialogue","13.5” x 5”","19.25” x 10.875”","99","","1876","0","305.00","60.85","0.00"
"W12014-2","692","Ltd Edition - Gate of Silk","13.25"" x 10.25""","20"" x 16""","99","","1737","4","170.00","0.00","74.00"
"W12014-2","692","Ltd Edition - Gate of Silk","13.25"" x 10.25""","20"" x 16""","99","","1738","0","335.00","0.00","0.00"
"W12014-2","692","Ltd Edition - Gate of Silk","13.25"" x 10.25""","20"" x 16""","99","","1739","0","335.00","0.00","0.00"
"W12014-2","692","Ltd Edition - Gate of Silk","13.25"" x 10.25""","20"" x 16""","99","","1740","0","335.00","0.00","0.00"
"W12005-2","693","Ltd Edition - Earth Keeper","10.25"" x 13.25""","16"" x 20""","99","","1633","3","170.00","74.00","0.00"
"W12005-2","693","Ltd Edition - Earth Keeper","10.25"" x 13.25""","16"" x 20""","99","","1634","0","335.00","74.00","0.00"
"W12005-2","693","Ltd Edition - Earth Keeper","10.25"" x 13.25""","16"" x 20""","99","","1635","0","335.00","74.00","0.00"
"W12005-2","693","Ltd Edition - Earth Keeper","10.25"" x 13.25""","16"" x 20""","99","","1636","0","335.00","74.00","0.00"
"W12016-2","694","Ltd Edition - Going Home","10.25"" x 13.25""","16"" x 20""","99","","1637","2","170.00","74.00","0.00"
"W12016-2","694","Ltd Edition - Going Home","10.25"" x 13.25""","16"" x 20""","99","","1638","0","335.00","74.00","0.00"
"W12016-2","694","Ltd Edition - Going Home","10.25"" x 13.25""","16"" x 20""","99","","1639","0","335.00","74.00","0.00"
"W12016-2","694","Ltd Edition - Going Home","10.25"" x 13.25""","16"" x 20""","99","","1640","0","335.00","74.00","0.00"
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","13.25"" x 10.25""","20"" x 16""","99","","1741","2","170.00","74.00","0.00"
