"Reference code","Product ID","Product name","Product Combinations ID","Quantity","Final price (pre-tax)","Pre-tax wholesale price"
"SKU: 53-53-620","127","Bill Helin Killer Whale Pot Holder","","4","12.95","4.75"
"SKU: 53-53-582","132","Bill Helin Chilkat Oven Mitt","1081","0","17.95","6.95"
"SKU: 53-53-582","132","Bill Helin Chilkat Oven Mitt","1082","4","17.95","6.95"
"SKU: 53-53-553","151","Bill Helin Hummingbird Oven Mitt","","2","17.95","6.95"
"SKU: 53-53-552","152","Bill Helin Hummingbird Pot Holder","","3","13.95","4.75"
"SKU: 53-53-653","158","Bill Helin Killer Whale Pot Holder","","3","12.95","4.75"
"SKU: 00-04-566","229","Corrine Hunt Namwayut Collection Large Bowl","","2","80.00","27.75"
"SKU: 00-04-531","240","Corrine Hunt Sea to Sky Cheese Knife","","2","52.00","19.55"
"SKU: 00-06-914","247","Corrine Hunt Sea to Sky Cheese Knife","","2","74.00","19.55"
"SKU: 52-52-627","259","Jim Charlie Raven Oven Mitt","","4","17.95","6.95"
"A17063-UAC0401NC02A","1062","Nino Place Mats ""Depth""","","6","15.00","0.00"
"A16058-UAC0401NC04A","1063","Nino Place Mats ""Silent Seekers""","","6","15.00","0.00"
"SKU: 12-12-101","1146","Inuksuk Pot Holder","","3","13.95","4.75"
"SKU: 00-04-324","1187","Chief Grinder Salt/Pepper/Herbs","5587","1","105.95","46.00"
"SKU: 00-04-324","1187","Chief Grinder Salt/Pepper/Herbs","5589","0","105.95","46.00"
"SKU: 00-04-324","1187","Chief Grinder Salt/Pepper/Herbs","5590","1","105.95","46.00"
"SKU: 00-04-330","1188","Princess Grinder Salt/Pepper/Herbs","5600","1","105.95","46.00"
"SKU: 00-04-330","1188","Princess Grinder Salt/Pepper/Herbs","5601","2","105.95","46.00"
"SKU: 00-04-330","1188","Princess Grinder Salt/Pepper/Herbs","5602","1","105.95","46.00"
"A08013-UAC0401NC0FA","4550","Nino Place Mats ""New Day""","10362","0","15.00","0.00"
"A08013-UAC0401NC0FA","4550","Nino Place Mats ""New Day""","10363","4","15.00","0.00"
"A16059-UAC0401NC0IA","4551","Nino Place Mats ""Wisdom Keepers""","","6","15.00","0.00"
"A17064-UAC0401NC03A","4553","Nino Place Mats ""M'Otter Love""","","8","15.00","0.00"
"SKU: 12-12-102","6785","Inuksuk Oven Mitt","","3","17.95","6.95"
"UAC0401NC05A","8131","Nino Place Mats "" Northern Keepers ""","","6","15.00","0.00"
"A07020-UAC0401NC0AA","9142","Nino Place Mats ""Journey to the Spirit World""","10358","2","15.00","0.00"
"A07020-UAC0401NC0AA","9142","Nino Place Mats ""Journey to the Spirit World""","10359","8","15.00","0.00"
"SKU: 00-06-911","9329","Eagle Pâté Knife","8533","2","45.00","19.55"
"SKU: 00-06-911","9329","Eagle Pâté Knife","8534","0","45.00","19.55"
"SKU: 00-06-101","9331","Raven Horn Serving Set - (sold separately)","8537","0","120.00","19.55"
"SKU: 00-06-101","9331","Raven Horn Serving Set - (sold separately)","8538","1","120.00","19.55"
"SKU: 00-06-101","9331","Raven Horn Serving Set - (sold separately)","8539","1","120.00","19.55"
"SKU: 00-06-101","9331","Raven Horn Serving Set - (sold separately)","8540","1","120.00","19.55"
"A08007-UAC6601NC1AA","12199","Mimi Apron for children ""A Moose and a Goose""","","2","49.00","0.00"
"A17063-UAC6601NC02A","12200","Mimi Apron for children ""Depth""","","4","49.00","0.00"
"A16051-UAC6601NC05A","12201","Mimi Apron for children ""Northern Keepers""","","4","49.00","0.00"
"A08013-UAC6601NC0FA","12202","Mimi Apron for children ""New Day""","","5","49.00","0.00"
"A16058-UAC6601NC04A","12203","Mimi Apron for children ""Silent Seekers""","","5","49.00","0.00"
"A17063-UAC6701NC02A","12205","Angèle Apron ""Depth""","","3","69.00","0.00"
"A16051-UAC6701NC05A","12206","Angèle Apron ""Northern Keepers""","","5","69.00","0.00"
"A08013-UAC6701NC0FA","12207","Angèle Apron ""New Day""","","5","69.00","0.00"
"A16058-UAC6701NC04A","12208","Angèle Apron ""Silent Seekers""","","5","69.00","0.00"
"W13026-UAC6301NC1DA","14603","Céleste Place Mat ""In Her World""","","8","15.00","0.00"
"A08007-UAC6701NC1AA","15198","Angèle Apron ""A Moose and a Goose""","","3","69.00","0.00"
