"Reference code","Product ID","Product name","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price"
"GENC","14626","Gift Enclosures - Mini cards pack of 8","","","","","10571","5","7.45","3.25","0.00"
"GENC","14626","Gift Enclosures - Mini cards pack of 8","","","","","10572","6","7.45","3.25","0.00"
"GENC","14626","Gift Enclosures - Mini cards pack of 8","","","","","10573","13","7.45","3.25","0.00"
"GENC","14626","Gift Enclosures - Mini cards pack of 8","","","","","10574","10","7.45","3.25","0.00"
"GENC","14626","Gift Enclosures - Mini cards pack of 8","","","","","10575","16","7.45","3.25","0.00"
"GENC","14626","Gift Enclosures - Mini cards pack of 8","","","","","10576","7","7.45","3.25","0.00"
"GENC","14626","Gift Enclosures - Mini cards pack of 8","","","","","10577","11","7.45","3.25","0.00"
"GENC","14626","Gift Enclosures - Mini cards pack of 8","","","","","10578","4","7.45","3.25","0.00"
"GENC","14626","Gift Enclosures - Mini cards pack of 8","","","","","10579","11","7.45","3.25","0.00"
"GENC","14626","Gift Enclosures - Mini cards pack of 8","","","","","10580","9","7.45","3.25","0.00"
"GENC","14626","Gift Enclosures - Mini cards pack of 8","","","","","10581","11","7.45","3.25","0.00"
"GENC","14626","Gift Enclosures - Mini cards pack of 8","","","","","10582","7","7.45","3.25","0.00"
