"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Combinations wholesale price","Combinations Impact on unit price","Product Combinations ID","Product ID"
"Vivienne Scarf ""Depth""","A17063-WAC0201NC02A","","Foulard Vivienne ""Profondeur""","2","23.00","59.00","0.00","0.00","0.00","","845"
"Vivienne Scarf ""M'Otter Love""","A17064-WAC0201NC03A","","Foulard Vivienne ""L'Outre Mère""","1","23.00","59.00","0.00","0.00","0.00","","846"
"Vivienne Scarf ""Silent Seekers""","A16058-WAC0201NC04A","","Foulard Vivienne ""En Quête du Silence""","8","23.00","59.00","0.00","0.00","0.00","","847"
"Vivienne Scarf ""Northern Keepers""","A16051-WAC0201NC05A","","Foulard Vivienne ""Gardiens du Nord""","4","23.00","59.00","0.00","0.00","0.00","","848"
"Vivienne Scarf ""The River Keeper""","A09006-WAC0201NC06A","","Foulard Vivienne ""La Gardienne de l'Eau""","5","23.00","59.00","0.00","0.00","0.00","","849"
"Vivienne Scarf ""Dialogue""","W12001-WAC0201NC07B","","Foulard Vivienne ""Dialogue""","2","23.00","59.00","0.00","0.00","0.00","","850"
"Vivienne Scarf ""Giving Thanks""","A01028-WAC0201NC08A","","Foulard Vivienne ""Rendre Grâce""","3","23.00","59.00","0.00","0.00","0.00","","851"
"Vivienne Scarf ""Water and Spirit Buffalo""","W13023-WAC0201NC09A","","Foulard Vivienne ""Eau et Esprit du Bison""","1","23.00","59.00","0.00","0.00","0.00","","852"
"Vivienne Scarf ""Journey to the Spirit World""","A07020-WAC0201NC0AA","","Foulard Vivienne ""Voyage Vers le Monde du Songe""","2","23.00","59.00","0.00","0.00","0.00","","853"
"Vivienne Scarf ""Zenith""","A16052-WAC0201NC0BA","","Foulard Vivienne ""Zenith""","3","23.00","59.00","0.00","0.00","0.00","","854"
"Vivienne Scarf ""Forest Temple""","A17065-WAC0201NC0CA","","Foulard Vivienne ""Temple de la Forêt""","4","23.00","59.00","0.00","0.00","0.00","","855"
"Vivienne Scarf ""Merging Earth and Sky""","A10004-WAC0201NC01A","","Foulard Vivienne ""Fusion entre Terre et Ciel""","4","23.00","59.00","0.00","0.00","0.00","","961"
"Vivienne Scarf ""Early Evening Flowing into Fall""","W12018-WAC0201NC0DB","","Foulard Vivienne ""Soirée Glissant vers l'Automne""","1","23.00","59.00","0.00","0.00","0.00","","962"
"Vivienne Scarf ""Lapinx""","A13041-WAC0201NC0EA","","Foulard Vivienne ""Lapinx""","3","23.00","59.00","0.00","0.00","0.00","","994"
"Vivienne Scarf ""Northern Masters""","W18053-WAC0201NC0JB","","Foulard Vivienne ""Maîtres du Nord""","2","23.00","59.00","0.00","0.00","0.00","","995"
"Vivienne Scarf ""Horizon""","W17062-WAC0201NC0GC","","Foulard Vivienne ""Horizon""","3","23.00","59.00","0.00","0.00","0.00","","996"
"Vivienne Scarf ""New Day""","A08013-WAC0201NC0FC","","Foulard Vivienne ""Nouveau Jour""","0","23.00","59.00","0.00","0.00","0.00","","997"
"Vivienne Scarf ""Whisper""","A08011-WAC0201NC0HB","","Foulard Vivienne ""Murmure""","0","23.00","59.00","0.00","0.00","0.00","","998"
"Vivienne Scarf ""Wisdom Keepers""","A16059-WAC0201NC0IA","","Foulard Vivienne ""Gardiens de la Sagesse""","6","23.00","59.00","0.00","0.00","0.00","","999"
"Duncan Shawl ""Early Evening Flowing into Fall""","W12018-WAC0401NCODB","","Châle Duncan ""Soirée Glissant vers l'Automne""","2","67.00","69.00","0.00","0.00","0.00","","1008"
