"Reference code","Product name","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID","Product ID"
"A17065-UAC0301NCOCA","Reuben Tote Bag ""Forest Temple""","","0","21.00","49.00","","874"
"W12018-UAC0301NC0DA","Reuben Tote Bag ""Early Evening Flowing into Fall""","","0","21.00","49.00","","875"
"A08011-UAC0301NC0HA","Reuben Tote Bag ""Whisper""","","4","21.00","49.00","","876"
"A16059-UAC0301NC0IA","Reuben Tote Bag ""Wisdom Seekers""","","0","21.00","49.00","","877"
"A10004-UAC0301NC01A","Reuben Tote Bag ""Merging Earth and Sky""","","0","21.00","49.00","","958"
"W18053-UAC0301NCOJB","Reuben Tote Bag ""Northern Masters""","","0","21.00","49.00","","1002"
"A108013-UAC0301NCOFB","Reuben Tote Bag ""New Day""","","0","21.00","49.00","","1003"
"A13041-UAC0301NCOEB","Reuben Tote Bag ""Lapinx""","","3","21.00","49.00","","1004"
"A18066-UAC0301NCOUA","Reuben Tote Bag ""Under the Same Sky""","","4","21.00","49.00","","4549"
"A17063-UAC0301NC02A","Reuben Tote Bag ""Depth""","","3","21.00","49.00","","7505"
"A16051-UAC0301NC5A","Reuben Tote Bag ""Northern Keepers""","","0","21.00","49.00","","8245"
"A16058-UAC0301NC04B","Reuben Tote Bag ""Silent Seekers""","","0","21.00","49.00","","9116"
"W13023-UAC0301NC16A","Reuben Tote Bag ""Water and Spirit Buffalo""","","2","21.00","49.00","","12105"
"A16058-UAC0301NC04A","Reuben Tote Bag ""Silent Seekers""","","7","21.00","49.00","","12163"
"UAC6501NC1BA","Maxime Bag ""Geese Spirit""","","0","27.50","65.00","","12444"
"DC1010","DC1010 Earrings","DC1010 Boucles d'oreille : Couleurs - Bleu royal;DC1010 Boucles d'oreille : Couleurs - Violet;DC1010 Boucles d'oreille : Couleurs - Beige;DC1010 Boucles d'oreille : Couleurs - Turquoise","0;0;0;0","7.25","16.95","9657;9658;9659;9656","12774"
"DC5-P","DC5 Pendant","","9","4.50","10.95","","12998"
"DCC20","DCC20 Earrings","","2","18.50","42.95","","13740"
"DC5","DC5  Earrings","","3","6.00","15.95","","13767"
"UAC6901NC1BA","Lou Pouch ""Geese Spirit""","","0","10.50","29.00","","14741"
"UAC6901NC01A","Lou Pouch ""Merging Earth and Sky""","","0","10.50","29.00","","14742"
"UAC6901NC0YA","Lou Pouch ""Refuge""","","0","10.50","29.00","","14743"
"UAC6901NC04A","Lou Pouch ""Silent Seekers""","","0","10.50","29.00","","14744"
"UAC6901NC0IA","Lou Pouch ""Wisdom Keepers""","","0","10.50","29.00","","14747"
"UAC6901NC1HA","Lou Pouch ""Reaching Out""","","0","10.50","29.00","","14748"
"UAC6901NCIJA","Lou Pouch ""Carried Away Under The Blue Moon""","","0","10.50","29.00","","14751"
"UAC6501NC1JA","Maxime Bag ""Carried Away Under the Blue Moon""","","0","27.50","65.00","","14752"
"UAC6501NCCHA","Maxime Bag ""Quintessence""","","0","27.50","65.00","","14757"
"UAC6901NC03A","Lou Pouch ""Motter Love""","","0","10.50","29.00","","14773"
"UAC6401NC1IA","Lou Pouch ""Quintessence""","","0","10.50","29.00","","14946"
