"Product name","Reference code","Product ID","Combinations (Attribute - value pair)","Product Combinations ID","Pre-tax wholesale price","Pre-tax retail price","Retail price with tax","Quantity"
"Matted Print - New Day","A08013-POD2584","621","Impression avec Passe-Partout - Nouveau Jour","","7.50","20.00","23.00","0"
"Matted Print - Patience","A08045-20084","622","Impression avec Passe-Partout - Patience","","7.50","20.00","23.00","1"
"Small Print - Birth of an Eagle Shadow","A01029-6","623","Petite Repro - Naissance de l'Ombre de l'Aigle","","10.87","25.00","28.74","4"
"Small Print - Unity","A08019-6","624","Petite Repro - Union","","10.87","25.00","28.74","0"
"Small Print - River Keeper","A09006-6","625","Petite Repro - La Gardienne de l'Eau","","10.87","25.00","28.74","38"
"Small Print - Rebirth","A04015-6","626","Petite Repro - Renaissance","","10.87","25.00","28.74","0"
"Small Print - Nostalgia","A04039-6","627","Petite Repro - Nostalgia","","10.87","25.00","28.74","13"
"Small Print - Journey to the Spirit World","A07020-6","628","Petite Repro - Voyage Vers le Monde du Songe","","10.87","25.00","28.74","6"
"Small Print - Breath of Life","W12024-6","630","Petite Repro - Souffle de Vie","","10.87","25.00","28.74","71"
"Small Print - Synchronicity","W12017-6","631","Petite Repro - Synchronicité","","10.87","25.00","28.74","66"
"Small Print - Winter Wolves","W12008-6","632","Petite Repro - Loups d'Hiver","","10.87","25.00","28.74","24"
"Small Print - Dialogue","W12001-6","633","Petite Repro - Dialogue","","10.87","25.00","28.74","9"
"Small Print - Gate of Silk","W12014-6","634","Petite Repro - Portail de Soie","","10.87","25.00","28.74","6"
"Small Print - Earth Keeper","W12005-6","635","Petite Repro - Gardienne de la Terre","","10.87","25.00","28.74","42"
"Small Print - Going Home","W12016-6","636","Petite Repro - Retour Chez Soi","","10.87","25.00","28.74","9"
"Small Print - Early Evening Flowing Into Fall","W12018-6","638","Petite Repro - Soirée Glissant Vers l'Automne","","10.87","25.00","28.74","11"
"Small Print - The Protector","A00048-6","640","Petite Repro - Le Protecteur","","10.87","25.00","28.74","3"
"Small Print - Sky Girl","A01003-6","641","Petite Repro - Fille du Ciel","","10.87","25.00","28.74","7"
"Small Print - Passing Through","A04060-6","642","Petite Repro - Traversée","","10.87","25.00","28.74","0"
"Small print - Tranquility","A09054-6","643","Petite repro - Tranquillité","","10.87","25.00","28.74","5"
"Small Print - Abundance","A16055-6","644","Petite Repro - Abondance","","10.87","25.00","28.74","12"
"Small Print - Lapinx","A13041-6","645","Petite Repro - Lapinx","","10.87","25.00","28.74","14"
"Small Print - Returning","A10044-6","646","Petite Repro - Le Retour","","10.87","25.00","28.74","4"
"Small print - Otherness","A13056-6","647","Petite repro - Altérité","","10.87","25.00","28.74","12"
"Small Print - Origins","A13057-6","648","Petite Repro - Origines","","10.87","25.00","28.74","10"
"Matted Print - Northern Keepers","A16051-POD2566","649","Impression avec Passe-Partout - Gardiens du Nord","","7.50","20.00","23.00","1"
"Small Print - Silent Seekers","A16058-6","651","Petite Repro - En Quête de Silence","","10.87","25.00","28.74","9"
"Small Print - Wisdom Keepers","A16059-6","652","Petite Repro - Gardiens de la Sagesse","","10.87","25.00","28.74","0"
"Small Print - Messenger","A95053-6","653","Petite repro - Messager","","10.87","25.00","28.74","3"
"Matted Print - Gezaluwejit","A14051-POD2554","654","Impression avec Passe-Partout - Gezaluwejit","","7.50","20.00","23.00","3"
"Small Print - In Her World","W13026-6","655","Petite Repro - Dans son Monde","","10.87","25.00","28.74","15"
"Small Print - Ice Dream","A12050-6","658","Petite Repro - Rêve de Glace","","10.87","25.00","28.74","0"
"Small Print - Playing With Shadows","W13027-6","659","Petite Repro - Jeux d'Ombres","","10.87","25.00","28.74","15"
"Small Print - Roots Of Another World","A13053-6","660","Petite Repro - Racines d'un Autre Monde","","10.87","25.00","28.74","8"
"Small Print - Harmony","A01038-6","661","Petite Repro - Harmonie","","10.87","25.00","28.74","50"
"Small Print - Water and Spirit Buffalo","W13023-6","664","Petite Repro - Eau et Esprit du Bison","","10.87","25.00","28.74","11"
"Ltd Edition - Eagle Moon","A01030-2","665","Édition Ltée - Lune de l'Aigle : Options d'encadrement - Sans cadre","1593","0.00","0.00","0.00","2"
"Ltd Edition - Eagle Moon","A01030-2","665","Édition Ltée - Lune de l'Aigle : Options d'encadrement - Cadre rustique noir 1""","1594","0.00","0.00","0.00","0"
"Ltd Edition - Eagle Moon","A01030-2","665","Édition Ltée - Lune de l'Aigle : Options d'encadrement - Cadre rustique brun 1""","1595","0.00","0.00","0.00","0"
"Ltd Edition - Eagle Moon","A01030-2","665","Édition Ltée - Lune de l'Aigle : Options d'encadrement - Cadre rustique gris 1""","1596","0.00","0.00","0.00","0"
"Ltd Edition - Honoring the Giver of Life","A01031-2","667","Édition Ltée - Hommage à la Source de Vie : Options d'encadrement - Sans cadre","1601","0.00","0.00","0.00","2"
"Ltd Edition - Honoring the Giver of Life","A01031-2","667","Édition Ltée - Hommage à la Source de Vie : Options d'encadrement - Cadre rustique noir 1""","1602","0.00","0.00","0.00","0"
"Ltd Edition - Honoring the Giver of Life","A01031-2","667","Édition Ltée - Hommage à la Source de Vie : Options d'encadrement - Cadre rustique brun 1""","1603","0.00","0.00","0.00","0"
"Ltd Edition - Honoring the Giver of Life","A01031-2","667","Édition Ltée - Hommage à la Source de Vie : Options d'encadrement - Cadre rustique gris 1""","1604","0.00","0.00","0.00","0"
"Ltd Edition - Moon Wisdom","A01032-2","668","Édition Ltée - Sagesse de la Lune : Options d'encadrement - Sans cadre","1605","0.00","0.00","0.00","2"
"Ltd Edition - Moon Wisdom","A01032-2","668","Édition Ltée - Sagesse de la Lune : Options d'encadrement - Cadre rustique brun 1""","1606","0.00","0.00","0.00","0"
"Ltd Edition - Moon Wisdom","A01032-2","668","Édition Ltée - Sagesse de la Lune : Options d'encadrement - Cadre rustique noir 1""","1607","0.00","0.00","0.00","0"
"Ltd Edition - Moon Wisdom","A01032-2","668","Édition Ltée - Sagesse de la Lune : Options d'encadrement - Cadre rustique gris 1""","1608","0.00","0.00","0.00","0"
"Ltd Edition - New Fire","A01033-2","669","Édition Ltée - Nouveau Feu : Options d'encadrement - Sans cadre","1609","0.00","0.00","0.00","1"
"Ltd Edition - New Fire","A01033-2","669","Édition Ltée - Nouveau Feu : Options d'encadrement - Cadre rustique noir 1""","1610","0.00","0.00","0.00","0"
"Ltd Edition - New Fire","A01033-2","669","Édition Ltée - Nouveau Feu : Options d'encadrement - Cadre rustique brun 1""","1611","0.00","0.00","0.00","0"
