"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Combinations wholesale price","Combinations Impact on unit price","Product Combinations ID","Product ID"
"Pin - ""Poppy""","Coquelicot","","Broche - ""Coquelicot""","16","13.00","26.00","0.00","0.00","0.00","","7904"
"Pin - ""Red Heart""","Heart Red","","Broche - ""Coeur Rouge"" : Style - Perles","11","0.00","0.00","34.00","17.00","0.00","9700","12815"
"Pin - ""Red Heart""","Heart Red","","Broche - ""Coeur Rouge"" : Style - Sans Perles","0","0.00","0.00","28.00","14.00","0.00","9701","12815"
"Pin -  ""Orange Heart""","Heart Orange","","Broche - ""Coeur Orange"" : Style - Sans Perles","0","0.00","0.00","28.00","14.00","0.00","9841","13075"
"Pin -  ""Orange Heart""","Heart Orange","","Broche - ""Coeur Orange"" : Style - Perles","2","0.00","0.00","34.00","17.00","0.00","9842","13075"
"Pin - ""Colors Stars""","etoile-couleurs","","Broche - ""Étoile Couleurs""","5","17.00","34.00","0.00","0.00","0.00","","13076"
"Pin - ""Red Dress""","Red Dress","","Broche - ""Robe Rouge""","8","15.00","30.00","0.00","0.00","0.00","","13290"
"Pin - ""Poppy-Colors""","Coquelicot-couleurs","","Broche - ""Coquelicot-couleurs""","3","13.00","26.00","0.00","0.00","0.00","","13548"
"Pin - ""Orange Shirt""","Orange Shirt","","Broche - ""Chandail Orange""","2","15.00","30.00","0.00","0.00","0.00","","15158"
"Key Chain ""Heart""","KC-Heart","","Porte-clés ""Coeur""","8","12.50","25.00","0.00","0.00","0.00","","15159"
"Ribbon Skirts","SKIRTS","","Taille - XP","0","60.00","120.00","0.00","0.00","0.00","13120","15774"
"Ribbon Skirts","SKIRTS","","Taille - P","0","60.00","120.00","0.00","0.00","0.00","13121","15774"
"Ribbon Skirts","SKIRTS","","Taille - M","1","60.00","120.00","0.00","0.00","0.00","13122","15774"
"Ribbon Skirts","SKIRTS","","Taille - L","0","60.00","120.00","0.00","0.00","0.00","13123","15774"
"Ribbon Skirts","SKIRTS","","Taille - XL","2","60.00","120.00","0.00","0.00","0.00","13124","15774"
"Key Chain - Seal Skin","KC-Seal","","Porte-clés en Loup Marin","4","12.50","25.00","0.00","0.00","0.00","","16563"
"Earrings","BOFRANCINE","","Boucles d'Oreilles : Bijoux - Perlé","7","0.00","0.00","65.00","30.00","0.00","12986","16697"
"Earrings","BOFRANCINE","","Boucles d'Oreilles : Bijoux - Non Perlé","1","0.00","0.00","45.00","25.00","0.00","12987","16697"
