"Product name","Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID","Product ID"
"Card - Eagle Moon","A01030-7","121","2.50","5.50","","14"
"Card - Giving Thanks","A01028-POD2555","3","2.75","6.35","","17"
"Card - Honoring the Giver of Life","A01031","184","2.50","5.50","","20"
"Card - Moon Wisdom","A01032-7","63","2.50","5.50","","23"
"Card - Teachings","A01036-7","28","2.50","5.50","","30"
"Card - Strength Within","A01035-7","353","2.50","5.50","","34"
"Card - Reaching Out","A01034-POD2570","5","2.75","6.35","","35"
"Card - Trust","A01037-7","124","2.50","5.50","","40"
"Card - Whisper","A08011-7","98","2.50","5.50","","44"
"Card - A Moose and Goose","A08007-POD2548","13","2.75","6.35","","47"
"Card - Sky Sisters","A10012-POD2565","15","2.75","6.35","","51"
"Card - Merging Earth and Sky","A10004-7","209","2.50","5.50","","54"
"Card - New Day","A08013-POD2584","9","2.75","6.35","","61"
"Card - Patience","A08045-20084","10","2.75","6.35","","64"
"Card - Birth of Eagle Shadow","A01029-POD2882","12","2.75","6.35","","67"
"Card - Unity","A08019-POD2886","14","2.75","6.35","","70"
"Card - River Keeper","A09006-POD2579","15","2.75","6.35","","73"
"Card - Rebirth","A04015-20085","23","2.75","6.35","","76"
"Card - Passage","W13025-POD2569","7","2.75","6.35","","85"
"Card - Winter Wolves","W12008-POD2581","11","2.75","6.35","","95"
"Card - Earth Keeper","W12005-POD2552","10","2.75","6.35","","104"
"Card - Going Home","W12016-POD2556","10","2.75","6.35","","107"
"Card - Early Evening Flowing Into Fall","W12018-POD2551","9","2.75","6.35","","113"
"Card - The Protector","A00048-7-POD2884","14","2.75","6.35","","251"
"Card - Sky Girl","A01003-POD2575","18","2.75","6.35","","257"
"Card - Passing Through","A04060-20083","8","2.75","6.35","","262"
"Card - Tranquility","A09054-20087","12","2.75","6.35","","268"
"Card - The Return","A10044-POD2572","19","2.75","6.35","","285"
"Card - Otherness","A13056-POD2568","7","2.75","6.35","","290"
"Card - Origins","A13057-POD2567","7","2.75","6.35","","294"
"Card - Northern Keepers","A16051-POD2566","3","2.75","6.35","","299"
"Card - Zenith","A16052-POD2586","20","2.75","6.35","","304"
"Card - Silent Seekers","A16058-POD2574","8","2.75","6.35","","309"
"Card - Wisdom Keepers","A16059-POD2582","0","2.75","6.35","","313"
"Card - Messenger","A95053-20081","16","2.75","6.35","","315"
"Card - Gezaluwejit","A14051-POD2554","11","2.75","6.35","","318"
"Card - In Her World","W13026-7","7","2.50","5.50","","321"
"Card - Inner Memories","W13047-POD2560","11","2.75","6.35","","324"
"Card - Ice Dream","A12050-POD2559","7","2.75","6.35","","332"
"Card - Roots Of Another World","W13053-20086","12","2.75","6.35","","338"
"Card - Harmony","A01038-7","99","2.50","5.50","","341"
"Card - Sharing","A01040-7","230","2.50","5.50","","344"
"Card - Water and Spirit Buffalo","W13023-POD2887","6","2.75","6.35","","350"
"Card - The Forest Temple","A17065-POD2578","5","2.75","6.35","","781"
"Card - Depth","A17063-POD2550","6","2.75","6.35","","782"
"Card - M'Otter love","A17064-POD2563","2","2.75","6.35","","784"
"Card - Abundance","A09055-7","7","2.50","5.50","","798"
"Card - Northern Masters","W18053-7-POD2883","7","2.75","6.35","","799"
"Card - All my Relations","A20067-POD2580","7","2.75","6.35","","4080"
"Card - Refuge","A20055-POD2571","13","2.75","6.35","","4156"
"Card - Seed of Life","A18061-POD2573","7","2.75","6.35","","4157"
"Card - New Fire","A01033-7","162","2.50","5.50","","5389"
"Card - Synchronicity","W12017-POD2576","12","2.75","6.35","","13550"
"Card - Lapinx","A13041-POD2583","21","2.75","6.35","","13551"
"Card - Geese Spirit","A10046-POD2553","14","2.75","6.35","","16990"
"Card - Merging Earth and Sky","A10004-POD2561","12","2.75","6.35","","16991"
"Card - Honoring the Giver of Life","POD2558","9","2.75","6.35","","17150"
"Card - Sky Sisters","A10012-7","219","2.50","5.50","","17226"
