"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID","Product ID"
"Ladies Suede Slippers","6080-0408-41SBL-661","","Pantoufles Suède Dames : Pointure - 9","0","46.90","108.00","727","558"
"Ladies Suede Slippers","6080-0408-41SBL-661","","Pantoufles Suède Dames : Pointure - 10","0","46.90","108.00","728","558"
"Ladies Suede Slippers","6080-0408-41SBL-661","","Pantoufles Suède Dames : Pointure - 11","1","46.90","108.00","729","558"
"Ladies Suede Slippers","6080-0408-41SBL-661","","Pantoufles Suède Dames : Pointure - 12","1","46.90","108.00","730","558"
"Ladies Suede Slippers","6080-0408-41SBL-661","","Pantoufles Suède Dames : Pointure - 4","0","46.90","108.00","731","558"
"Ladies Suede Slippers","6080-0408-41FG-669","","Pantoufles Suède Dames : Pointure - 6","0","46.90","108.00","751","561"
"Ladies Suede Slippers","6080-0408-41FG-669","","Pantoufles Suède Dames : Pointure - 11","0","46.90","108.00","756","561"
"Ladies Suede Slippers","6080-0408-41FG-669","","Pantoufles Suède Dames : Pointure - 4","0","46.90","108.00","7114","561"
"Ladies Suede Slippers","6080-0408-41FG-669","","Pantoufles Suède Dames : Pointure - 5","1","46.90","108.00","7115","561"
"Ladies Suede Slippers","6080-0408-41FG-669","","Pantoufles Suède Dames : Pointure - 7","0","46.90","108.00","7116","561"
"Ladies Suede Slippers","6080-0408-41FG-669","","Pantoufles Suède Dames : Pointure - 12","0","46.90","108.00","7117","561"
"Ladies Suede Slippers","6080-0408-41FG-669","","Pantoufles Suède Dames : Pointure - 8","0","46.90","108.00","7118","561"
"Ladies Suede Slippers","6080-0408-41FG-669","","Pantoufles Suède Dames : Pointure - 9","1","46.90","108.00","7119","561"
"Ladies Suede Slippers","6080-0408-41FG-669","","Pantoufles Suède Dames : Pointure - 10","1","46.90","108.00","7120","561"
"Ladies Suede Slippers","6080-0408-41BLPL-6531","","Pantoufle Suède Dames : Pointure - 10","0","46.90","108.00","854","572"
"Ladies Suede Slippers","6080-0408-41BLPL-6531","","Pantoufle Suède Dames : Pointure - 12","0","46.90","108.00","7129","572"
"Ladies Suede Slippers","6080-0408-41BLPL-6531","","Pantoufle Suède Dames : Pointure - 4","0","46.90","108.00","7130","572"
"Ladies Suede Slippers","6080-0408-41BLPL-6531","","Pantoufle Suède Dames : Pointure - 5","0","46.90","108.00","7131","572"
"Ladies Suede Slippers","6080-0408-41BLPL-6531","","Pantoufle Suède Dames : Pointure - 6","0","46.90","108.00","7132","572"
"Ladies Suede Slippers","6080-0408-41BLPL-6531","","Pantoufle Suède Dames : Pointure - 7","0","46.90","108.00","7133","572"
"Ladies Suede Slippers","6080-0408-41BLPL-6531","","Pantoufle Suède Dames : Pointure - 8","0","46.90","108.00","7134","572"
"Ladies Suede Slippers","6080-0408-41BLPL-6531","","Pantoufle Suède Dames : Pointure - 9","1","46.90","108.00","7135","572"
"Ladies Suede Slippers","6080-0408-41BLPL-6531","","Pantoufle Suède Dames : Pointure - 11","0","46.90","108.00","7136","572"
"Ladies Suede Slippers","6080-0408-41CHOBL-6733","","Pantoufle Suède Dames : Pointure - 5","0","46.90","108.00","885","576"
"Ladies Suede Slippers","6080-0408-41CHOBL-6733","","Pantoufle Suède Dames : Pointure - 6","0","46.90","108.00","886","576"
"Ladies Suede Slippers","6080-0408-41CHOBL-6733","","Pantoufle Suède Dames : Pointure - 7","0","46.90","108.00","887","576"
"Ladies Suede Slippers","6080-0408-41CHOBL-6733","","Pantoufle Suède Dames : Pointure - 8","0","46.90","108.00","888","576"
"Ladies Suede Slippers","6080-0408-41CHOBL-6733","","Pantoufle Suède Dames : Pointure - 9","1","46.90","108.00","889","576"
"Ladies Suede Slippers","6080-0408-41CHOBL-6733","","Pantoufle Suède Dames : Pointure - 10","0","46.90","108.00","890","576"
"Ladies Suede Slippers","6080-0408-41CHOBL-6733","","Pantoufle Suède Dames : Pointure - 11","0","46.90","108.00","891","576"
"Ladies Suede Slippers","6080-0408-41CHOBL-6733","","Pantoufle Suède Dames : Pointure - 12","0","46.90","108.00","892","576"
"Ladies Suede Slippers","6080-0408-41CHOBL-6733","","Pantoufle Suède Dames : Pointure - 4","0","46.90","108.00","893","576"
"Suede Slippers with sole","6080-0408-12NB-12658","","Pantoufle en suède avec semelle : Pointure - 6","0","57.30","132.00","949","583"
"Suede Slippers with sole","6080-0408-12NB-12658","","Pantoufle en suède avec semelle : Pointure - 11","0","57.30","132.00","954","583"
"Suede Slippers with sole","6080-0408-12NB-12658","","Pantoufle en suède avec semelle : Pointure - 12","0","57.30","132.00","7162","583"
"Suede Slippers with sole","6080-0408-12NB-12658","","Pantoufle en suède avec semelle : Pointure - 4","0","57.30","132.00","7163","583"
"Suede Slippers with sole","6080-0408-12NB-12658","","Pantoufle en suède avec semelle : Pointure - 5","0","57.30","132.00","7164","583"
"Suede Slippers with sole","6080-0408-12NB-12658","","Pantoufle en suède avec semelle : Pointure - 7","0","57.30","132.00","7165","583"
"Suede Slippers with sole","6080-0408-12NB-12658","","Pantoufle en suède avec semelle : Pointure - 8","0","57.30","132.00","7166","583"
"Suede Slippers with sole","6080-0408-12NB-12658","","Pantoufle en suède avec semelle : Pointure - 9","0","57.30","132.00","7167","583"
"Suede Slippers with sole","6080-0408-12NB-12658","","Pantoufle en suède avec semelle : Pointure - 10","0","57.30","132.00","7168","583"
"Suede Slippers with sole","6080-0408-13CHO-13673","","Pantoufle en suède avec semelle : Pointure - 5","0","57.30","132.00","966","585"
"Suede Slippers with sole","6080-0408-13CHO-13673","","Pantoufle en suède avec semelle : Pointure - 6","0","57.30","132.00","967","585"
"Suede Slippers with sole","6080-0408-13CHO-13673","","Pantoufle en suède avec semelle : Pointure - 7","0","57.30","132.00","968","585"
"Suede Slippers with sole","6080-0408-13CHO-13673","","Pantoufle en suède avec semelle : Pointure - 8","0","57.30","132.00","969","585"
"Suede Slippers with sole","6080-0408-13CHO-13673","","Pantoufle en suède avec semelle : Pointure - 9","1","57.30","132.00","970","585"
"Suede Slippers with sole","6080-0408-13CHO-13673","","Pantoufle en suède avec semelle : Pointure - 10","0","57.30","132.00","971","585"
"Suede Slippers with sole","6080-0408-13CHO-13673","","Pantoufle en suède avec semelle : Pointure - 11","0","57.30","132.00","972","585"
"Suede Slippers with sole","6080-0408-13CHO-13673","","Pantoufle en suède avec semelle : Pointure - 12","0","57.30","132.00","973","585"
"Suede Slippers with sole","6080-0408-13CHO-13673","","Pantoufle en suède avec semelle : Pointure - 4","0","57.30","132.00","974","585"
"Suede Moccasins for Women","404","","Mocassins en Suède pour Dames : Pointure - 5","3","61.50","135.00","2633","1031"
"Suede Moccasins for Women","404","","Mocassins en Suède pour Dames : Pointure - 7","1","61.50","135.00","2635","1031"
"Suede Moccasins for Women","404","","Mocassins en Suède pour Dames : Pointure - 9","1","61.50","135.00","2637","1031"
"Suede Moccasins for Women","404","","Mocassins en Suède pour Dames : Pointure - 10","0","61.50","135.00","2638","1031"
"Suede Moccasins for Women","404","","Mocassins en Suède pour Dames : Pointure - 4","2","61.50","135.00","7196","1031"
"Suede Moccasins for Women","404","","Mocassins en Suède pour Dames : Pointure - 6","1","61.50","135.00","7197","1031"
"Suede Moccasins for Women","404","","Mocassins en Suède pour Dames : Pointure - 8","0","61.50","135.00","7198","1031"
"Suede Moccasins for Women","402","","Mocassins en Suède pour Dames : Pointure - 6","0","36.50","84.00","7041","1034"
"Suede Moccasins for Women","402","","Mocassins en Suède pour Dames : Pointure - 7","1","36.50","84.00","7042","1034"
"Suede Moccasins for Women","402","","Mocassins en Suède pour Dames : Pointure - 8","0","36.50","84.00","7043","1034"
"Suede Moccasins for Women","402","","Mocassins en Suède pour Dames : Pointure - 9","0","36.50","84.00","7044","1034"
"Suede Moccasins for Women","402","","Mocassins en Suède pour Dames : Pointure - 10","1","36.50","84.00","7045","1034"
"Suede Moccasins for Women","402","","Mocassins en Suède pour Dames : Pointure - 4","0","36.50","84.00","7199","1034"
"Suede Moccasins for Women","402","","Mocassins en Suède pour Dames : Pointure - 5","0","36.50","84.00","7200","1034"
"Suede Moccasins for Women","842","","Mocassins en Suède pour Dames : Pointure - 5","0","63.50","140.00","2694","1038"
"Suede Moccasins for Women","842","842","Mocassins en Suède pour Dames : Pointure - 6","1","63.50","140.00","2695","1038"
"Suede Moccasins for Women","842","","Mocassins en Suède pour Dames : Pointure - 7","0","63.50","140.00","2696","1038"
"Suede Moccasins for Women","842","","Mocassins en Suède pour Dames : Pointure - 8","0","63.50","140.00","2697","1038"
"Suede Moccasins for Women","842","","Mocassins en Suède pour Dames : Pointure - 9","0","63.50","140.00","2698","1038"
"Suede Moccasins for Women","842","","Mocassins en Suède pour Dames : Pointure - 10","1","63.50","140.00","2699","1038"
"Suede Moccasins for Women","842","","Mocassins en Suède pour Dames : Pointure - 4","0","63.50","140.00","2700","1038"
"Leather Moccasins for Women","4890","","Mocassins en Cuir pour Dames : Pointure - 6","0","52.00","135.00","2722","1042"
"Leather Moccasins for Women","4890","","Mocassins en Cuir pour Dames : Pointure - 7","5","52.00","135.00","2723","1042"
"Leather Moccasins for Women","4890","","Mocassins en Cuir pour Dames : Pointure - 8","1","52.00","135.00","2724","1042"
