"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Combinations wholesale price","Combinations Impact on unit price","Product Combinations ID","Product ID"
"Claudia Shawl ""Under the Same Sky""","WAC0601NC0UA","","Châle Claudia ""Sous le Même Ciel""","0","35.00","109.00","0.00","0.00","0.00","","5214"
"Claudia Shawl ""Gezaluwejit""","WAC0601NC0TA","","Châle Claudia ""Gezaluwejit""","0","35.00","109.00","0.00","0.00","0.00","","5225"
"Ava Poncho ""Earth Keeper""","WAC0801NC0WA","","Poncho Ava ""Gardienne de la Terre""","0","38.00","109.00","0.00","0.00","0.00","","9027"
"Ava Poncho ""Dialogue""","W12001-WAC0801NC07A","","Poncho Ava ""Dialogue""","0","38.00","109.00","0.00","0.00","0.00","","12060"
"Ava Poncho ""Depth""","WAC0801NC02A","","Poncho Ava ""Profondeur""","0","38.00","109.00","0.00","0.00","0.00","","12061"
"Shawl ""Storm""","STOR600OS-03","","Châle ""Storm""","0","80.00","134.00","0.00","0.00","0.00","","13087"
"Shawl ""Thunderbird""","THUN600OS-03","","Châle ""Thunderbird""","1","80.00","134.00","0.00","0.00","0.00","","13089"
"Shawl ""Birch Bark""","BIRC600OS-03","","Châle ""Écorce de Bouleau""","2","80.00","134.00","0.00","0.00","0.00","","13090"
"Shawl ""Miel""","MIEL600OS-03","","Châle ""Miel""","1","80.00","134.00","0.00","0.00","0.00","","13091"
"Shawl ""Currant""","CURR600OS-03","","Châle ""Currant""","1","80.00","134.00","0.00","0.00","0.00","","13092"
"Shawl ""Harvesters""","HARV600OS-03","","Châle ""Harvesters""","0","80.00","134.00","0.00","0.00","0.00","","13093"
"Claudia Shawl ""Silent Seekers""","WAC0601NC04A","","Châle Claudia ""En Quête de Silence""","0","35.00","109.00","0.00","0.00","0.00","","13876"
"Claudia Shawl ""Motter Love""","WAC0601NC03A","","Châle Claudia ""Loutre Mère""","0","35.00","109.00","0.00","0.00","0.00","","13880"
"Shawl ""Tundra""","TUND600OS-03","","Châle ""Tundra""","2","80.00","134.00","0.00","0.00","0.00","","14231"
"Shawl ""Mkwa""","MKWA600OS-03","","Châle ""Mkwa""","0","80.00","134.00","0.00","0.00","0.00","","14232"
"Shawl ""Nibi""","NIBI600OS-03","","Châle ""Nibi""","0","80.00","134.00","0.00","0.00","0.00","","14234"
"Shawl ""Sand""","SAND600OS-03","","Châle ""Sand""","2","80.00","134.00","0.00","0.00","0.00","","14235"
"Shawl ""Fleurs""","FLEU600OS-03","","Châle ""Fleurs""","2","80.00","134.00","0.00","0.00","0.00","","14236"
"Hoodie Poncho ""Four Directions""","4DIR700-10","4DIR700SS-10","Taille - P","1","120.00","209.00","0.00","0.00","0.00","10583","14661"
"Hoodie Poncho ""Four Directions""","4DIR700-10","4DIR700MM-10","Taille - M","1","120.00","209.00","0.00","0.00","0.00","10584","14661"
"Hoodie Poncho ""Four Directions""","4DIR700-10","4DIR700LL-10","Taille - L","1","120.00","209.00","0.00","0.00","0.00","10585","14661"
"Hoodie Poncho ""Four Directions""","4DIR700-10","4DIR700XL-10","Taille - XL","2","120.00","209.00","0.00","0.00","0.00","10586","14661"
"Hoodie Poncho ""Thunderbird""","THUN700-10","THUN700SS-10","Taille - P","1","120.00","209.00","0.00","0.00","0.00","10587","14662"
"Hoodie Poncho ""Thunderbird""","THUN700-10","THUN700MM-10","Taille - M","1","120.00","209.00","0.00","0.00","0.00","10588","14662"
"Hoodie Poncho ""Thunderbird""","THUN700-10","THUN700LL-10","Taille - L","1","120.00","209.00","0.00","0.00","0.00","10589","14662"
"Hoodie Poncho ""Thunderbird""","THUN700-10","THUN700XL-10","Taille - XL","1","120.00","209.00","0.00","0.00","0.00","10590","14662"
"Shawl ""Star""","STAR600OS-03","","Châle ""Star""","2","80.00","134.00","0.00","0.00","0.00","","14817"
"Shawl ""Eclair""","ECLA600OS-03","","Châle ""Eclair""","1","80.00","134.00","0.00","0.00","0.00","","15148"
"Ava Poncho ""Early Evening Flowing into Fall""","WAC0801NC0DB","","Poncho Ava ""Soirée Glissant vers l'Automne""","0","38.00","109.00","0.00","0.00","0.00","","15199"
"Ava Poncho ""Inner Memories""","WAC0801NC17A","","Poncho Ava ""Mémoires Ancestrales""","0","38.00","109.00","0.00","0.00","0.00","","15200"
"Claudia Shawl ""Wisdom Keepers""","WAC0601NC0IA","","Châle Claudia ""Gardiens de la Sagesse""","0","35.00","109.00","0.00","0.00","0.00","","15201"
"Scarlet Poncho ""Zenith""","WAC1501NC0BA","","Poncho Scarlet ""Zenith""","0","44.55","109.00","0.00","0.00","0.00","","16602"
"Scarlet Poncho ""Wisdom Keepers""","WAC1501NC0IA","","Poncho Scarlet ""Gardiens de la Sagesse""","0","44.55","109.00","0.00","0.00","0.00","","16603"
"Scarlet Poncho ""Motter Love""","WAC1501NC03A","","Poncho Scarlet ""Loutre Mère""","0","44.55","109.00","0.00","0.00","0.00","","16604"
"Scarlet Shawl ""Depth""","WSS2001NC02A","","Châle Scarlet ""Zenith""","0","44.55","109.00","0.00","0.00","0.00","","16605"
"Scarlet Shawl ""Geese Spirit""","WSS2001NC1BA","","Châle Scarlet ""L'Esprit de l'Outarde""","0","44.55","109.00","0.00","0.00","0.00","","16606"
"Shawl ""Weaver""","WEAV600OS-03","","Châle ""Weaver""","1","80.00","134.00","0.00","0.00","0.00","","16780"
