"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Product Combinations ID","Product ID"
"Leather Moccasins for Men","189","","Mocassins en Cuir pour Hommes : Pointure - 13","0","55.00","0.00","127.00","2127","927"
"Leather Moccasins for Men","189","","Mocassins en Cuir pour Hommes : Pointure - 12","2","55.00","0.00","127.00","2128","927"
"Leather Moccasins for Men","189","","Mocassins en Cuir pour Hommes : Pointure - 11","0","55.00","0.00","127.00","2129","927"
"Leather Moccasins for Men","189","","Mocassins en Cuir pour Hommes : Pointure - 15","0","55.00","0.00","133.00","2566","927"
"Leather Moccasins for Men","189","","Mocassins en Cuir pour Hommes : Pointure - 14","1","55.00","0.00","133.00","2567","927"
"Leather Moccasins for Men","189","","Mocassins en Cuir pour Hommes : Pointure - 6","1","55.00","0.00","127.00","7177","927"
"Leather Moccasins for Men","189","","Mocassins en Cuir pour Hommes : Pointure - 7","1","55.00","0.00","127.00","7178","927"
"Leather Moccasins for Men","189","","Mocassins en Cuir pour Hommes : Pointure - 8","0","55.00","0.00","127.00","7179","927"
"Leather Moccasins for Men","189","","Mocassins en Cuir pour Hommes : Pointure - 9","0","55.00","0.00","127.00","7180","927"
"Leather Moccasins for Men","189","","Mocassins en Cuir pour Hommes : Pointure - 10","1","55.00","0.00","127.00","7181","927"
"Suede Moccasins for Men","142","","Mocassins en suède pour Hommes : Pointure - 12","2","33.00","0.00","76.00","2508","1020"
"Suede Moccasins for Men","142","","Mocassins en suède pour Hommes : Pointure - 8","0","33.00","0.00","76.00","2512","1020"
"Suede Moccasins for Men","142","","Mocassins en suède pour Hommes : Pointure - 6","0","33.00","0.00","76.00","7186","1020"
"Suede Moccasins for Men","142","","Mocassins en suède pour Hommes : Pointure - 7","0","33.00","0.00","76.00","7187","1020"
"Suede Moccasins for Men","142","","Mocassins en suède pour Hommes : Pointure - 13","0","33.00","0.00","76.00","7188","1020"
"Suede Moccasins for Men","142","","Mocassins en suède pour Hommes : Pointure - 14","0","33.00","0.00","76.00","7189","1020"
"Suede Moccasins for Men","142","","Mocassins en suède pour Hommes : Pointure - 15","0","33.00","0.00","76.00","7190","1020"
"Suede Moccasins for Men","142","","Mocassins en suède pour Hommes : Pointure - 9","0","33.00","0.00","76.00","7191","1020"
"Suede Moccasins for Men","142","","Mocassins en suède pour Hommes : Pointure - 10","0","33.00","0.00","76.00","7192","1020"
"Suede Moccasins for Men","142","","Mocassins en suède pour Hommes : Pointure - 11","0","33.00","0.00","76.00","7193","1020"
"Leather Moccasins for Men","B489","","Mocassins en Cuir pour Hommes : Pointure - 7","3","58.50","0.00","135.00","2744","1044"
"Leather Moccasins for Men","B489","","Mocassins en Cuir pour Hommes : Pointure - 8","2","58.50","0.00","135.00","2745","1044"
"Leather Moccasins for Men","B489","B489","Mocassins en Cuir pour Hommes : Pointure - 10","2","58.50","0.00","135.00","2746","1044"
"Leather Moccasins for Men","B489","","Mocassins en Cuir pour Hommes : Pointure - 12","6","58.50","0.00","135.00","2748","1044"
"Leather Moccasins for Men","B489","","Mocassins en Cuir pour Hommes : Pointure - 13","4","58.50","0.00","135.00","2749","1044"
"Leather Moccasins for Men","B489","","Mocassins en Cuir pour Hommes : Pointure - 9","2","58.50","0.00","135.00","5997","1044"
"Leather Moccasins for Men","B489","","Mocassins en Cuir pour Hommes : Pointure - 6","0","58.50","0.00","135.00","7216","1044"
"Leather Moccasins for Men","B489","","Mocassins en Cuir pour Hommes : Pointure - 14","6","58.50","0.00","135.00","7217","1044"
"Leather Moccasins for Men","B489","","Mocassins en Cuir pour Hommes : Pointure - 15","0","58.50","0.00","135.00","7218","1044"
"Leather Moccasins for Men","B489","","Mocassins en Cuir pour Hommes : Pointure - 11","0","58.50","0.00","135.00","7219","1044"
"Suede Moccasins for Men","204","","Mocassins en Suède pour Hommes : Pointure - 15","0","56.00","0.00","129.00","2837","1056"
"Suede Moccasins for Men","204","","Mocassins en Suède pour Hommes : Pointure - 14","0","56.00","0.00","129.00","2838","1056"
"Suede Moccasins for Men","204","","Mocassins en Suède pour Hommes : Pointure - 13","2","56.00","0.00","129.00","2839","1056"
"Suede Moccasins for Men","204","","Mocassins en Suède pour Hommes : Pointure - 12","2","56.00","0.00","129.00","2840","1056"
"Suede Moccasins for Men","204","","Mocassins en Suède pour Hommes : Pointure - 11","0","56.00","0.00","129.00","2841","1056"
"Suede Moccasins for Men","204","","Mocassins en Suède pour Hommes : Pointure - 10","0","56.00","0.00","129.00","2842","1056"
"Suede Moccasins for Men","204","","Mocassins en Suède pour Hommes : Pointure - 9","0","56.00","0.00","129.00","2843","1056"
"Suede Moccasins for Men","204","","Mocassins en Suède pour Hommes : Pointure - 8","2","56.00","0.00","129.00","2844","1056"
"Suede Moccasins for Men","204","","Mocassins en Suède pour Hommes : Pointure - 7","2","56.00","0.00","129.00","2845","1056"
"Suede Moccasins for Men","204","","Mocassins en Suède pour Hommes : Pointure - 6","0","56.00","0.00","129.00","2846","1056"
"Leather Moccasins for Men","6019-0300-41BR-9133BR","","Mocassins en Cuir pour Hommes : Pointure - 6","0","0.00","0.00","174.00","3663","1101"
