"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Combinations wholesale price","Combinations Impact on unit price","Product Combinations ID","Product ID"
"Floral Bracelet","3826","","Bracelet Floral","1","100.00","230.00","0.00","0.00","0.00","","9497"
"Turquoise Bracelet","3829","","Bracelet Turquoise","0","16.50","395.00","0.00","0.00","0.00","","9498"
"Horse Bracelet","3831","","Bracelet Cheval","1","165.00","380.00","0.00","0.00","0.00","","9499"
"Turquoise Bracelet","3833","","Bracelet Turquoise","1","150.00","345.00","0.00","0.00","0.00","","9500"
"Turquoise Bracelet","3834","","Bracelet Turquoise","0","16.50","350.00","0.00","0.00","0.00","","9501"
"Malachite Bracelet","3836","","Bracelet Malachite","0","16.50","235.00","0.00","0.00","0.00","","9502"
"Turquoise Bracelet","3838","","Bracelet Turquoise","1","125.00","295.00","0.00","0.00","0.00","","9503"
"Turquoise Bracelet","3840","","Bracelet Turquoise","0","16.50","145.00","0.00","0.00","0.00","","9504"
"Turquoise Bracelet","3842","","Bracelet Turquoise","0","16.50","160.00","0.00","0.00","0.00","","9505"
"Turquoise Bracelet","3844","","Bracelet Turquoise","0","65.00","150.00","0.00","0.00","0.00","","9506"
"Turquoise Bracelet","3846","","Bracelet Turquoise","0","16.50","115.00","0.00","0.00","0.00","","9507"
"Turquoise Bracelet","3849","","Bracelet Turquoise","0","16.50","115.00","0.00","0.00","0.00","","9508"
"Bear Paw Bracelet","3850","","Bracelet Pattes d'Ours","2","76.00","175.00","0.00","0.00","0.00","","9509"
"Turquoise Bracelet","3848","","Bracelet Turquoise","0","56.00","130.00","0.00","0.00","0.00","","9510"
"Lapis Lazuli Bracelet","3852","","Bracelet Lapis Lazuli","0","16.50","160.00","0.00","0.00","0.00","","9511"
"Lapis Lazuli Bracelet","3853","","Bracelet Lapis Lazuli","0","16.50","175.00","0.00","0.00","0.00","","9512"
"Onyx Bracelet","3855","","Bracelet Onyx","0","16.50","160.00","0.00","0.00","0.00","","9513"
"Mohave Bracelet","3856","","Bracelet Mohave","0","16.50","190.00","0.00","0.00","0.00","","9514"
"Mohave Bracelet","3857","","Bracelet Mohave","1","255.00","595.00","0.00","0.00","0.00","","9515"
"Larimar Bracelet","3861","","Bracelet Larimar","0","165.00","380.00","0.00","0.00","0.00","","9545"
"Turquoise Bracelet","3863","","Bracelet Turquoise","0","16.50","390.00","0.00","0.00","0.00","","9546"
"Feather Bracelet","3864","","Bracelet Plumes","1","140.00","325.00","0.00","0.00","0.00","","9547"
"Sungod Bracelet","3866","","Bracelet Dieu du Soleil","0","16.50","145.00","0.00","0.00","0.00","","9549"
"Sterling Silver Bracelet","3867","","Bracelet en Argent Sterling","1","180.00","425.00","0.00","0.00","0.00","","9550"
"Wolf Bracelet","3868","","Bracelet Loup","0","95.00","225.00","0.00","0.00","0.00","","9551"
"Sterling Silver Bracelet","3870","","Bracelet en Argent Sterling","0","165.00","495.00","0.00","0.00","0.00","","9553"
"Sterling Silver Bracelet","3874","","Bracelet en Argent Sterling","0","16.50","205.00","0.00","0.00","0.00","","9555"
"Sterling Silver Bracelet","3879","","Bracelet en Argent Sterling","0","16.50","260.00","0.00","0.00","0.00","","9557"
"Sterling Silver Bracelet","3880","","Bracelet en Argent Sterling","0","16.50","95.00","0.00","0.00","0.00","","9558"
"Floral Bracelet","3881","","Bracelet Floral","0","16.50","295.00","0.00","0.00","0.00","","9559"
"Turquoise Bracelet","3882","","Bracelet Turquoise","1","335.00","780.00","0.00","0.00","0.00","","9560"
"Turquoise Bracelet","3883","","Bracelet Turquoise","1","215.00","500.00","0.00","0.00","0.00","","9562"
"Turquoise Bracelet","3885","","Bracelet Turquoise","1","215.00","500.00","0.00","0.00","0.00","","9563"
"Larimar Bracelet","3893","","Bracelet Larimar","1","130.00","300.00","0.00","0.00","0.00","","9564"
"Turquoise Bracelet","3899","","Bracelet Turquoise","1","55.00","130.00","0.00","0.00","0.00","","9565"
"Lapis Lazuli Bracelet","3900","","Bracelet Lapis Lazuli","0","55.00","130.00","0.00","0.00","0.00","","9566"
"Turquoise Bracelet","3901","","Bracelet Turquoise","0","16.50","130.00","0.00","0.00","0.00","","9567"
"Bear Claw Bracelet","3902","","Bracelet Griffe d'Ours","1","58.00","135.00","0.00","0.00","0.00","","9568"
"Coral Bracelet","3905","3905","Bracelet Corail : Bijoux - Diamètre 5.5 cm x 4 cm","0","16.50","0.00","115.00","0.00","0.00","8584","9569"
"Coral Bracelet","3905","3907","Bracelet Corail : Bijoux - Diamètre 5.6 cm x 4.3 cm","0","16.50","0.00","115.00","0.00","0.00","8585","9569"
"Zuni Bracelet","3910","","Bracelet Zuni","0","16.50","125.00","0.00","0.00","0.00","","9572"
"Zuni Bracelet","3911","","Bracelet Zuni","0","16.50","215.00","0.00","0.00","0.00","","9573"
"Opalite Bracelet","3913","","Bracelet Opalite","0","16.50","125.00","0.00","0.00","0.00","","9574"
"Bear Paw Bracelet","3918","","Bracelet Patte d'Ours","0","16.50","125.00","0.00","0.00","0.00","","9575"
"Bear Paw Bracelet","3920","","Bracelet Patte d'Ours","0","50.00","115.00","0.00","0.00","0.00","","9684"
"Bear Paw Bracelet","3922","","Bracelet Patte d'Ours","4","16.50","175.00","0.00","0.00","0.00","","9685"
"Bear Paw Bracelet","3923","","Bracelet Patte d'Ours","2","16.50","175.00","0.00","0.00","0.00","","9686"
"Bear Paw Bracelet","3924","","Bracelet Patte d'Ours","0","16.50","125.00","0.00","0.00","0.00","","9687"
"Bear Bracelet","3925","","Bracelet Ours","0","125.00","295.00","0.00","0.00","0.00","","9688"
"Bear Bracelet","3926","","Bracelet Ours","0","16.50","295.00","0.00","0.00","0.00","","9689"
"Buffalo Bracelet","3929","","Bracelet Bison","0","16.50","240.00","0.00","0.00","0.00","","9691"
"Child's Bracelet","3932","","Bracelet pour Enfant","1","15.00","35.00","0.00","0.00","0.00","","9692"
"Child's Bracelet","3933","","Bracelet pour Enfant","1","26.00","60.00","0.00","0.00","0.00","","9693"
"Child's Bracelet","3934","","Bracelet pour Enfant","0","16.50","35.00","0.00","0.00","0.00","","9694"
"Child's Bracelet","3935","","Bracelet pour Enfant","0","16.50","35.00","0.00","0.00","0.00","","9695"
"Child's Bracelet","3936","","Bracelet pour Enfant","1","15.00","35.00","0.00","0.00","0.00","","9696"
"Child's Bracelet","3937","","Bracelet pour Enfant","1","15.00","35.00","0.00","0.00","0.00","","9697"
"Child's Bracelet","3940","","Bracelet pour Enfant","1","26.00","60.00","0.00","0.00","0.00","","9698"
"Child's Bracelet","3941","","Bracelet pour Enfant","1","26.00","60.00","0.00","0.00","0.00","","9699"
"Beaded Child's Bracelet","3943","","Bracelet pour Enfant Perlé","0","16.50","25.00","0.00","0.00","0.00","","9700"
"Beaded Child's Bracelet","3944","","Bracelet pour Enfant Perlé","0","16.50","25.00","0.00","0.00","0.00","","9701"
"Beaded Child's Bracelet","3945","","Bracelet pour Enfant Perlé","0","16.50","25.00","0.00","0.00","0.00","","9702"
"Beaded Child's Bracelet","3946","","Bracelet pour Enfant Perlé","0","16.50","25.00","0.00","0.00","0.00","","9703"
"Buffalo Turquoise Bracelet","3948","","Bracelet Turquoise Buffalo","0","16.50","275.00","0.00","0.00","0.00","","9704"
"Floral Bracelet","3949","","Bracelet Floral","0","16.50","325.00","0.00","0.00","0.00","","9705"
"Turquoise Bracelet","3950","","Bracelet Turquoise","0","16.50","625.00","0.00","0.00","0.00","","9706"
"Oval Bracelet","3952","","Bracelet Ovale","1","150.00","355.00","0.00","0.00","0.00","","9707"
"Bear Claw Bracelet","3953","","Bracelet Griffe d'Ours","0","16.50","395.00","0.00","0.00","0.00","","9708"
"Eagle Bracelet","3954","","Bracelet Aigle","1","255.00","595.00","0.00","0.00","0.00","","9709"
"Bear Paw Bracelet","3955","","Bracelet Pattes d'Ours","0","16.50","335.00","0.00","0.00","0.00","","9710"
"Turquoise Bracelet","3956","","Bracelet Turquoise","0","16.50","300.00","0.00","0.00","0.00","","9711"
"Liquid Silver Bracelet 10 Strands","LS1007","","Bracelet en Argent Liquid 10 Brins","1","37.14","95.00","0.00","0.00","0.00","","12682"
"Liquid Silver Bracelet 20 Strands","LS2007","","Bracelet en Argent Liquid 20 Brins","1","58.94","149.00","0.00","0.00","0.00","","12683"
"Birthstone Coil Bracelet","WR","WR1","Bracelet Spirale avec Pierres de Naissance : Bijoux - Janvier","0","5.75","13.95","0.00","0.00","0.00","12359","16233"
"Birthstone Coil Bracelet","WR","WR2","Bracelet Spirale avec Pierres de Naissance : Bijoux - Février","0","5.75","13.95","0.00","0.00","0.00","12360","16233"
"Birthstone Coil Bracelet","WR","WR3","Bracelet Spirale avec Pierres de Naissance : Bijoux - Mars","0","5.75","13.95","0.00","0.00","0.00","12361","16233"
"Birthstone Coil Bracelet","WR","WR4","Bracelet Spirale avec Pierres de Naissance : Bijoux - Avril","0","5.75","13.95","0.00","0.00","0.00","12362","16233"
"Birthstone Coil Bracelet","WR","WR5","Bracelet Spirale avec Pierres de Naissance : Bijoux - Mai","0","5.75","13.95","0.00","0.00","0.00","12363","16233"
