"Reference code","Product ID","Product name","Product Combinations ID","Quantity","Final price (pre-tax)","Pre-tax wholesale price"
"A08011-UAC0301NC0HA","876","Reuben Tote Bag ""Whisper""","","4","49.00","0.00"
"A16059-UAC0301NC0IA","877","Reuben Tote Bag ""Wisdom Seekers""","","4","49.00","0.00"
"A10004-UAC0301NC01A","958","Reuben Tote Bag ""Merging Earth and Sky""","","5","49.00","0.00"
"A17064-WBL0601NCO3A","977","Kimono ""M'Otter Love""","2368","3","129.00","0.00"
"W12018-WBL0601NCODA","978","Kimono ""Early Evening Flowing into Fall""","2369","5","129.00","0.00"
"W18053-UAC0301NCOJB","1002","Reuben Tote Bag ""Northern Masters""","","2","49.00","0.00"
"A13041-UAC0301NCOEB","1004","Reuben Tote Bag ""Lapinx""","","3","49.00","0.00"
"A16058-WBL0601NCO4A","1059","Kimono ""Silent Seekers""","2867","8","129.00","0.00"
"Sweetgrass","1090","Sweetgrass","9208","0","12.95","0.00"
"Sweetgrass","1090","Sweetgrass","9209","13","15.95","0.00"
"A10004-UAC0701NC01","2773","""Merging Earth and Sky"" Mask","6743","1","18.00","0.00"
"A10004-UAC0701NC01","2773","""Merging Earth and Sky"" Mask","6744","5","18.00","0.00"
"A10004-UAC0701NC01","2773","""Merging Earth and Sky"" Mask","6745","9","18.00","0.00"
"A10004-UAC0701NC01","2773","""Merging Earth and Sky"" Mask","6746","14","18.00","0.00"
"A10004-UAC0701NC01","2773","""Merging Earth and Sky"" Mask","6747","9","18.00","0.00"
"A17063-UAC0701NC02","2791","""Depth"" Mask","6748","1","18.00","0.00"
"A17063-UAC0701NC02","2791","""Depth"" Mask","6749","2","18.00","0.00"
"A17063-UAC0701NC02","2791","""Depth"" Mask","6750","1","18.00","0.00"
"A17063-UAC0701NC02","2791","""Depth"" Mask","6751","11","18.00","0.00"
"A17063-UAC0701NC02","2791","""Depth"" Mask","6752","9","18.00","0.00"
"A17064-UAC0701NC03","2792","""M'Otter Love"" Mask","6753","2","18.00","0.00"
"A17064-UAC0701NC03","2792","""M'Otter Love"" Mask","6754","0","18.00","0.00"
"A17064-UAC0701NC03","2792","""M'Otter Love"" Mask","6755","15","18.00","0.00"
"A17064-UAC0701NC03","2792","""M'Otter Love"" Mask","6756","12","18.00","0.00"
"A17064-UAC0701NC03","2792","""M'Otter Love"" Mask","6757","7","18.00","0.00"
"A16058-UAC0701NC04","2793","""Silent Seekers"" Mask","6758","0","18.00","0.00"
"A16058-UAC0701NC04","2793","""Silent Seekers"" Mask","6759","2","18.00","0.00"
"A16058-UAC0701NC04","2793","""Silent Seekers"" Mask","6760","12","18.00","0.00"
"A16058-UAC0701NC04","2793","""Silent Seekers"" Mask","6761","7","18.00","0.00"
"A16058-UAC0701NC04","2793","""Silent Seekers"" Mask","6762","23","18.00","0.00"
