"Product name","Reference code","Combinations Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations wholesale price","Product Combinations ID","Product ID","Specific Price ID_1"
"Zip Pouches","SKU: 52-52-ziptissus","","3","6.75","16.00","0.00","","227",""
"Connie Dickens Raven Passport Bag","SKU: 52-52-411","","2","16.75","40.00","0.00","","358",""
"Connie Dickens Raven Zip Pouch","SKU: 52-52-410","","3","8.25","20.00","0.00","","359",""
"Kelly Robinson Eagle Passport Purse","SKU: 52-52-861","","3","16.75","40.00","0.00","","367",""
"Kelly Robinson Eagle Passport Purse","SKU: 52-52-851","","3","16.75","40.00","0.00","","368",""
"Kelly Robinson Eagle Zip Pouch","SKU: 52-52-860","","3","8.25","20.00","0.00","","371",""
"Kelly Robinson Eagle Zip Pouch","SKU: 52-52-850","","3","8.25","20.00","0.00","","372",""
"Mini Coin Purse Bear Box","SKU: 54-54-395","","0","14.50","32.95","0.00","102","502",""
"Mini Coin Purse Bear Box","SKU: 54-54-395","","2","14.50","32.95","0.00","103","502",""
"Mini Coin Purse Bear Box","SKU: 54-54-395","","2","14.50","32.95","0.00","104","502",""
"Mini Coin Purse Bear Box","SKU: 54-54-395","","2","14.50","32.95","0.00","105","502",""
"Mini Coin Purse Bear Box","SKU: 54-54-395","","0","14.50","32.95","0.00","2069","502",""
"Mini Coin Purse Bear Box","SKU: 54-54-395","","3","14.50","32.95","0.00","3952","502",""
"Passport Pouch Bear Box","SKU: 54-54-208","Noir","0","31.00","72.00","0.00","4097","509",""
"Passport Pouch Bear Box","SKU: 54-54-208","Rouge","1","31.00","72.00","0.00","4098","509",""
"Passport Pouch Bear Box","SKU: 54-54-208","","0","31.00","72.00","0.00","4099","509",""
"Passport Pouch Bear Box","SKU: 54-54-208","","0","31.00","72.00","0.00","4100","509",""
"Passport Pouch Bear Box","SKU: 54-54-208","","1","31.00","72.00","0.00","4102","509",""
"Passport Pouch Bear Box","SKU: 54-54-208","","0","31.00","72.00","0.00","4121","509",""
"Passport Pouch Bear Box","SKU: 54-54-208","","1","31.00","72.00","0.00","7834","509",""
"Passport Pouch Bear Box","SKU: 54-54-208","Jaune","1","31.00","72.00","0.00","9129","509",""
"Embossed Solo Bag Bear Box","SKU: 54-54-203","54-200","0","52.00","120.00","0.00","8523","518",""
"Embossed Solo Bag Bear Box","SKU: 54-54-203","","0","52.00","120.00","0.00","8524","518",""
"Embossed Solo Bag Bear Box","SKU: 54-54-203","54-241","0","52.00","120.00","0.00","8525","518",""
"Embossed Solo Bag Bear Box","SKU: 54-54-203","","1","52.00","120.00","0.00","8526","518",""
"Embossed Solo Bag Bear Box","SKU: 54-54-203","","0","52.00","120.00","0.00","8527","518",""
"Embossed Solo Bag Bear Box","SKU: 54-54-203","54-201","0","52.00","120.00","0.00","8528","518",""
"Embossed Solo Bag Bear Box","SKU: 54-54-203","54-202","1","52.00","120.00","0.00","8529","518",""
"Embossed Solo Bag Bear Box","SKU: 54-54-203","","1","52.00","120.00","0.00","8530","518",""
"Embossed Solo Bag Bear Box","SKU: 54-54-203","","0","52.00","120.00","0.00","8531","518",""
"Canvas - New Day","A08013-1","","1","0.00","0.00","0.00","1561","737",""
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1562","737",""
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1563","737",""
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1564","737",""
"Canvas - Patience","A08045-1","","1","0.00","0.00","0.00","1837","738",""
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1838","738",""
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1839","738",""
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1840","738",""
"Crossbody City Bag, Bear Box","SKU-54-54-541","","0","80.00","185.00","0.00","4020","1132",""
"Crossbody City Bag, Bear Box","SKU-54-54-541","Rouge","1","80.00","185.00","0.00","4021","1132",""
"Crossbody City Bag, Bear Box","SKU-54-54-541","","2","80.00","185.00","0.00","4022","1132",""
"Wristlet, Raven","SKU: 54-54-350","","0","24.00","56.00","0.00","4058","1142",""
"Wristlet, Raven","SKU: 54-54-350","","0","24.00","56.00","0.00","4059","1142",""
"Wristlet, Raven","SKU: 54-54-350","","0","24.00","56.00","0.00","4060","1142",""
"Wristlet, Raven","SKU: 54-54-350","","2","24.00","56.00","0.00","4061","1142",""
"Wristlet, Raven","SKU: 54-54-350","","0","24.00","56.00","0.00","4067","1142",""
