"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Combinations wholesale price","Combinations Impact on unit price","Product Combinations ID","Product ID"
"Otter","SKU: 00-03-642","00-03-642","Loutre : Taille - L","2","0.00","0.00","32.00","32.00","0.00","8552","9339"
"Otter","SKU: 00-03-642","SKU: 00-03-614","Loutre : Taille - M","0","0.00","0.00","19.95","8.00","0.00","8553","9339"
"Loon","SKU: 00-03-628","SKU: 00-03-626","Huard : Taille - P","2","0.00","0.00","23.00","10.00","0.00","8566","9347"
"Loon","SKU: 00-03-628","SKU: 00-03-627","Huard : Taille - M","2","0.00","0.00","36.00","15.00","0.00","8567","9347"
"Loon","SKU: 00-03-628","","Huard : Taille - L","1","0.00","0.00","72.00","31.00","0.00","8568","9347"
"Inuksuk","SKU: 00-04-287","SKU: 00-04-286","Taille - M","5","0.00","0.00","53.00","23.00","0.00","8569","9348"
"Inuksuk","SKU: 00-04-287","","Taille - L","2","0.00","0.00","57.00","24.00","0.00","8570","9348"
"Inuksuk","SKU: 00-04-287","SKU: 00-04-285","Taille - P","0","0.00","0.00","47.00","20.00","0.00","8571","9348"
"Inukshuk","Inukshuk","INUK100","Taille - 2.5""","0","0.00","0.00","27.00","13.00","0.00","10499","14458"
"Inukshuk","Inukshuk","INUK110","Taille - 3""","0","0.00","0.00","36.00","18.00","0.00","10500","14458"
"Inukshuk","Inukshuk","INUK120","Taille - 4""","1","0.00","0.00","54.00","27.00","0.00","10501","14458"
"Inukshuk","Inukshuk","INUK130","Taille - 5.5""","1","0.00","0.00","71.00","35.00","0.00","10502","14458"
"Inukshuk","Inukshuk","INUK140","Taille - 7""","0","0.00","0.00","94.00","47.00","0.00","10503","14458"
"Inukshuk","Inukshuk","INUK150","Taille - 9""","0","0.00","0.00","130.00","65.00","0.00","10504","14458"
"Inukshuk","Inukshuk","INUK170","Taille - 12""","1","0.00","0.00","220.00","110.00","0.00","10505","14458"
"Inukshuk","Inukshuk","INUK180","Taille - 14""","1","0.00","0.00","275.00","137.00","0.00","10506","14458"
"Marble Horse","HORSE","","Cheval en Marbre","2","80.00","160.00","0.00","0.00","0.00","","16441"
"Brooch Arnaktauyok","BROOCH","","Broche Arnaktauyok","7","40.00","80.00","0.00","0.00","0.00","","16449"
