"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Product Combinations ID","Product ID"
"Ladies Mukluks","9816-0408-47-980447MO","","Mukluks pour Dames : Pointure - 8","1","198.00","422.00","0.00","3975","1111"
"Ladies Mukluks","9816-0408-47-980447MO","","Mukluks pour Dames : Pointure - 4","0","198.00","422.00","0.00","7577","1111"
"Ladies Mukluks","9816-0408-47-980447MO","","Mukluks pour Dames : Pointure - 5","0","198.00","422.00","0.00","7578","1111"
"Ladies Mukluks","9816-0408-47-980447MO","","Mukluks pour Dames : Pointure - 6","0","198.00","422.00","0.00","7579","1111"
"Ladies Mukluks","9816-0408-47-980447MO","","Mukluks pour Dames : Pointure - 7","0","198.00","422.00","0.00","7580","1111"
"Ladies Mukluks","9816-0408-47-980447MO","","Mukluks pour Dames : Pointure - 9","1","198.00","422.00","0.00","7581","1111"
"Ladies Mukluks","9816-0408-47-980447MO","","Mukluks pour Dames : Pointure - 10","0","198.00","422.00","0.00","7582","1111"
"Ladies Mukluks","9816-0408-47-980447MO","","Mukluks pour Dames : Pointure - 11","0","198.00","422.00","0.00","7583","1111"
"Ladies Mukluks","9816-0408-47-980447MO","","Mukluks pour Dames : Pointure - 12","0","198.00","422.00","0.00","7584","1111"
"Ladies Mukluks","9026-0468-85-1964585RMADKT","","Mukluks pour Dames : Pointure - 4","0","124.20","227.00","0.00","3998","1114"
"Ladies Mukluks","9026-0468-85-1964585RMADKT","","Mukluks pour Dames : Pointure - 5","0","124.20","227.00","0.00","3999","1114"
"Ladies Mukluks","9026-0468-85-1964585RMADKT","","Mukluks pour Dames : Pointure - 6","0","124.20","227.00","0.00","4000","1114"
"Ladies Mukluks","9026-0468-85-1964585RMADKT","","Mukluks pour Dames : Pointure - 7","0","124.20","227.00","0.00","4001","1114"
"Ladies Mukluks","9026-0468-85-1964585RMADKT","","Mukluks pour Dames : Pointure - 8","1","124.20","227.00","0.00","4002","1114"
"Ladies Mukluks","9026-0468-85-1964585RMADKT","","Mukluks pour Dames : Pointure - 9","0","124.20","227.00","0.00","4003","1114"
"Ladies Mukluks","9026-0468-85-1964585RMADKT","","Mukluks pour Dames : Pointure - 10","1","124.20","227.00","0.00","4004","1114"
"Ladies Mukluks","9026-0468-85-1964585RMADKT","","Mukluks pour Dames : Pointure - 11","0","124.20","227.00","0.00","4005","1114"
"Ladies Mukluks","9026-0468-85-1964585RMADKT","","Mukluks pour Dames : Pointure - 12","0","124.20","227.00","0.00","4006","1114"
"Ladies Mukluks","9816-0408-86-981486BL","","Mukluks pour Dames : Pointure - 7","0","203.04","467.00","0.00","6579","1663"
"Ladies Mukluks","9816-0408-86-981486BL","","Mukluks pour Dames : Pointure - 9","0","203.04","467.00","0.00","6581","1663"
"Ladies Mukluks","9816-0408-86-981486BL","","Mukluks pour Dames : Pointure - 10","0","203.04","467.00","0.00","6582","1663"
"Ladies Mukluks","9816-0408-86-981486BL","","Mukluks pour Dames : Pointure - 4","0","203.04","467.00","0.00","7637","1663"
"Ladies Mukluks","9816-0408-86-981486BL","","Mukluks pour Dames : Pointure - 5","0","203.04","467.00","0.00","7638","1663"
"Ladies Mukluks","9816-0408-86-981486BL","","Mukluks pour Dames : Pointure - 6","2","203.04","467.00","0.00","7639","1663"
"Ladies Mukluks","9816-0408-86-981486BL","","Mukluks pour Dames : Pointure - 8","0","203.04","467.00","0.00","7640","1663"
"Ladies Mukluks","9816-0408-86-981486BL","","Mukluks pour Dames : Pointure - 11","0","203.04","467.00","0.00","7641","1663"
"Ladies Mukluks","9816-0408-86-981486BL","","Mukluks pour Dames : Pointure - 12","0","203.04","467.00","0.00","7642","1663"
"Ladies Mukluks","9013-0020-13-1950980CHO","","Mukluks pour Dames : Pointure - 7","0","83.29","192.00","0.00","7915","4569"
"Ladies Mukluks","9013-0020-13-1950980CHO","","Mukluks pour Dames : Pointure - 8","2","83.29","192.00","0.00","7916","4569"
"Ladies Mukluks","9013-0020-13-1950980CHO","","Mukluks pour Dames : Pointure - 9","1","83.29","192.00","0.00","7917","4569"
