"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)"
"SKU: 54-54-116","485","Moccasins Bear Box","1087","Shoes Size - 18 months","0","80.00"
"SKU: 54-54-116","485","Moccasins Bear Box","1088","Shoes Size - 24 months","0","80.00"
"SKU: 54-54-116","485","Moccasins Bear Box","1089","Shoes Size - 36 months","4","80.00"
"6080-0408-41PU-600PU","542","Ladies Suede Slippers","584","Shoes Size - 10","0","104.95"
"6080-0408-41PU-600PU","542","Ladies Suede Slippers","7082","Shoes Size - 4","0","104.95"
"6080-0408-41PU-600PU","542","Ladies Suede Slippers","7083","Shoes Size - 5","1","104.95"
"6080-0408-41PU-600PU","542","Ladies Suede Slippers","7084","Shoes Size - 6","0","104.95"
"6080-0408-41PU-600PU","542","Ladies Suede Slippers","7085","Shoes Size - 7","2","104.95"
"6080-0408-41PU-600PU","542","Ladies Suede Slippers","7086","Shoes Size - 8","0","104.95"
"6080-0408-41PU-600PU","542","Ladies Suede Slippers","7087","Shoes Size - 9","0","104.95"
"6080-0408-41PU-600PU","542","Ladies Suede Slippers","7088","Shoes Size - 11","1","104.95"
"6080-0408-41PU-600PU","542","Ladies Suede Slippers","7089","Shoes Size - 12","0","104.95"
"6080-0408-41RB-600RB","544","Ladies Suede Slippers","597","Shoes Size - 5","0","104.95"
"6080-0408-41RB-600RB","544","Ladies Suede Slippers","598","Shoes Size - 6","0","104.95"
"6080-0408-41RB-600RB","544","Ladies Suede Slippers","599","Shoes Size - 7","0","104.95"
"6080-0408-41RB-600RB","544","Ladies Suede Slippers","600","Shoes Size - 8","1","104.95"
"6080-0408-41RB-600RB","544","Ladies Suede Slippers","601","Shoes Size - 9","2","104.95"
"6080-0408-41RB-600RB","544","Ladies Suede Slippers","602","Shoes Size - 10","0","104.95"
"6080-0408-41RB-600RB","544","Ladies Suede Slippers","603","Shoes Size - 11","1","104.95"
"6080-0408-41RB-600RB","544","Ladies Suede Slippers","604","Shoes Size - 12","0","104.95"
"6080-0408-41RB-600RB","544","Ladies Suede Slippers","605","Shoes Size - 4","0","104.95"
"6080-0408-41IND-648","552","Ladies Suede Slippers","669","Shoes Size - 5","0","104.95"
"6080-0408-41IND-648","552","Ladies Suede Slippers","670","Shoes Size - 6","0","104.95"
"6080-0408-41IND-648","552","Ladies Suede Slippers","671","Shoes Size - 7","0","104.95"
"6080-0408-41IND-648","552","Ladies Suede Slippers","672","Shoes Size - 8","1","104.95"
"6080-0408-41IND-648","552","Ladies Suede Slippers","673","Shoes Size - 9","1","104.95"
"6080-0408-41IND-648","552","Ladies Suede Slippers","674","Shoes Size - 10","0","104.95"
"6080-0408-41IND-648","552","Ladies Suede Slippers","675","Shoes Size - 11","0","104.95"
"6080-0408-41IND-648","552","Ladies Suede Slippers","676","Shoes Size - 12","0","104.95"
"6080-0408-41IND-648","552","Ladies Suede Slippers","677","Shoes Size - 4","0","104.95"
"6080-0408-41FU-698","569","Ladies Suede Slippers","822","Shoes Size - 5","0","104.95"
"6080-0408-41FU-698","569","Ladies Suede Slippers","823","Shoes Size - 6","0","104.95"
"6080-0408-41FU-698","569","Ladies Suede Slippers","824","Shoes Size - 7","1","104.95"
"6080-0408-41FU-698","569","Ladies Suede Slippers","825","Shoes Size - 8","0","104.95"
"6080-0408-41FU-698","569","Ladies Suede Slippers","826","Shoes Size - 9","0","104.95"
"6080-0408-41FU-698","569","Ladies Suede Slippers","827","Shoes Size - 10","0","104.95"
"6080-0408-41FU-698","569","Ladies Suede Slippers","828","Shoes Size - 11","0","104.95"
"6080-0408-41FU-698","569","Ladies Suede Slippers","829","Shoes Size - 12","0","104.95"
"6080-0408-41FU-698","569","Ladies Suede Slippers","830","Shoes Size - 4","1","104.95"
"6080-0408-12BU-12600BU","581","Suede Slippers with sole","930","Shoes Size - 4","0","128.00"
"6080-0408-12BU-12600BU","581","Suede Slippers with sole","931","Shoes Size - 5","0","128.00"
"6080-0408-12BU-12600BU","581","Suede Slippers with sole","932","Shoes Size - 6","0","128.00"
"6080-0408-12BU-12600BU","581","Suede Slippers with sole","933","Shoes Size - 7","1","128.00"
"6080-0408-12BU-12600BU","581","Suede Slippers with sole","934","Shoes Size - 8","1","128.00"
"6080-0408-12BU-12600BU","581","Suede Slippers with sole","935","Shoes Size - 9","3","128.00"
"6080-0408-12BU-12600BU","581","Suede Slippers with sole","936","Shoes Size - 10","0","128.00"
"6080-0408-12BU-12600BU","581","Suede Slippers with sole","937","Shoes Size - 11","0","128.00"
"6080-0408-12BU-12600BU","581","Suede Slippers with sole","938","Shoes Size - 12","0","128.00"
"189","927","Leather Moccasins for Men","2127","Shoes Size - 13","1","103.00"
"189","927","Leather Moccasins for Men","2128","Shoes Size - 12","2","103.00"
"189","927","Leather Moccasins for Men","2129","Shoes Size - 11","0","103.00"
"189","927","Leather Moccasins for Men","2566","Shoes Size - 15","1","113.00"
"189","927","Leather Moccasins for Men","2567","Shoes Size - 14","1","113.00"
"189","927","Leather Moccasins for Men","7177","Shoes Size - 6","0","103.00"
"189","927","Leather Moccasins for Men","7178","Shoes Size - 7","1","103.00"
"189","927","Leather Moccasins for Men","7179","Shoes Size - 8","0","103.00"
"189","927","Leather Moccasins for Men","7180","Shoes Size - 9","1","103.00"
"189","927","Leather Moccasins for Men","7181","Shoes Size - 10","0","103.00"
"186","930","Leather Moccasins for Men","2153","Shoes Size - 12","1","103.00"
"186","930","Leather Moccasins for Men","2154","Shoes Size - 11","0","103.00"
"186","930","Leather Moccasins for Men","2155","Shoes Size - 10","1","103.00"
"186","930","Leather Moccasins for Men","2156","Shoes Size - 6","0","103.00"
"186","930","Leather Moccasins for Men","2159","Shoes Size - 9","1","103.00"
"186","930","Leather Moccasins for Men","2160","Shoes Size - 13","1","103.00"
"186","930","Leather Moccasins for Men","7182","Shoes Size - 7","0","103.00"
"186","930","Leather Moccasins for Men","7183","Shoes Size - 8","3","103.00"
"186","930","Leather Moccasins for Men","7184","Shoes Size - 14","0","113.00"
"186","930","Leather Moccasins for Men","7185","Shoes Size - 15","0","113.00"
"258","1029","Mousecassins for Babies","2618","Shoes Size - 2","0","42.00"
"258","1029","Mousecassins for Babies","2619","Shoes Size - 3","2","42.00"
"258","1029","Mousecassins for Babies","2620","Shoes Size - 4","3","42.00"
"258","1029","Mousecassins for Babies","2621","Shoes Size - 5","1","42.00"
"258","1029","Mousecassins for Babies","2622","Shoes Size - 6","4","42.00"
"258","1030","Mousecassins for Children","2628","Shoes Size - 7","4","44.50"
"258","1030","Mousecassins for Children","2629","Shoes Size - 8","4","44.50"
"258","1030","Mousecassins for Children","2630","Shoes Size - 9","4","44.50"
"258","1030","Mousecassins for Children","2631","Shoes Size - 10","6","44.50"
"404","1031","Suede Moccasins for Women","2633","Shoes Size - 5","3","135.00"
"404","1031","Suede Moccasins for Women","2635","Shoes Size - 7","2","135.00"
"404","1031","Suede Moccasins for Women","2637","Shoes Size - 9","3","135.00"
"404","1031","Suede Moccasins for Women","2638","Shoes Size - 10","1","135.00"
"404","1031","Suede Moccasins for Women","7196","Shoes Size - 4","2","135.00"
"404","1031","Suede Moccasins for Women","7197","Shoes Size - 6","1","135.00"
"404","1031","Suede Moccasins for Women","7198","Shoes Size - 8","4","135.00"
"402","1034","Suede Moccasins for Women","7041","Shoes Size - 6","1","61.00"
"402","1034","Suede Moccasins for Women","7042","Shoes Size - 7","2","61.00"
"402","1034","Suede Moccasins for Women","7043","Shoes Size - 8","0","61.00"
"402","1034","Suede Moccasins for Women","7044","Shoes Size - 9","0","61.00"
"402","1034","Suede Moccasins for Women","7045","Shoes Size - 10","1","61.00"
"402","1034","Suede Moccasins for Women","7199","Shoes Size - 4","0","61.00"
"402","1034","Suede Moccasins for Women","7200","Shoes Size - 5","2","61.00"
"402","1035","Suede Moccasins for Junior","2667","Shoes Size - 1","3","51.00"
"402","1035","Suede Moccasins for Junior","2668","Shoes Size - 2","1","51.00"
"402","1035","Suede Moccasins for Junior","2669","Shoes Size - 3","2","51.00"
"402","1035","Suede Moccasins for Junior","2670","Shoes Size - 11","2","51.00"
"402","1035","Suede Moccasins for Junior","2671","Shoes Size - 12","3","51.00"
"402","1035","Suede Moccasins for Junior","2672","Shoes Size - 13","2","51.00"
"402","1036","Suede Moccasins for Children","2679","Shoes Size - 7","1","49.00"
"402","1036","Suede Moccasins for Children","2680","Shoes Size - 8","2","49.00"
"402","1036","Suede Moccasins for Children","2681","Shoes Size - 9","1","49.00"
"402","1036","Suede Moccasins for Children","2682","Shoes Size - 10","3","49.00"
"402","1037","Suede Moccasins for Babies","2689","Shoes Size - 2","0","46.00"
"402","1037","Suede Moccasins for Babies","2690","Shoes Size - 3","1","46.00"
"402","1037","Suede Moccasins for Babies","2691","Shoes Size - 4","1","46.00"
"402","1037","Suede Moccasins for Babies","2692","Shoes Size - 5","2","46.00"
"402","1037","Suede Moccasins for Babies","2693","Shoes Size - 6","2","46.00"
"842","1038","Suede Moccasins for Women","2694","Shoes Size - 5","0","114.00"
"842","1038","Suede Moccasins for Women","2695","Shoes Size - 6","1","114.00"
"842","1038","Suede Moccasins for Women","2696","Shoes Size - 7","0","114.00"
"842","1038","Suede Moccasins for Women","2697","Shoes Size - 8","0","114.00"
"842","1038","Suede Moccasins for Women","2698","Shoes Size - 9","0","114.00"
"842","1038","Suede Moccasins for Women","2699","Shoes Size - 10","1","114.00"
"842","1038","Suede Moccasins for Women","2700","Shoes Size - 4","0","114.00"
"4890","1042","Leather Moccasins for Women","2722","Shoes Size - 6","0","120.00"
"4890","1042","Leather Moccasins for Women","2723","Shoes Size - 7","10","120.00"
"4890","1042","Leather Moccasins for Women","2724","Shoes Size - 8","10","120.00"
"4890","1042","Leather Moccasins for Women","2725","Shoes Size - 9","15","120.00"
"4890","1042","Leather Moccasins for Women","2726","Shoes Size - 4","7","120.00"
"4890","1042","Leather Moccasins for Women","2728","Shoes Size - 10","11","120.00"
"4890","1042","Leather Moccasins for Women","7210","Shoes Size - 5","7","120.00"
"B489","1044","Leather Moccasins for Men","2744","Shoes Size - 7","4","108.00"
"B489","1044","Leather Moccasins for Men","2745","Shoes Size - 8","5","108.00"
"B489","1044","Leather Moccasins for Men","2746","Shoes Size - 10","0","108.00"
"B489","1044","Leather Moccasins for Men","2748","Shoes Size - 12","6","108.00"
"B489","1044","Leather Moccasins for Men","2749","Shoes Size - 13","6","108.00"
"B489","1044","Leather Moccasins for Men","5997","Shoes Size - 9","0","108.00"
