"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Combinations wholesale price","Combinations Impact on unit price","Product Combinations ID","Product ID"
"Angel","Angel","","Ange","3","35.00","65.00","0.00","0.00","0.00","","13968"
"1 Sister","1 sister","","1 Soeur","1","45.00","65.00","0.00","0.00","0.00","","13969"
"2 Sisters","2 sisters","","2 Soeurs","1","50.00","82.00","0.00","0.00","0.00","","13970"
"3 Sisters","3 sisters","","3 Soeurs","2","70.00","115.00","0.00","0.00","0.00","","13972"
"4 Sisters","4 sisters","","4 Soeurs","2","90.00","145.00","0.00","0.00","0.00","","13974"
"4 Sisters MW","4 sisters MW","","4 Soeurs","0","90.00","145.00","0.00","0.00","0.00","","13975"
"Birds","Birds","","Oiseaux","0","25.00","42.00","0.00","0.00","0.00","","13976"
"Candle Bowls Wax (no lids)","CBNL","","Chandelles Cire (pas de couvert)","3","21.00","42.00","0.00","0.00","0.00","","13977"
"Plants Holders","PH","","Pots à Plantes","3","23.00","48.45","0.00","0.00","0.00","","13978"
"Candle Bowls Wax (with lids)","CBWL","","Chandelles Cire (avec couvert)","2","23.00","48.45","0.00","0.00","0.00","","13979"
"Candle Simmer Pots","SPC","","Chandeliers Diffuseur","4","30.00","48.45","0.00","0.00","0.00","","13980"
"Canoe Candle Small","SCC","","Canoes Chandelles Petits","2","30.00","48.45","0.00","0.00","0.00","","13981"
"Canoe Candle Big","CACB","","Gros Canoe Chandelle","2","50.00","90.00","0.00","0.00","0.00","","13982"
"Candle Medicine Wheel Small","CMW","","Chandelles Roue de Médecine Petite : Taille - 2""","2","0.00","0.00","25.00","12.50","0.00","11384","13983"
"Candle Medicine Wheel Small","CMW","","Chandelles Roue de Médecine Petite : Taille - 3""","1","0.00","0.00","30.00","15.00","0.00","11385","13983"
"Candle Medicine Wheel Small","CMW","","Chandelles Roue de Médecine Petite : Taille - 4""","0","0.00","0.00","40.00","20.00","0.00","11386","13983"
"Candle Mocassin","CM","","Chandelle Moccasin","0","23.00","48.45","0.00","0.00","0.00","","13984"
"Incense Feather","IF","","Plume Encens","4","30.00","50.00","0.00","0.00","0.00","","13985"
"Ornaments Small","OS","","Ornaments Petits","10","15.00","16.00","0.00","0.00","0.00","","13986"
"Ornaments Medium","OM","","Ornaments Moyen","4","15.00","22.00","0.00","0.00","0.00","","13987"
"Ornaments Big","OB","","Ornaments Gros","15","15.00","25.00","0.00","0.00","0.00","","13988"
"Bear","Bear","","Ours","2","15.00","25.00","0.00","0.00","0.00","","13989"
"Christmas Balls Small","CBS","","Boules de Noel Petites","1","20.00","42.00","0.00","0.00","0.00","","13990"
"Christmas Balls Big","CBB","","Boules de Noel Large","4","23.00","48.45","0.00","0.00","0.00","","13991"
"Vase","Vase","","Vase","0","20.00","32.00","0.00","0.00","0.00","","13992"
"Mother Earth","ME","","Terre Mère","2","50.00","82.00","0.00","0.00","0.00","","13993"
"Guardian from the Spirit World","GFSW","","Guardienne du Monde Spirituel","2","60.00","96.00","0.00","0.00","0.00","","13994"
"Every Child Matters Ornaments","ECMO","","Ornaments Chaque Enfant Compte : Taille - P","1","15.00","0.00","16.00","0.00","0.00","10320","13995"
"Every Child Matters Ornaments","ECMO","","Ornaments Chaque Enfant Compte : Taille - M","9","15.00","0.00","22.00","0.00","0.00","10321","13995"
"Every Child Matters Ornaments","ECMO","","Ornaments Chaque Enfant Compte : Taille - L","3","15.00","0.00","25.00","0.00","0.00","10322","13995"
"Turtle","TURTLE","","Tortue","1","30.00","55.00","0.00","0.00","0.00","","14620"
"Candle Bowls Hollow","CBH","","Chandelles Vide","1","24.00","48.45","0.00","0.00","0.00","","14621"
"Platters ""Medicine Wheel""","PMW","","Assiettes ""Roue de Médecine""","0","40.00","82.00","0.00","0.00","0.00","","14623"
