"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price"
"SF3","3378","Smudging Feather","","Smudging Feather","6","13.95","5.75","0.00"
"SF4","3381","Smudging Feather ""Nee Chee""","","Smudging Feather ""Nee Chee""","7","16.95","7.25","0.00"
"Palo Santo","3853","Palo Santo","","Palo Santo","1","16.00","6.95","0.00"
"EO","7898","Essential Oils","10170","Wellness - Sweetgrass","4","14.95","6.50","0.00"
"EO","7898","Essential Oils","10171","Wellness - Cedar","15","14.95","6.50","0.00"
"EO","7898","Essential Oils","10172","Wellness - Sage","4","14.95","6.50","0.00"
"EO","7898","Essential Oils","10173","Wellness - Eagle's Whisper","6","14.95","6.50","0.00"
"EO","7898","Essential Oils","10174","Wellness - Mother Nature","7","14.95","6.50","0.00"
"EO","7898","Essential Oils","10175","Wellness - Nature's Breath","4","14.95","6.50","0.00"
"EO","7898","Essential Oils","10176","Wellness - Ojibway Sun","5","14.95","6.50","0.00"
"EO","7898","Essential Oils","10177","Wellness - Sacred Land","6","14.95","6.50","0.00"
"EO","7898","Essential Oils","10178","Wellness - Sweet Dreams","5","14.95","6.50","0.00"
"EO","7898","Essential Oils","10179","Wellness - Power Blend","10","14.95","6.50","0.00"
"Palo Stick","9448","Palo Santo","","Palo Santo","10","2.70","1.25","0.00"
"ER","9996","Essential Oils Roll On","10180","Wellness - Eagle's Whisper","2","29.95","12.99","0.00"
"ER","9996","Essential Oils Roll On","10181","Wellness - Mother Nature","3","29.95","12.99","0.00"
"ER","9996","Essential Oils Roll On","10182","Wellness - Nature's Breath","4","29.95","12.99","0.00"
"ER","9996","Essential Oils Roll On","10183","Wellness - Ojibway Sun","2","29.95","12.99","0.00"
"ER","9996","Essential Oils Roll On","10184","Wellness - Sacred Land","3","29.95","12.99","0.00"
"ER","9996","Essential Oils Roll On","10185","Wellness - Sweet Dreams","2","29.95","12.99","0.00"
"ER","9996","Essential Oils Roll On","10263","Wellness - Sacred sweetgrass","2","29.95","12.99","0.00"
"ER","9996","Essential Oils Roll On","10264","Wellness - Cedar","2","29.95","12.99","0.00"
"ER","9996","Essential Oils Roll On","10265","Wellness - Sage","3","29.95","12.99","0.00"
"ER","9996","Essential Oils Roll On","10266","Wellness - Power Blend","1","29.95","12.99","0.00"
"ES","9997","Essential Oils Spray","10186","Wellness - Eagle's Whisper","1","29.95","12.99","0.00"
"ES","9997","Essential Oils Spray","10187","Wellness - Mother Nature","2","29.95","12.99","0.00"
"ES","9997","Essential Oils Spray","10188","Wellness - Nature's Breath","1","29.95","12.99","0.00"
"ES","9997","Essential Oils Spray","10189","Wellness - Ojibway Sun","3","29.95","12.99","0.00"
"ES","9997","Essential Oils Spray","10190","Wellness - Sacred Land","3","29.95","12.99","0.00"
"ES","9997","Essential Oils Spray","10191","Wellness - Sweet Dreams","3","29.95","12.99","0.00"
"ES","9997","Essential Oils Spray","10192","Wellness - Cedar","2","29.95","12.99","0.00"
"ES","9997","Essential Oils Spray","10193","Wellness - Sage","0","29.95","12.99","0.00"
"ES","9997","Essential Oils Spray","10194","Wellness - Sweetgrass","0","29.95","12.99","0.00"
"ES","9997","Essential Oils Spray","10195","Wellness - Power Blend","0","29.95","12.99","0.00"
"POWERSTONES","10282","Power Stones","9064","Stones - Quartz - Clarity","5","3.95","1.75","0.00"
"POWERSTONES","10282","Power Stones","9065","Stones - Quartz Rose - Empathy","5","3.95","1.75","0.00"
"POWERSTONES","10282","Power Stones","9066","Stones - Amethyst - Intuition","5","3.95","1.75","0.00"
"POWERSTONES","10282","Power Stones","9067","Stones - Hematite - Optimism","4","3.95","1.75","0.00"
"POWERSTONES","10282","Power Stones","9068","Stones - Citrine - Positivity","4","3.95","1.75","0.00"
"POWERSTONES","10282","Power Stones","9069","Stones - Tiger's Eye - Resilience","4","3.95","1.75","0.00"
"POWERSTONES","10282","Power Stones","9070","Stones - Red Gold Stone - Confidence","3","3.95","1.75","0.00"
"POWERSTONES","10282","Power Stones","9071","Stones - Green Adventurine - Healing","4","3.95","1.75","0.00"
