"Reference code","Product ID","Product name","Product Combinations ID","Quantity","Pre-tax retail price","Combinations (Attribute - value pair)"
"A01028-WDR2601NC08A","830","Kate Dress ""Giving Thanks""","3045","0","169.00","Size - L"
"A01028-WDR2601NC08A","830","Kate Dress ""Giving Thanks""","3046","1","169.00","Size - XL"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1365","2","169.00","Size - XS"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1366","1","169.00","Size - S"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1367","0","169.00","Size - M"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1368","0","169.00","Size - L"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1369","2","169.00","Size - XL"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1360","0","169.00","Size - XS"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1361","1","169.00","Size - S"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1362","0","169.00","Size - M"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1363","0","169.00","Size - L"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1364","1","169.00","Size - XL"
"A17063-WAC0201NC02A","845","Vivienne Scarf ""Depth""","","3","59.00","Vivienne Scarf ""Depth"""
"A17064-WAC0201NC03A","846","Vivienne Scarf ""M'Otter Love""","","5","59.00","Vivienne Scarf ""M'Otter Love"""
"A16058-WAC0201NC04A","847","Vivienne Scarf ""Silent Seekers""","","3","59.00","Vivienne Scarf ""Silent Seekers"""
"A16051-WAC0201NC05A","848","Vivienne Scarf ""Northern Keepers""","","4","59.00","Vivienne Scarf ""Northern Keepers"""
"A09006-WAC0201NC06A","849","Vivienne Scarf ""The River Keeper""","","6","59.00","Vivienne Scarf ""The River Keeper"""
"W12001-WAC0201NC07B","850","Vivienne Scarf ""Dialogue""","","3","59.00","Vivienne Scarf ""Dialogue"""
"A01028-WAC0201NC08A","851","Vivienne Scarf ""Giving Thanks""","","5","59.00","Vivienne Scarf ""Giving Thanks"""
"W13023-WAC0201NC09A","852","Vivienne Scarf ""Water and Spirit Buffalo""","","3","59.00","Vivienne Scarf ""Water and Spirit Buffalo"""
"A07020-WAC0201NC0AA","853","Vivienne Scarf ""Journey to the Spirit World""","","14","59.00","Vivienne Scarf ""Journey to the Spirit World"""
"A16052-WAC0201NC0BA","854","Vivienne Scarf ""Zenith""","","4","59.00","Vivienne Scarf ""Zenith"""
"A17065-WAC0201NC0CA","855","Vivienne Scarf ""Forest Temple""","","6","59.00","Vivienne Scarf ""Forest Temple"""
"A17063-WSS0701NC02A","856","Yoko Cape Tunic ""Depth""","3177","1","139.00","Size - XS"
"A17063-WSS0701NC02A","856","Yoko Cape Tunic ""Depth""","3178","0","139.00","Size - S"
"A17063-WSS0701NC02A","856","Yoko Cape Tunic ""Depth""","3179","1","139.00","Size - M"
"A17063-WSS0701NC02A","856","Yoko Cape Tunic ""Depth""","3180","1","139.00","Size - L"
"A17063-WSS0701NC02A","856","Yoko Cape Tunic ""Depth""","3181","1","139.00","Size - XL"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","1465","1","139.00","Size - XS"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","2070","0","139.00","Size - S"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","2071","1","139.00","Size - M"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","2072","1","139.00","Size - L"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","2073","2","139.00","Size - XL"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1460","2","139.00","Size - XS"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1461","1","139.00","Size - S"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1462","1","139.00","Size - M"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1463","1","139.00","Size - L"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1464","3","139.00","Size - XL"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3187","1","139.00","Size - XS"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3188","1","139.00","Size - S"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3189","1","139.00","Size - M"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3190","1","139.00","Size - L"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3191","0","139.00","Size - XL"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1440","0","139.00","Size - XS"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1441","1","139.00","Size - S"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1442","1","139.00","Size - M"
