"Product name","Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID","Product ID"
"Jeanne Dress ""Wisdom Keepers""","A16059-WDR1001NC0IA","0;0;0;0;1","58.00","149.00","3117;3118;3119;3120;3121","819"
"Kate Dress ""Depth""","A17063-WDR2601NC02A","0;0;0;0;0","64.50","169.00","1395;1396;1397;1398;1399","825"
"Kate Dress ""M'Otter Love""","A17064-WDR2601NC03D","1;3;0;0;1","64.50","169.00","1390;1391;1392;1393;1394","826"
"Kate Dress ""Silent Seekers""","A16058-WDR2601NC04A","3;3;7;0;0","64.50","169.00","1385;1386;1387;1388;1389","827"
"Kate Dress ""Northern Keepers""","A16051-WDR2601NC05A","0;0;0;0;1","64.50","169.00","1380;1381;1382;1383;1384","828"
"Kate Dress ""The River Keeper""","A09006-WDR2601NC06A","0;0;0;0;0","64.50","169.00","1375;1376;1377;1378;1379","829"
"Kate Dress ""Giving Thanks""","A01028-WDR2601NC08A","0;0;0;0;0","64.50","169.00","3042;3043;3044;3045;3046","830"
"Kate Dress ""Water and Spirit Buffalo""","W13023-WDR2601NC09A","0;0;0;0;1","64.50","169.00","1365;1366;1367;1368;1369","831"
"Kate Dress ""Journey to the Spirit World""","A07020-WDR2601NC0AB","0;0;0;0;0","64.50","169.00","1360;1361;1362;1363;1364","832"
"Vivienne Scarf ""Depth""","A17063-WAC0201NC02A","65","23.00","59.00","","845"
"Vivienne Scarf ""M'Otter Love""","A17064-WAC0201NC03A","128","23.00","59.00","","846"
"Vivienne Scarf ""Silent Seekers""","A16058-WAC0201NC04A","70","23.00","59.00","","847"
"Vivienne Scarf ""Northern Keepers""","A16051-WAC0201NC05A","0","23.00","59.00","","848"
"Vivienne Scarf ""The River Keeper""","A09006-WAC0201NC06A","0","23.00","59.00","","849"
"Vivienne Scarf ""Dialogue""","W12001-WAC0201NC07B","0","23.00","59.00","","850"
"Vivienne Scarf ""Giving Thanks""","A01028-WAC0201NC08A","0","23.00","59.00","","851"
"Vivienne Scarf ""Water and Spirit Buffalo""","W13023-WAC0201NC09A","0","23.00","59.00","","852"
"Vivienne Scarf ""Journey to the Spirit World""","A07020-WAC0201NC0AA","5","23.00","59.00","","853"
"Vivienne Scarf ""Zenith""","A16052-WAC0201NC0BA","0","23.00","59.00","","854"
"Vivienne Scarf ""Forest Temple""","A17065-WAC0201NC0CA","1","23.00","59.00","","855"
"Joni Dress ""Lapinx""","A13041-WDR2901NC0EB","0;0;0;0;0","59.10","139.00","3097;3098;3099;3100;3101","881"
"Kate Dress ""Early Evening Flowing into Fall""","W12018-WDR2601NC0DB","0;0;0;0;0","64.50","169.00","3037;3038;3039;3040;3041","911"
"Jeanne Dress ""Forest Temple""","A17065-WDR1001NC0CB","1;0;1;0;1","67.00","149.00","3107;3108;3109;3110;3111","912"
"Jeanne Dress ""Lapinx""","A13041-WDR1001NC0EC","0;0;0;0;1","67.00","149.00","3112;3113;3114;3115;3116","960"
"Vivienne Scarf ""Merging Earth and Sky""","A10004-WAC0201NC01A","0","23.00","59.00","","961"
"Vivienne Scarf ""Early Evening Flowing into Fall""","W12018-WAC0201NC0DB","0","23.00","59.00","","962"
"Kate Dress ""Forest Temple""","A17065-WDR2601NC0CC","0;0;0;0;0","64.50","169.00","3052;3053;3054;3055;3056","969"
"Kate Dress ""Whisper""","A08011-WDR2601NC0HC","0;0;0;0;0","64.50","169.00","3047;3048;3049;3050;3051","971"
"Kate Dress ""Merging Earth and Sky""","A10004-WDR2601NC01G","0;0;0;0;0","64.50","169.00","3062;3063;3064;3065;3066","972"
"Michelle Dress ""Whisper""","A08011-WDR3201NC0HA","0;0;0;0;0","67.50","159.00","3157;3158;3159;3160;3161","981"
"Vivienne Scarf ""Lapinx""","A13041-WAC0201NC0EA","0","23.00","59.00","","994"
"Vivienne Scarf ""Northern Masters""","W18053-WAC0201NC0JB","0","23.00","59.00","","995"
