"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Product Combinations ID","Product ID"
"Ladies Concho","3700-0008-13-37500CHO","","Concho pour Dames : Pointure - 4","0","61.40","142.00","0.00","3591","1096"
"Ladies Concho","3700-0008-13-37500CHO","","Concho pour Dames : Pointure - 5","0","61.40","142.00","0.00","3592","1096"
"Ladies Concho","3700-0008-13-37500CHO","","Concho pour Dames : Pointure - 6","0","61.40","142.00","0.00","3593","1096"
"Ladies Concho","3700-0008-13-37500CHO","","Concho pour Dames : Pointure - 7","0","61.40","142.00","0.00","3594","1096"
"Ladies Concho","3700-0008-13-37500CHO","","Concho pour Dames : Pointure - 8","0","61.40","142.00","0.00","3595","1096"
"Ladies Concho","3700-0008-13-37500CHO","","Concho pour Dames : Pointure - 9","0","61.40","142.00","0.00","3596","1096"
"Ladies Concho","3700-0008-13-37500CHO","","Concho pour Dames : Pointure - 10","0","61.40","142.00","0.00","3597","1096"
"Ladies Concho","3700-0008-13-37500CHO","","Concho pour Dames : Pointure - 11","0","61.40","142.00","0.00","3598","1096"
"Ladies Concho","3700-0008-13-37500CHO","","Concho pour Dames : Pointure - 12","0","61.40","142.00","0.00","3599","1096"
"Ladies Concho","1300-0000-13-137372GR","","Concho pour Dames : Pointure - 4","0","55.50","128.00","0.00","6917","3276"
"Ladies Concho","1300-0000-13-137372GR","","Concho pour Dames : Pointure - 5","0","55.50","128.00","0.00","6918","3276"
"Ladies Concho","1300-0000-13-137372GR","","Concho pour Dames : Pointure - 6","0","55.50","128.00","0.00","6919","3276"
"Ladies Concho","1300-0000-13-137372GR","","Concho pour Dames : Pointure - 8","1","55.50","128.00","0.00","6920","3276"
"Ladies Concho","1300-0000-13-137372GR","","Concho pour Dames : Pointure - 9","0","55.50","128.00","0.00","6921","3276"
"Ladies Concho","1300-0000-13-137372GR","","Concho pour Dames : Pointure - 10","0","55.50","128.00","0.00","6922","3276"
"Ladies Concho","1300-0000-13-137372GR","","Concho pour Dames : Pointure - 11","0","55.50","128.00","0.00","6923","3276"
"Ladies Concho","1300-0000-13-137372GR","","Concho pour Dames : Pointure - 12","0","55.50","128.00","0.00","6924","3276"
"Ladies Concho","1300-0000-13-137372GR","","Concho pour Dames : Pointure - 7","0","55.50","128.00","0.00","6925","3276"
"Ladies Concho","3700-0008-13-37500MO","","copy of Concho pour Dames : Pointure - 4","0","61.40","142.00","0.00","12959","16689"
"Ladies Concho","3700-0008-13-37500MO","","copy of Concho pour Dames : Pointure - 5","0","61.40","142.00","0.00","12960","16689"
"Ladies Concho","3700-0008-13-37500MO","","copy of Concho pour Dames : Pointure - 6","0","61.40","142.00","0.00","12961","16689"
"Ladies Concho","3700-0008-13-37500MO","","copy of Concho pour Dames : Pointure - 7","0","61.40","142.00","0.00","12962","16689"
"Ladies Concho","3700-0008-13-37500MO","","copy of Concho pour Dames : Pointure - 8","1","61.40","142.00","0.00","12963","16689"
"Ladies Concho","3700-0008-13-37500MO","","copy of Concho pour Dames : Pointure - 9","0","61.40","142.00","0.00","12964","16689"
"Ladies Concho","3700-0008-13-37500MO","","copy of Concho pour Dames : Pointure - 10","0","61.40","142.00","0.00","12965","16689"
"Ladies Concho","3700-0008-13-37500MO","","copy of Concho pour Dames : Pointure - 11","0","61.40","142.00","0.00","12966","16689"
"Ladies Concho","3700-0008-13-37500MO","","copy of Concho pour Dames : Pointure - 12","0","61.40","142.00","0.00","12967","16689"
"Ladies Concho","3700-0008-13-37500GR","","Concho pour Dames : Pointure - 4","0","61.40","142.00","0.00","13384","17345"
"Ladies Concho","3700-0008-13-37500GR","","Concho pour Dames : Pointure - 5","0","61.40","142.00","0.00","13385","17345"
"Ladies Concho","3700-0008-13-37500GR","","Concho pour Dames : Pointure - 6","0","61.40","142.00","0.00","13386","17345"
"Ladies Concho","3700-0008-13-37500GR","","Concho pour Dames : Pointure - 7","0","61.40","142.00","0.00","13387","17345"
"Ladies Concho","3700-0008-13-37500GR","","Concho pour Dames : Pointure - 8","1","61.40","142.00","0.00","13388","17345"
"Ladies Concho","3700-0008-13-37500GR","","Concho pour Dames : Pointure - 9","1","61.40","142.00","0.00","13389","17345"
"Ladies Concho","3700-0008-13-37500GR","","Concho pour Dames : Pointure - 10","0","61.40","142.00","0.00","13390","17345"
"Ladies Concho","3700-0008-13-37500GR","","Concho pour Dames : Pointure - 11","0","61.40","142.00","0.00","13391","17345"
"Ladies Concho","3700-0008-13-37500GR","","Concho pour Dames : Pointure - 12","0","61.40","142.00","0.00","13392","17345"
"Ladies Concho","3700-0008-13-37500BL","","Concho pour Dames : Pointure - 4","0","61.40","142.00","0.00","13393","17348"
"Ladies Concho","3700-0008-13-37500BL","","Concho pour Dames : Pointure - 5","0","61.40","142.00","0.00","13394","17348"
"Ladies Concho","3700-0008-13-37500BL","","Concho pour Dames : Pointure - 6","1","61.40","142.00","0.00","13395","17348"
"Ladies Concho","3700-0008-13-37500BL","","Concho pour Dames : Pointure - 7","1","61.40","142.00","0.00","13396","17348"
"Ladies Concho","3700-0008-13-37500BL","","Concho pour Dames : Pointure - 8","0","61.40","142.00","0.00","13397","17348"
"Ladies Concho","3700-0008-13-37500BL","","Concho pour Dames : Pointure - 9","0","61.40","142.00","0.00","13398","17348"
