"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)"
"A17063-WDR2601NC02A","825","Kate Dress ""Depth""","1398","Robe Kate ""Profondeur"" : Taille - L","1","169.00"
"A17063-WDR2601NC02A","825","Kate Dress ""Depth""","1399","Robe Kate ""Profondeur"" : Taille - XL","1","169.00"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1390","Robe Kate ""L'Outre Mère"" : Taille - XP","1","169.00"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1391","Robe Kate ""L'Outre Mère"" : Taille - P","2","169.00"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1392","Robe Kate ""L'Outre Mère"" : Taille - M","1","169.00"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1393","Robe Kate ""L'Outre Mère"" : Taille - L","0","169.00"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1394","Robe Kate ""L'Outre Mère"" : Taille - XL","1","169.00"
"A16058-WDR2601NC04A","827","Kate Dress ""Silent Seekers""","1385","Robe Kate ""En Quête de Silence"" : Taille - XP","1","169.00"
"A16058-WDR2601NC04A","827","Kate Dress ""Silent Seekers""","1386","Robe Kate ""En Quête de Silence"" : Taille - P","1","169.00"
"A16058-WDR2601NC04A","827","Kate Dress ""Silent Seekers""","1387","Robe Kate ""En Quête de Silence"" : Taille - M","2","169.00"
"A16058-WDR2601NC04A","827","Kate Dress ""Silent Seekers""","1388","Robe Kate ""En Quête de Silence"" : Taille - L","1","169.00"
"A16058-WDR2601NC04A","827","Kate Dress ""Silent Seekers""","1389","Robe Kate ""En Quête de Silence"" : Taille - XL","1","169.00"
"A16051-WDR2601NC05A","828","Kate Dress ""Northern Keepers""","1380","Robe Kate ""Gardiens du Nord"" : Taille - XP","2","169.00"
"A16051-WDR2601NC05A","828","Kate Dress ""Northern Keepers""","1381","Robe Kate ""Gardiens du Nord"" : Taille - P","0","169.00"
"A16051-WDR2601NC05A","828","Kate Dress ""Northern Keepers""","1382","Robe Kate ""Gardiens du Nord"" : Taille - M","2","169.00"
"A16051-WDR2601NC05A","828","Kate Dress ""Northern Keepers""","1383","Robe Kate ""Gardiens du Nord"" : Taille - L","0","169.00"
"A16051-WDR2601NC05A","828","Kate Dress ""Northern Keepers""","1384","Robe Kate ""Gardiens du Nord"" : Taille - XL","2","169.00"
"A01028-WDR2601NC08A","830","Kate Dress ""Giving Thanks""","3042","Robe Kate ""Rendre Grâce"" : Taille - XP","1","169.00"
"A01028-WDR2601NC08A","830","Kate Dress ""Giving Thanks""","3043","Robe Kate ""Rendre Grâce"" : Taille - P","1","169.00"
"A01028-WDR2601NC08A","830","Kate Dress ""Giving Thanks""","3044","Robe Kate ""Rendre Grâce"" : Taille - M","1","169.00"
"A01028-WDR2601NC08A","830","Kate Dress ""Giving Thanks""","3045","Robe Kate ""Rendre Grâce"" : Taille - L","1","169.00"
"A01028-WDR2601NC08A","830","Kate Dress ""Giving Thanks""","3046","Robe Kate ""Rendre Grâce"" : Taille - XL","0","169.00"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1365","Robe Kate ""Eau et Esprit du Bison"" : Taille - XP","2","169.00"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1366","Robe Kate ""Eau et Esprit du Bison"" : Taille - P","1","169.00"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1367","Robe Kate ""Eau et Esprit du Bison"" : Taille - M","0","169.00"
