"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price"
"6017-0408-00VI-600VI","534","Ladies Suede Slippers","507","Shoe Size - 4","0","108.00","46.90"
"6017-0408-00VI-600VI","534","Ladies Suede Slippers","508","Shoe Size - 5","0","108.00","46.90"
"6017-0408-00VI-600VI","534","Ladies Suede Slippers","509","Shoe Size - 6","0","108.00","46.90"
"6017-0408-00VI-600VI","534","Ladies Suede Slippers","510","Shoe Size - 7","0","108.00","46.90"
"6017-0408-00VI-600VI","534","Ladies Suede Slippers","511","Shoe Size - 8","0","108.00","46.90"
"6017-0408-00VI-600VI","534","Ladies Suede Slippers","512","Shoe Size - 9","0","108.00","46.90"
"6017-0408-00VI-600VI","534","Ladies Suede Slippers","513","Shoe Size - 10","0","108.00","46.90"
"6017-0408-00VI-600VI","534","Ladies Suede Slippers","514","Shoe Size - 11","0","108.00","46.90"
"6017-0408-00VI-600VI","534","Ladies Suede Slippers","515","Shoe Size - 12","0","108.00","46.90"
"6080-0408-41CO-600CO","538","Ladies Suede Slippers","543","Shoe Size - 5","0","108.00","46.90"
"6080-0408-41CO-600CO","538","Ladies Suede Slippers","544","Shoe Size - 6","0","108.00","46.90"
"6080-0408-41CO-600CO","538","Ladies Suede Slippers","545","Shoe Size - 7","0","108.00","46.90"
"6080-0408-41CO-600CO","538","Ladies Suede Slippers","546","Shoe Size - 8","0","108.00","46.90"
"6080-0408-41CO-600CO","538","Ladies Suede Slippers","547","Shoe Size - 9","0","108.00","46.90"
"6080-0408-41CO-600CO","538","Ladies Suede Slippers","548","Shoe Size - 10","0","108.00","46.90"
"6080-0408-41CO-600CO","538","Ladies Suede Slippers","549","Shoe Size - 11","0","108.00","46.90"
"6080-0408-41CO-600CO","538","Ladies Suede Slippers","550","Shoe Size - 12","0","108.00","46.90"
"6080-0408-41CO-600CO","538","Ladies Suede Slippers","551","Shoe Size - 4","0","108.00","46.90"
"6080-0408-41COTO-600COTO","539","Ladies Suede Slippers","558","Shoe Size - 11","0","108.00","46.90"
"6080-0408-41COTO-600COTO","539","Ladies Suede Slippers","7066","Shoe Size - 4","0","108.00","46.90"
"6080-0408-41COTO-600COTO","539","Ladies Suede Slippers","7067","Shoe Size - 5","0","108.00","46.90"
"6080-0408-41COTO-600COTO","539","Ladies Suede Slippers","7068","Shoe Size - 6","0","108.00","46.90"
"6080-0408-41COTO-600COTO","539","Ladies Suede Slippers","7069","Shoe Size - 7","0","108.00","46.90"
"6080-0408-41COTO-600COTO","539","Ladies Suede Slippers","7070","Shoe Size - 8","0","108.00","46.90"
"6080-0408-41COTO-600COTO","539","Ladies Suede Slippers","7071","Shoe Size - 9","0","108.00","46.90"
"6080-0408-41COTO-600COTO","539","Ladies Suede Slippers","7072","Shoe Size - 10","0","108.00","46.90"
"6080-0408-41COTO-600COTO","539","Ladies Suede Slippers","7073","Shoe Size - 12","0","108.00","46.90"
"6080-0408-41DKTCK-600DKTCK","540","Ladies Suede/Leather Slippers","561","Shoe Size - 5","0","115.00","49.70"
"6080-0408-41DKTCK-600DKTCK","540","Ladies Suede/Leather Slippers","562","Shoe Size - 6","0","115.00","49.70"
"6080-0408-41DKTCK-600DKTCK","540","Ladies Suede/Leather Slippers","563","Shoe Size - 7","0","115.00","49.70"
"6080-0408-41DKTCK-600DKTCK","540","Ladies Suede/Leather Slippers","564","Shoe Size - 8","0","115.00","49.70"
"6080-0408-41DKTCK-600DKTCK","540","Ladies Suede/Leather Slippers","565","Shoe Size - 9","0","115.00","49.70"
"6080-0408-41DKTCK-600DKTCK","540","Ladies Suede/Leather Slippers","566","Shoe Size - 10","0","115.00","49.70"
"6080-0408-41DKTCK-600DKTCK","540","Ladies Suede/Leather Slippers","567","Shoe Size - 11","0","115.00","49.70"
"6080-0408-41DKTCK-600DKTCK","540","Ladies Suede/Leather Slippers","568","Shoe Size - 12","0","115.00","49.70"
"6080-0408-41DKTCK-600DKTCK","540","Ladies Suede/Leather Slippers","569","Shoe Size - 4","0","115.00","49.70"
"6080-0408-41NBCK-600NBCK","541","Ladies Suede/Leather Slippers","574","Shoe Size - 9","0","115.00","49.70"
"6080-0408-41NBCK-600NBCK","541","Ladies Suede/Leather Slippers","7074","Shoe Size - 4","0","115.00","49.70"
"6080-0408-41NBCK-600NBCK","541","Ladies Suede/Leather Slippers","7075","Shoe Size - 5","0","115.00","49.70"
"6080-0408-41NBCK-600NBCK","541","Ladies Suede/Leather Slippers","7076","Shoe Size - 6","0","115.00","49.70"
"6080-0408-41NBCK-600NBCK","541","Ladies Suede/Leather Slippers","7077","Shoe Size - 7","0","115.00","49.70"
"6080-0408-41NBCK-600NBCK","541","Ladies Suede/Leather Slippers","7078","Shoe Size - 8","0","115.00","49.70"
"6080-0408-41NBCK-600NBCK","541","Ladies Suede/Leather Slippers","7079","Shoe Size - 10","0","115.00","49.70"
"6080-0408-41NBCK-600NBCK","541","Ladies Suede/Leather Slippers","7080","Shoe Size - 11","0","115.00","49.70"
"6080-0408-41NBCK-600NBCK","541","Ladies Suede/Leather Slippers","7081","Shoe Size - 12","0","115.00","49.70"
"6080-0408-41RBBL-600RBBL","543","Ladies Suede Slippers","588","Shoe Size - 5","0","108.00","46.90"
"6080-0408-41RBBL-600RBBL","543","Ladies Suede Slippers","589","Shoe Size - 6","0","108.00","46.90"
"6080-0408-41RBBL-600RBBL","543","Ladies Suede Slippers","590","Shoe Size - 7","0","108.00","46.90"
"6080-0408-41RBBL-600RBBL","543","Ladies Suede Slippers","591","Shoe Size - 8","0","108.00","46.90"
"6080-0408-41RBBL-600RBBL","543","Ladies Suede Slippers","592","Shoe Size - 9","0","108.00","46.90"
"6080-0408-41RBBL-600RBBL","543","Ladies Suede Slippers","593","Shoe Size - 10","0","108.00","46.90"
"6080-0408-41RBBL-600RBBL","543","Ladies Suede Slippers","594","Shoe Size - 11","0","108.00","46.90"
"6080-0408-41RBBL-600RBBL","543","Ladies Suede Slippers","595","Shoe Size - 12","0","108.00","46.90"
"6080-0408-41RBBL-600RBBL","543","Ladies Suede Slippers","596","Shoe Size - 4","0","108.00","46.90"
"6080-0408-41SMFD-600SMFD","545","Ladies Suede/Leather Slippers","606","Shoe Size - 5","0","115.00","49.70"
"6080-0408-41SMFD-600SMFD","545","Ladies Suede/Leather Slippers","607","Shoe Size - 6","0","115.00","49.70"
"6080-0408-41SMFD-600SMFD","545","Ladies Suede/Leather Slippers","608","Shoe Size - 7","0","115.00","49.70"
"6080-0408-41SMFD-600SMFD","545","Ladies Suede/Leather Slippers","609","Shoe Size - 8","0","115.00","49.70"
"6080-0408-41SMFD-600SMFD","545","Ladies Suede/Leather Slippers","610","Shoe Size - 9","0","115.00","49.70"
"6080-0408-41SMFD-600SMFD","545","Ladies Suede/Leather Slippers","611","Shoe Size - 10","0","115.00","49.70"
"6080-0408-41SMFD-600SMFD","545","Ladies Suede/Leather Slippers","612","Shoe Size - 11","0","115.00","49.70"
"6080-0408-41SMFD-600SMFD","545","Ladies Suede/Leather Slippers","613","Shoe Size - 12","0","115.00","49.70"
"6080-0408-41SMFD-600SMFD","545","Ladies Suede/Leather Slippers","614","Shoe Size - 4","0","115.00","49.70"
"6080-0408-41STO-600STO","546","Ladies Suede Slippers","615","Shoe Size - 5","0","108.00","46.90"
"6080-0408-41STO-600STO","546","Ladies Suede Slippers","616","Shoe Size - 6","0","108.00","46.90"
"6080-0408-41STO-600STO","546","Ladies Suede Slippers","617","Shoe Size - 7","0","108.00","46.90"
"6080-0408-41STO-600STO","546","Ladies Suede Slippers","618","Shoe Size - 8","0","108.00","46.90"
"6080-0408-41STO-600STO","546","Ladies Suede Slippers","619","Shoe Size - 9","0","108.00","46.90"
"6080-0408-41STO-600STO","546","Ladies Suede Slippers","620","Shoe Size - 10","0","108.00","46.90"
"6080-0408-41STO-600STO","546","Ladies Suede Slippers","621","Shoe Size - 11","0","108.00","46.90"
"6080-0408-41STO-600STO","546","Ladies Suede Slippers","622","Shoe Size - 12","0","108.00","46.90"
"6080-0408-41STO-600STO","546","Ladies Suede Slippers","623","Shoe Size - 4","0","108.00","46.90"
"6080-0408-41VIGR-600VIGR","547","Ladies Suede Slippers","624","Shoe Size - 5","0","108.00","46.90"
"6080-0408-41VIGR-600VIGR","547","Ladies Suede Slippers","625","Shoe Size - 6","0","108.00","46.90"
"6080-0408-41VIGR-600VIGR","547","Ladies Suede Slippers","626","Shoe Size - 7","0","108.00","46.90"
"6080-0408-41VIGR-600VIGR","547","Ladies Suede Slippers","627","Shoe Size - 8","0","108.00","46.90"
"6080-0408-41VIGR-600VIGR","547","Ladies Suede Slippers","628","Shoe Size - 9","0","108.00","46.90"
"6080-0408-41VIGR-600VIGR","547","Ladies Suede Slippers","629","Shoe Size - 10","0","108.00","46.90"
"6080-0408-41VIGR-600VIGR","547","Ladies Suede Slippers","630","Shoe Size - 11","0","108.00","46.90"
"6080-0408-41VIGR-600VIGR","547","Ladies Suede Slippers","631","Shoe Size - 12","0","108.00","46.90"
"6080-0408-41VIGR-600VIGR","547","Ladies Suede Slippers","632","Shoe Size - 4","0","108.00","46.90"
"6080-0208-41BL-613BL","550","Ladies Suede Slippers","656","Shoe Size - 10","0","108.00","46.90"
"6080-0208-41BL-613BL","550","Ladies Suede Slippers","658","Shoe Size - 12","0","108.00","46.90"
"6080-0208-41BL-613BL","550","Ladies Suede Slippers","7053","Shoe Size - 9","0","108.00","46.90"
"6080-0208-41BL-613BL","550","Ladies Suede Slippers","7054","Shoe Size - 7","0","108.00","46.90"
